corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pb4c.0,354,372,_stage,358,364,Magier,magier
qd,pb4c.0,375,1686,magier,388,391,mir,magier
qd,pb4c.0,375,1686,magier,1446,1449,mir,magier
qd,pb4c.0,375,1686,magier,1487,1492,meine,magier
qd,pb4c.0,375,1686,magier,1575,1578,mir,magier
qd,pb4c.0,1672,1686,_stage,1672,1679,Ligares,ligares
qd,pb4c.0,1691,1964,ligares,1844,1850,meinem,ligares
qd,pb4c.0,1691,1964,ligares,1907,1911,mein,ligares
qd,pb4c.0,1691,1964,ligares,1920,1923,Ich,ligares
qd,pb4c.0,1970,2157,magier,1979,1982,Ich,magier
qd,pb4c.0,1970,2157,magier,2044,2048,mein,magier
qd,pb4c.0,1970,2157,magier,2068,2071,Ich,magier
qd,pb4c.0,2163,2256,ligares,2189,2193,mich,ligares
qd,pb4c.0,2163,2256,ligares,2229,2235,meinem,ligares
qd,pb4c.0,3128,3287,ligares,3233,3236,mir,ligares
qd,pb4c.0,3128,3287,ligares,3257,3260,ich,ligares
qd,pb4c.0,4049,4265,ligares,4090,4093,ich,ligares
qd,pb4c.0,4049,4265,ligares,4110,4116,meinen,ligares
qd,pb4c.0,5054,5407,ligares,5064,5067,Ich,ligares
qd,pb4c.0,5054,5407,ligares,5079,5083,mich,ligares
qd,pb4c.0,5054,5407,ligares,5092,5098,meinem,ligares
qd,pb4c.0,5054,5407,ligares,5154,5158,mich,ligares
qd,pb4c.0,5054,5407,ligares,5204,5207,ich,ligares
qd,pb4c.0,5054,5407,ligares,5221,5224,ich,ligares
qd,pb4c.0,5054,5407,ligares,5263,5266,ich,ligares
qd,pb4c.0,5054,5407,ligares,5277,5281,Mich,ligares
qd,pb4c.0,5054,5407,ligares,5322,5326,Mich,ligares
qd,pb4c.0,5054,5407,ligares,5377,5380,ich,ligares
qd,pb4c.0,5413,5775,magier,5422,5426,Mein,magier
qd,pb4c.0,5413,5775,magier,5468,5471,Ich,magier
qd,pb4c.0,5780,6241,ligares,5790,5794,Mein,ligares
qd,pb4c.0,5780,6241,ligares,5881,5887,meinen,ligares
qd,pb4c.0,5780,6241,ligares,5993,5999,meinem,ligares
qd,pb4c.0,5780,6241,ligares,6040,6044,mich,ligares
qd,pb4c.0,5780,6241,ligares,6170,6176,meiner,ligares
qd,pb4c.0,6230,6241,_stage,6230,6234,Zeno,zeno
qd,pb4c.0,7498,8020,zeno,7513,7516,ich,zeno
qd,pb4c.0,8209,8322,zeno,8234,8237,ich,zeno
qd,pb4c.0,8209,8322,zeno,8253,8256,ich,zeno
qd,pb4c.0,8307,8322,_stage,8311,8315,Bote,bote
qd,pb4c.0,8327,8423,ligares,8348,8353,Knabe,knabe
qd,pb4c.0,8327,8423,ligares,8418,8422,mich,ligares
qd,pb4c.0,8429,8519,bote,8436,8439,Ich,bote
qd,pb4c.0,8525,8876,ligares,8597,8600,ich,ligares
qd,pb4c.0,8525,8876,ligares,8633,8638,meine,ligares
qd,pb4c.0,8525,8876,ligares,8669,8672,mir,ligares
qd,pb4c.0,8525,8876,ligares,8702,8706,Mein,ligares
qd,pb4c.0,8525,8876,ligares,8752,8755,ich,ligares
qd,pb4c.0,8525,8876,ligares,8772,8776,mich,ligares
qd,pb4c.0,8525,8876,ligares,8789,8793,Mich,ligares
qd,pb4c.0,8976,10219,ligares,8989,8992,ich,ligares
qd,pb4c.0,8976,10219,ligares,9026,9029,Mir,ligares
qd,pb4c.0,8976,10219,ligares,9047,9050,ich,ligares
qd,pb4c.0,8976,10219,ligares,9078,9083,meine,ligares
qd,pb4c.0,8976,10219,ligares,9143,9146,Ich,ligares
qd,pb4c.0,8976,10219,ligares,9237,9241,mich,ligares
qd,pb4c.0,8976,10219,ligares,9305,9308,mir,ligares
qd,pb4c.0,8976,10219,ligares,9319,9322,ich,ligares
qd,pb4c.0,8976,10219,ligares,9387,9390,mir,ligares
qd,pb4c.0,8976,10219,ligares,9459,9463,mich,ligares
qd,pb4c.0,8976,10219,ligares,9487,9490,ich,ligares
qd,pb4c.0,8976,10219,ligares,9756,9759,mir,ligares
qd,pb4c.0,8976,10219,ligares,9807,9810,mir,ligares
qd,pb4c.0,8976,10219,ligares,10005,10008,mir,ligares
qd,pb4c.0,8976,10219,ligares,10019,10022,Ich,ligares
qd,pb4c.0,8976,10219,ligares,10077,10081,mein,ligares
qd,pb4c.0,8976,10219,ligares,10162,10167,meine,ligares
qd,pb4c.0,10225,10573,zeno,10304,10307,ich,zeno
qd,pb4c.0,10579,10876,ligares,10765,10768,Ich,ligares
qd,pb4c.0,10859,10876,_stage,10863,10869,Magier,magier
qd,pb4c.0,10882,11322,magier,10896,10901,Knabe,knabe
qd,pb4c.0,10882,11322,magier,10918,10924,meinem,magier
qd,pb4c.0,10882,11322,magier,10941,10945,Zeno,zeno
qd,pb4c.0,10882,11322,magier,10962,10965,mir,magier
qd,pb4c.0,10970,10983,_stage,10974,10979,Knabe,knabe
qd,pb4c.0,10882,11322,magier,11007,11010,ich,magier
qd,pb4c.0,10882,11322,magier,11046,11049,mir,magier
qd,pb4c.0,10882,11322,magier,11092,11095,ich,magier
qd,pb4c.0,11422,12017,magier,11810,11816,meines,magier
qd,pb4c.0,11422,12017,magier,11880,11883,Ich,magier
qd,pb4c.0,11422,12017,magier,11942,11945,ich,magier
qd,pb4c.0,12000,12017,_stage,12000,12009,Cassandra,cassandra
qd,pb4c.0,12022,12754,cassandra,12158,12161,mir,cassandra
qd,pb4c.0,12022,12754,cassandra,12195,12199,mein,cassandra
qd,pb4c.0,12022,12754,cassandra,12251,12255,mein,cassandra
qd,pb4c.0,12022,12754,cassandra,12291,12295,mich,cassandra
qd,pb4c.0,12022,12754,cassandra,12346,12349,mir,cassandra
qd,pb4c.0,12022,12754,cassandra,12426,12432,meiner,cassandra
qd,pb4c.0,12022,12754,cassandra,12459,12462,ich,cassandra
qd,pb4c.0,12022,12754,cassandra,12516,12519,ich,cassandra
qd,pb4c.0,12022,12754,cassandra,12532,12536,Mich,cassandra
qd,pb4c.0,12022,12754,cassandra,12643,12646,mir,cassandra
qd,pb4c.0,12022,12754,cassandra,12681,12684,mir,cassandra
qd,pb4c.0,12738,12754,_stage,12738,12747,Timandras,timandras
qd,pb4c.0,12759,13309,timandras,12776,12779,ich,timandras
qd,pb4c.0,12759,13309,timandras,13054,13057,Ich,timandras
qd,pb4c.0,12759,13309,timandras,13105,13108,mir,timandras
