corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pgpm.0,585,608,_stage,585,592,Leander,leander
qd,pgpm.0,585,608,_stage,598,607,Hanswurst,hauswurst
qd,pgpm.0,611,712,_stage,690,697,Leander,leander
qd,pgpm.0,715,748,leander,729,732,ich,leander
qd,pgpm.0,1009,1048,leander,1024,1027,ich,leander
qd,pgpm.0,1009,1048,leander,1028,1032,mich,leander
qd,pgpm.0,1053,1117,hauswurst,1071,1074,ich,hauswurst
qd,pgpm.0,1122,1243,leander,1207,1211,mich,leander
qd,pgpm.0,1690,1772,hauswurst,1719,1722,ich,hauswurst
qd,pgpm.0,1777,1927,leander,1851,1855,mich,leander
qd,pgpm.0,1777,1927,leander,1875,1880,meine,leander
qd,pgpm.0,1932,2856,hauswurst,2068,2071,ich,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2103,2106,ich,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2209,2213,mich,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2239,2242,mir,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2303,2307,mein,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2377,2380,ich,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2381,2384,mir,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2415,2420,meine,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2643,2646,ich,hauswurst
qd,pgpm.0,1932,2856,hauswurst,2711,2714,ich,hauswurst
qd,pgpm.0,2861,3039,leander,2886,2890,mein,leander
qd,pgpm.0,2861,3039,leander,2898,2907,Hanswurst,hauswurst
qd,pgpm.0,2861,3039,leander,2923,2926,ich,leander
qd,pgpm.0,3181,3367,leander,3200,3203,ich,leander
qd,pgpm.0,3181,3367,leander,3233,3236,mir,leander
qd,pgpm.0,3181,3367,leander,3244,3249,meine,leander
qd,pgpm.0,3181,3367,leander,3279,3282,ich,leander
qd,pgpm.0,3181,3367,leander,3314,3317,ich,leander
qd,pgpm.0,3181,3367,leander,3337,3340,ich,leander
qd,pgpm.0,3372,3510,hauswurst,3433,3436,ich,hauswurst
qd,pgpm.0,3372,3510,hauswurst,3473,3476,ich,hauswurst
qd,pgpm.0,3515,3791,leander,3550,3553,ich,leander
qd,pgpm.0,3515,3791,leander,3570,3573,ich,leander
qd,pgpm.0,3515,3791,leander,3599,3602,ich,leander
qd,pgpm.0,3515,3791,leander,3610,3616,meiner,leander
qd,pgpm.0,3515,3791,leander,3640,3643,mir,leander
qd,pgpm.0,3515,3791,leander,3667,3670,ich,leander
qd,pgpm.0,3515,3791,leander,3671,3676,meine,leander
qd,pgpm.0,3515,3791,leander,3689,3695,Angela,angela
qd,pgpm.0,3515,3791,leander,3711,3714,ich,leander
qd,pgpm.0,3515,3791,leander,3744,3747,ich,leander
qd,pgpm.0,3796,4140,hauswurst,3813,3816,ich,hauswurst
