corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pkhg.0,603,629,DER CLOWN,ein_clown,schlendert,ADJD,schlendern,27516,,
qd,pkhg.0,603,629,DER CLOWN,ein_clown,achtlos,ADJD,achtlos,27516,,
qd,pkhg.0,603,629,DER CLOWN,ein_clown,herein,PTKVZ,herein,27516,,
qd,pkhg.0,603,629,DER CLOWN,ein_clown,.,$.,--,27516,,
qd,pkhg.0,1800,1839,Radiana,radiana,Wieder,ADV,wieder,27516,,
qd,pkhg.0,1800,1839,Radiana,radiana,großer,ADJA,groß,27516,,
qd,pkhg.0,1800,1839,Radiana,radiana,Applaus,NN,applaus,27516,,
qd,pkhg.0,1800,1839,Radiana,radiana,hinter,APPR,hinter,27516,,
qd,pkhg.0,1800,1839,Radiana,radiana,der,ART,der,27516,,
qd,pkhg.0,1800,1839,Radiana,radiana,Szene,NN,szene,27516,,
qd,pkhg.0,1800,1839,Radiana,radiana,.,$.,--,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,Radiana,NE,radiana,27516,,(0)
qd,pkhg.0,1842,2010,Radiana,radiana,ist,VAFIN,sein,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,sofort,ADV,sofort,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,aufgesprungen,VVPP,aufgpringen,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,und,KON,und,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,kramt,VVFIN,kramt,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,aus,APPR,aus,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,einem,ART,ein,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,großen,ADJA,groß,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,Schranke,NN,schranke,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,einen,ART,ein,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,kostbaren,ADJA,kostbar,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,Mantel,NN,mantel,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,aus,PTKVZ,aus,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,",","$,",--,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,den,PRELS,der,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,sie,PPER,sie,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,ausbreitet,VVFIN,ausbreiten,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,",","$,",--,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,um,KOUI,um,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,gleich,ADV,gleich,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,damit,PROAV,damit,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,wie,KOKOM,wie,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,ein,ART,ein,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,wartender,ADJA,wartend,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,Lakei,NN,lakei,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,dazustehen,VVIZU,dazustehen,27516,,
qd,pkhg.0,1842,2010,Radiana,radiana,.,$.,--,27516,,
qd,pkhg.0,2072,2109,DER STALLMEISTER,der_stallmeister,reißt,VVFIN,reißen,27516,,
