corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Den,ART,der,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,grauen,ADJA,grau,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Zylinder,NN,zylinder,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,in,APPR,in,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,den,ART,der,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Nacken,NN,nacke,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,geschoben,VVPP,schieben,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,.,$.,--,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,In,APPR,in,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,höchst,ADV,höchst,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,elegantem,ADJA,elegant,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,",","$,",--,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,fleischfarbenen,ADJA,fleischfarben,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,",","$,",--,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,langschößigen,ADJA,langschößig,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Frack,NN,frack,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,.,$.,--,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Eine,ART,ein,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,große,ADJA,groß,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Rose,NN,rose,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,im,APPRART,in,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Knopfloch,NN,knopfloch,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,.,$.,--,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Pluderhose,NN,pluderhos,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Weste,NN,weste,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,und,KON,und,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Schuhe,NN,schuh,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,sind,VAFIN,sein,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,von,APPR,von,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,derselben,PDAT,derselbe,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,silbergrauen,ADJA,silbergrau,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Farbe,NN,farbe,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,wie,KOKOM,wie,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,der,ART,der,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Hut,NN,hut,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,.,$.,--,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,Er,PPER,er,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,spielt,VVFIN,spielen,27516,,
qd,pkhg.0,592,1022,DER CLOWN,ein_clown,mit,APPR,mit,27516,,
