corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pkhm.0,602,1094,_stage,1035,1051,Prinzessin Trull,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1251,1254,ich,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1303,1308,meine,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1374,1377,ich,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1397,1403,meinem,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1595,1599,mein,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1632,1637,meine,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1667,1670,ich,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1684,1700,Prinzessin Trull,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1705,1708,ich,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1760,1776,Die alte Raschke,die_alte_raschke
qd,pkhm.0,1097,2178,prinzessin_trull,1830,1846,Prinzessin Trull,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1848,1852,Mein,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1902,1906,mein,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1947,1950,ich,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,1973,1976,ich,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,2095,2100,meine,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,2134,2137,ich,prinzessin_trull
qd,pkhm.0,1097,2178,prinzessin_trull,2158,2174,Prinzessin Trull,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2604,2607,mir,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2613,2618,meine,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2634,2637,ich,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2647,2653,meinem,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2748,2752,mich,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2768,2771,ich,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2788,2791,ich,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2875,2878,ich,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,2892,2908,Prinzessin Trull,prinzessin_trull
qd,pkhm.0,2570,3119,prinzessin_trull,3073,3076,Ich,prinzessin_trull
qd,pkhm.0,3402,3484,prinzessin_trull,3424,3428,mein,prinzessin_trull
qd,pkhm.0,3489,3935,die_alte_raschke,3514,3517,mir,die_alte_raschke
qd,pkhm.0,3489,3935,die_alte_raschke,3817,3825,Rapunzel,rapunzel
qd,pkhm.0,3489,3935,die_alte_raschke,3865,3873,Rapunzel,rapunzel
qd,pkhm.0,3489,3935,die_alte_raschke,3894,3902,Christel,christel
qd,pkhm.0,3940,4019,rapunzel,3976,3984,Christel,christel
qd,pkhm.0,4024,4182,prinzessin_trull,4122,4126,mein,prinzessin_trull
qd,pkhm.0,4674,4811,rapunzel,4698,4701,Ich,rapunzel
qd,pkhm.0,4674,4811,rapunzel,4724,4727,ich,rapunzel
qd,pkhm.0,4674,4811,rapunzel,4750,4753,ich,rapunzel
qd,pkhm.0,4674,4811,rapunzel,4759,4763,mich,rapunzel
qd,pkhm.0,4674,4811,rapunzel,4781,4784,ich,rapunzel
qd,pkhm.0,4674,4811,rapunzel,4790,4794,mich,rapunzel
qd,pkhm.0,4890,5003,rapunzel,4941,4944,Ich,rapunzel
qd,pkhm.0,4890,5003,rapunzel,4955,4958,ich,rapunzel
qd,pkhm.0,5318,5981,rapunzel,5849,5853,mein,rapunzel
qd,pkhm.0,6216,7018,rapunzel,6427,6430,ich,rapunzel
qd,pkhm.0,6216,7018,rapunzel,6662,6666,mein,rapunzel
qd,pkhm.0,7065,7780,rapunzel,7318,7321,mir,rapunzel
qd,pkhm.0,7065,7780,rapunzel,7412,7420,Christel,christel
qd,pkhm.0,7065,7780,rapunzel,7425,7433,Christel,christel
qd,pkhm.0,7065,7780,rapunzel,7511,7514,ich,rapunzel
qd,pkhm.0,7065,7780,rapunzel,7522,7526,mich,rapunzel
qd,pkhm.0,7065,7780,rapunzel,7755,7758,ich,rapunzel
qd,pkhm.0,7862,7978,rapunzel,7911,7914,ich,rapunzel
qd,pkhm.0,8022,8330,_stage,8055,8071,die alte Raschke,die_alte_raschke
qd,pkhm.0,8333,9213,die_alte_raschke,8401,8404,ich,die_alte_raschke
qd,pkhm.0,8333,9213,die_alte_raschke,8616,8632,Prinzessin Trull,prinzessin_trull
qd,pkhm.0,9218,9395,der_alte_raschke,9376,9384,Rapunzel,rapunzel
qd,pkhm.0,9400,9510,die_alte_raschke,9472,9480,Rapunzel,rapunzel
qd,pkhm.0,9516,9564,der_alte_raschke,9535,9538,Ich,der_alte_raschke
qd,pkhm.0,10523,10701,die_junge_raschke,10543,10546,Ich,die_junge_raschke
qd,pkhm.0,10523,10701,die_junge_raschke,10644,10653,die Leute,die_leute
qd,pkhm.0,10745,11422,der_alte_raschke,11045,11049,mein,der_alte_raschke
qd,pkhm.0,11529,12055,der_alte_raschke,11613,11616,ich,der_alte_raschke
qd,pkhm.0,11529,12055,der_alte_raschke,11907,11910,Ich,der_alte_raschke
qd,pkhm.0,11529,12055,der_alte_raschke,11930,11933,ich,der_alte_raschke
qd,pkhm.0,11529,12055,der_alte_raschke,11939,11944,meine,der_alte_raschke
qd,pkhm.0,11529,12055,der_alte_raschke,11973,11976,ich,der_alte_raschke
qd,pkhm.0,12060,12277,die_junge_raschke,12114,12119,meine,die_junge_raschke
qd,pkhm.0,12060,12277,die_junge_raschke,12139,12143,mein,die_junge_raschke
qd,pkhm.0,12060,12277,die_junge_raschke,12195,12198,ich,die_junge_raschke
qd,pkhm.0,12060,12277,die_junge_raschke,12269,12273,mich,die_junge_raschke
qd,pkhm.0,12300,12485,_stage,12349,12365,der alte Raschke,der_alte_raschke
qd,pkhm.0,12655,12938,die_junge_raschke,12739,12744,meine,die_junge_raschke
qd,pkhm.0,12655,12938,die_junge_raschke,12831,12834,ich,die_junge_raschke
