corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,pkhm.0,558,29103,0,572,4811,0
qd,pkhm.0,558,29103,0,4824,7978,0
qd,pkhm.0,558,29103,0,7991,10701,0
qd,pkhm.0,558,29103,0,10714,12938,0
qd,pkhm.0,558,29103,0,12951,18947,0
qd,pkhm.0,558,29103,0,18960,19447,0
qd,pkhm.0,558,29103,0,19460,20855,0
qd,pkhm.0,558,29103,0,20868,27187,0
qd,pkhm.0,558,29103,0,27200,29103,0
qd,pkhm.0,29118,45672,0,29132,45672,0
qd,pkhm.0,45687,69470,0,45701,48004,0
qd,pkhm.0,45687,69470,0,48017,54225,0
qd,pkhm.0,45687,69470,0,54238,57035,0
qd,pkhm.0,45687,69470,0,57049,59201,0
qd,pkhm.0,45687,69470,0,59214,62850,0
qd,pkhm.0,45687,69470,0,62863,63881,0
qd,pkhm.0,45687,69470,0,63894,67444,0
qd,pkhm.0,45687,69470,0,67457,69470,0
qd,pkhm.0,69485,98075,0,69499,76281,0
qd,pkhm.0,69485,98075,0,76294,84561,0
qd,pkhm.0,69485,98075,0,84574,86531,0
qd,pkhm.0,69485,98075,0,86545,89846,0
qd,pkhm.0,69485,98075,0,89859,96035,0
qd,pkhm.0,69485,98075,0,96048,96646,0
qd,pkhm.0,69485,98075,0,96659,98075,0
qd,pkhm.0,98090,121891,0,98104,99002,0
qd,pkhm.0,98090,121891,0,99015,101752,0
qd,pkhm.0,98090,121891,0,101765,103559,0
qd,pkhm.0,98090,121891,0,103572,106119,0
qd,pkhm.0,98090,121891,0,106132,109485,0
qd,pkhm.0,98090,121891,0,109498,111515,0
qd,pkhm.0,98090,121891,0,111528,119040,0
qd,pkhm.0,98090,121891,0,119053,119545,0
qd,pkhm.0,98090,121891,0,119558,121086,0
qd,pkhm.0,98090,121891,0,121099,121891,0
