corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pkhm.0,602,1094,_Stage,_Stage,Die,ART,der,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Tür,NN,tür,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,tut,VVFIN,tun,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,sich,PRF,sich,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,behutsam,ADJD,behutsam,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,auf,PTKVZ,auf,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,",","$,",--,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,und,KON,und,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,ein,ART,ein,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,ganz,ADV,ganz,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,altes,ADJA,alt,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,",","$,",--,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,feines,VVFIN,fein,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,",","$,",--,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,gebrechliches,ADJA,gebrechlich,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Frauenzimmer,NN,frauenzimmer,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,guckt,VVFIN,gucken,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,scheu,ADJD,scheu,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,herein,PTKVZ,herein,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,.,$.,--,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Alles,PIS,alle,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,an,APPR,an,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,ihr,PPOSAT,ihr,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,verschlissen,ADJA,verschlissen,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,und,KON,und,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,verblichen,VVINF,verblichen,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,.,$.,--,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Der,ART,der,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,große,ADJA,groß,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Schäferhut,NN,schäferhut,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,mit,APPR,mit,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,langen,ADJA,lang,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Bändern,NN,band,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,auf,APPR,auf,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,weißen,ADJA,weißen,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,",","$,",--,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,zotteligen,ADJA,zottelig,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Haaren,NN,haar,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,.,$.,--,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Den,ART,der,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,kirschroten,ADJA,kirschrot,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,Seidenschal,NN,seidenschal,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,hat,VAFIN,haben,26396,,
qd,pkhm.0,602,1094,_Stage,_Stage,sie,PPER,sie,26396,,
