corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pkhv.0,571,598,_stage,571,586,Der Domorganist,der_dornorganist
qd,pkhv.0,856,902,der_dornorganist,887,890,ich,der_dornorganist
qd,pkhv.0,1597,1713,_stage,1610,1625,der Domorganist,der_dornorganist
qd,pkhv.0,2380,2548,_stage,2380,2395,Der Domorganist,der_dornorganist
qd,pkhv.0,2603,2826,_stage,2640,2649,Georginel,georginel
qd,pkhv.0,2867,2913,der_dornorganist,2898,2901,ich,der_dornorganist
qd,pkhv.0,3141,3338,der_dornorganist,3194,3197,ich,der_dornorganist
qd,pkhv.0,4292,4655,georginel,4320,4323,ich,georginel
qd,pkhv.0,4292,4655,georginel,4349,4352,ich,georginel
qd,pkhv.0,4292,4655,georginel,4628,4631,ich,georginel
qd,pkhv.0,4292,4655,georginel,4642,4645,ich,georginel
qd,pkhv.0,5143,5276,georginel,5176,5179,ich,georginel
qd,pkhv.0,5528,5743,georginel,5597,5600,ich,georginel
qd,pkhv.0,5528,5743,georginel,5607,5611,mich,georginel
qd,pkhv.0,5528,5743,georginel,5638,5641,ich,georginel
qd,pkhv.0,5528,5743,georginel,5723,5727,mich,georginel
qd,pkhv.0,5882,6004,georginel,5984,5987,ich,georginel
qd,pkhv.0,5882,6004,georginel,5991,5994,ich,georginel
qd,pkhv.0,6059,6751,georginel,6118,6121,ich,georginel
qd,pkhv.0,6059,6751,georginel,6282,6285,ich,georginel
qd,pkhv.0,6059,6751,georginel,6379,6383,mich,georginel
qd,pkhv.0,6059,6751,georginel,6704,6707,ich,georginel
qd,pkhv.0,6059,6751,georginel,6736,6739,mir,georginel
qd,pkhv.0,6960,7045,_stage,7014,7029,der Domorganist,der_dornorganist
qd,pkhv.0,6949,7454,georginel,7048,7051,Ich,georginel
qd,pkhv.0,6949,7454,georginel,7093,7096,ich,georginel
qd,pkhv.0,6949,7454,georginel,7122,7125,mir,georginel
qd,pkhv.0,6949,7454,georginel,7171,7174,ich,georginel
qd,pkhv.0,6949,7454,georginel,7295,7298,ich,georginel
qd,pkhv.0,6949,7454,georginel,7361,7364,ich,georginel
qd,pkhv.0,7459,7505,stimme_der_mutter,7492,7501,Georginel,georginel
qd,pkhv.0,7799,7898,georginel,7868,7871,ich,georginel
qd,pkhv.0,7941,8110,stimme_der_mutter,8043,8052,Georginel,georginel
qd,pkhv.0,8193,9050,der_dornorganist,8278,8282,mich,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,8303,8307,mich,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,8409,8413,mich,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,8458,8461,mir,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,8501,8504,ich,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,8564,8567,ich,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,8572,8575,ich,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,8640,8643,ich,der_dornorganist
qd,pkhv.0,8193,9050,der_dornorganist,9032,9035,mir,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,9221,9224,Ich,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,9273,9276,ich,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,9704,9707,mir,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,10041,10044,mir,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,10045,10050,meine,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,10111,10114,ich,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,10256,10259,ich,der_dornorganist
qd,pkhv.0,9169,10493,der_dornorganist,10409,10412,ich,der_dornorganist
qd,pkhv.0,10587,10676,der_dornorganist,10622,10625,mir,der_dornorganist
qd,pkhv.0,10587,10676,der_dornorganist,10646,10652,meiner,der_dornorganist
qd,pkhv.0,10730,10881,der_dornorganist,10769,10772,ich,der_dornorganist
qd,pkhv.0,10730,10881,der_dornorganist,10808,10811,ich,der_dornorganist
qd,pkhv.0,10886,11000,stimme_der_mutter,10920,10923,ich,stimme_der_mutter
qd,pkhv.0,11066,11423,der_dornorganist,11324,11327,ich,der_dornorganist
qd,pkhv.0,11562,11692,der_dornorganist,11605,11608,ich,der_dornorganist
qd,pkhv.0,11562,11692,der_dornorganist,11627,11630,ich,der_dornorganist
qd,pkhv.0,11744,11874,der_dornorganist,11796,11799,mir,der_dornorganist
qd,pkhv.0,11744,11874,der_dornorganist,11832,11835,mir,der_dornorganist
qd,pkhv.0,11744,11874,der_dornorganist,11841,11844,ich,der_dornorganist
qd,pkhv.0,12503,12761,der_dornorganist,12638,12647,Georginel,georginel
qd,pkhv.0,12503,12761,der_dornorganist,12663,12672,Georginel,georginel
qd,pkhv.0,12679,12761,_stage,12679,12688,Georginel,georginel
qd,pkhv.0,12679,12761,_stage,12709,12719,Die Mutter,stimme_der_mutter
qd,pkhv.0,12766,12801,georginel,12793,12797,mich,georginel
qd,pkhv.0,13051,13079,_stage,13069,13078,Georginel,georginel
qd,pkhv.0,13034,13346,der_dornorganist,13143,13152,Georginel,georginel
qd,pkhv.0,13351,13441,georginel,13382,13386,mich,georginel
qd,pkhv.0,13351,13441,georginel,13404,13407,ich,georginel
qd,pkhv.0,13447,14773,der_dornorganist,13491,13501,die Mutter,stimme_der_mutter
qd,pkhv.0,13447,14773,der_dornorganist,13533,13537,mich,der_dornorganist
qd,pkhv.0,13447,14773,der_dornorganist,13654,13657,ich,der_dornorganist
qd,pkhv.0,13447,14773,der_dornorganist,13710,13713,mir,der_dornorganist
qd,pkhv.0,13447,14773,der_dornorganist,13728,13731,ich,der_dornorganist
qd,pkhv.0,13447,14773,der_dornorganist,14585,14588,ich,der_dornorganist
qd,pkhv.0,13447,14773,der_dornorganist,14606,14609,ich,der_dornorganist
qd,pkhv.0,14778,14971,georginel,14810,14814,mich,georginel
qd,pkhv.0,14778,14971,georginel,14964,14967,ich,georginel
qd,pkhv.0,14976,15270,der_dornorganist,15106,15109,ich,der_dornorganist
qd,pkhv.0,15276,15347,georginel,15306,15309,ich,georginel
qd,pkhv.0,15353,16056,der_dornorganist,15389,15392,Ich,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15451,15455,mich,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15471,15474,ich,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15481,15485,mich,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15496,15499,ich,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15522,15525,ich,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15620,15623,mir,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15723,15727,mich,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15807,15811,mein,der_dornorganist
qd,pkhv.0,15353,16056,der_dornorganist,15862,15865,mir,der_dornorganist
qd,pkhv.0,16287,16344,georginel,16318,16321,Ich,georginel
qd,pkhv.0,16627,16718,_stage,16627,16636,Georginel,georginel
qd,pkhv.0,17117,17250,stimme_der_mutter,17150,17153,ich,stimme_der_mutter
qd,pkhv.0,17168,17250,_stage,17168,17183,Der Domorganist,der_dornorganist
qd,pkhv.0,17168,17250,_stage,17222,17231,Georginel,georginel
qd,pkhv.0,17267,17301,_stage,17272,17281,Georginel,georginel
qd,pkhv.0,17255,17530,stimme_der_mutter,17491,17500,Georginel,georginel
qd,pkhv.0,17660,18695,der_dornorganist,17695,17699,Mein,der_dornorganist
qd,pkhv.0,17660,18695,der_dornorganist,17774,17777,ich,der_dornorganist
qd,pkhv.0,17660,18695,der_dornorganist,18099,18102,ich,der_dornorganist
qd,pkhv.0,17660,18695,der_dornorganist,18331,18335,mich,der_dornorganist
qd,pkhv.0,17660,18695,der_dornorganist,18385,18389,mich,der_dornorganist
qd,pkhv.0,17660,18695,der_dornorganist,18440,18443,ich,der_dornorganist
qd,pkhv.0,17660,18695,der_dornorganist,18632,18636,mein,der_dornorganist
qd,pkhv.0,18917,19020,_stage,18917,18927,Die Mutter,stimme_der_mutter
qd,pkhv.0,19429,19483,_stage,19429,19438,Georginel,georginel
qd,pkhv.0,19681,20179,der_dornorganist,19855,19858,mir,der_dornorganist
qd,pkhv.0,19681,20179,der_dornorganist,19952,19955,ich,der_dornorganist
qd,pkhv.0,19681,20179,der_dornorganist,19995,20001,meiner,der_dornorganist
qd,pkhv.0,19681,20179,der_dornorganist,20023,20026,ich,der_dornorganist
qd,pkhv.0,19681,20179,der_dornorganist,20108,20111,ich,der_dornorganist
qd,pkhv.0,19681,20179,der_dornorganist,20132,20135,ich,der_dornorganist
qd,pkhv.0,21281,21404,der_eine,21292,21307,Der Domorganist,der_dornorganist
qd,pkhv.0,22890,23037,stimme_der_mutter,22940,22943,Ich,stimme_der_mutter
qd,pkhv.0,23042,23128,georginel,23093,23096,ich,georginel
qd,pkhv.0,23133,23336,stimme_der_mutter,23315,23318,ich,stimme_der_mutter
qd,pkhv.0,23483,23655,stimme_der_mutter,23533,23536,ich,stimme_der_mutter
qd,pkhv.0,23483,23655,stimme_der_mutter,23574,23577,ich,stimme_der_mutter
qd,pkhv.0,23483,23655,stimme_der_mutter,23617,23620,ich,stimme_der_mutter
qd,pkhv.0,24537,24654,georginel,24581,24595,der Seminarist,der_seminarist
qd,pkhv.0,24766,24846,der_seminarist,24789,24793,mich,der_seminarist
qd,pkhv.0,24851,24985,stimme_der_mutter,24915,24919,mein,stimme_der_mutter
qd,pkhv.0,24991,25168,die_zigeunerin,25067,25076,Georginel,georginel
qd,pkhv.0,25501,25985,der_dornorganist,25667,25671,mich,der_dornorganist
qd,pkhv.0,25501,25985,der_dornorganist,25735,25738,ich,der_dornorganist
qd,pkhv.0,25501,25985,der_dornorganist,25905,25911,meiner,der_dornorganist
qd,pkhv.0,25501,25985,der_dornorganist,25978,25981,mir,der_dornorganist
qd,pkhv.0,26029,26174,_stage,26046,26057,der Strolch,der_strolch
qd,pkhv.0,26259,26324,_stage,26259,26270,Der Strolch,der_strolch
qd,pkhv.0,26706,26775,der_dornorganist,26762,26766,mich,der_dornorganist
qd,pkhv.0,27003,27035,_stage,27003,27018,Der Domorganist,der_dornorganist
qd,pkhv.0,27335,27469,der_strolch,27349,27352,Ich,der_strolch
qd,pkhv.0,27335,27469,der_strolch,27439,27442,mir,der_strolch
qd,pkhv.0,27592,28283,der_strolch,27771,27775,mich,der_strolch
qd,pkhv.0,27592,28283,der_strolch,27794,27797,ich,der_strolch
qd,pkhv.0,27592,28283,der_strolch,27798,27801,mir,der_strolch
qd,pkhv.0,27592,28283,der_strolch,27874,27877,ich,der_strolch
qd,pkhv.0,27592,28283,der_strolch,27902,27905,ich,der_strolch
qd,pkhv.0,27592,28283,der_strolch,28044,28047,mir,der_strolch
qd,pkhv.0,27592,28283,der_strolch,28062,28065,ich,der_strolch
qd,pkhv.0,27592,28283,der_strolch,28069,28075,meinen,der_strolch
qd,pkhv.0,27592,28283,der_strolch,28194,28200,meinem,der_strolch
qd,pkhv.0,27592,28283,der_strolch,28220,28224,mich,der_strolch
qd,pkhv.0,27592,28283,der_strolch,28270,28273,ich,der_strolch
qd,pkhv.0,28289,28470,der_dornorganist,28320,28324,mich,der_dornorganist
qd,pkhv.0,28289,28470,der_dornorganist,28359,28362,ich,der_dornorganist
qd,pkhv.0,28289,28470,der_dornorganist,28370,28376,meinen,der_dornorganist
qd,pkhv.0,28289,28470,der_dornorganist,28455,28461,meiner,der_dornorganist
qd,pkhv.0,28475,28655,der_strolch,28489,28492,Ich,der_strolch
qd,pkhv.0,28475,28655,der_strolch,28518,28521,ich,der_strolch
qd,pkhv.0,28475,28655,der_strolch,28543,28546,ich,der_strolch
qd,pkhv.0,29539,31175,der_strolch,29561,29565,Mein,der_strolch
qd,pkhv.0,29539,31175,der_strolch,29616,29622,meinem,der_strolch
qd,pkhv.0,29539,31175,der_strolch,29831,29835,mein,der_strolch
qd,pkhv.0,29539,31175,der_strolch,30067,30071,mein,der_strolch
qd,pkhv.0,29539,31175,der_strolch,30572,30575,mir,der_strolch
qd,pkhv.0,29539,31175,der_strolch,30597,30600,mir,der_strolch
qd,pkhv.0,29539,31175,der_strolch,30613,30616,ich,der_strolch
qd,pkhv.0,29539,31175,der_strolch,30677,30680,ich,der_strolch
qd,pkhv.0,29539,31175,der_strolch,30921,30924,ich,der_strolch
qd,pkhv.0,29539,31175,der_strolch,30979,30983,mein,der_strolch
qd,pkhv.0,29539,31175,der_strolch,31028,31032,mich,der_strolch
qd,pkhv.0,31448,31481,der_strolch,31462,31465,Ich,der_strolch
qd,pkhv.0,31486,31555,der_dornorganist,31512,31517,meine,der_dornorganist
