corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pksn.0,929,1481,THEOBALD,theobald,Ich,PPER,ich,31931,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,weiß,VVFIN,weiß,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,nicht,PTKNEG,nicht,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,was,PWS,was,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,31931,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,tun,VVINF,tun,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,soll,VMFIN,sollen,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,.,$.,--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,Er,PPER,er,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,hält,VVFIN,halten,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,den,ART,der,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,Blumenstrauß,NN,blumenstrauß,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,empor,PTKVZ,empor,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,.,$.,--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,Zertret,VVFIN,zertret,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,31931,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,dich,PRF,dich,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,?,$.,--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,Um,KOUI,um,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,die,ART,der,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,schönen,ADJA,schön,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,Rosen,NN,rose,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,wärs,ADJD,wär,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,schade,ADJD,schade,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,die,ART,der,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,sind,VAFIN,sein,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,unschuldig,ADJD,unschuldig,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,"!",$.,--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,Oder,KON,oder,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,überreich,VVFIN,überreich,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,31931,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,dich,PRF,dich,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,?,$.,--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,Nein,PTKANT,nein,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,gewiß,ADV,gewiß,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,nicht,PTKNEG,nicht,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,",","$,",--,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,und,KON,und,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,das,PDS,der,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,hätt,VVFIN,hätt,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,ich,PPER,ich,31931,theobald,(0)
qd,pksn.0,929,1481,THEOBALD,theobald,ihm,PPER,ihm,31931,,
qd,pksn.0,929,1481,THEOBALD,theobald,gleich,ADV,gleich,31931,,
