corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pm1c.0,632,763,GUNTHER,gunther,Gefällt,VVFIN,gefallen,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,es,PPER,es,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Euch,PPER,euch,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,hochedler,ADJA,hochedl,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Rüdeger,NN,rüdeger,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,So,ADV,so,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,mögt,ADJD,mögen,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Ihr,PPOSAT,ihr,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Eures,NN,dein,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Auftrags,ADV,auftrag,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Euch,PPER,euch,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,entledgen,VVFIN,entledgen,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Denn,KON,denn,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,die,ART,der,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,Burgunden,NN,burgunde,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,sind,VAFIN,sein,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,um,APPR,um,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,mich,PPER,mich,28936,gunther,(0)
qd,pm1c.0,632,763,GUNTHER,gunther,vereint,VVPP,vereinen,28936,,
qd,pm1c.0,632,763,GUNTHER,gunther,.,$.,--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,So,ADV,so,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,werb,VVFIN,werb,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,ich,PPER,ich,28936,rüdeger,(1)
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,denn,ADV,denn,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,im,APPRART,in,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Namen,NN,name,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,meines,PPOSAT,mein,28936,rüdeger,(1)
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Herrn,NN,herr,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Der,ART,der,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,überall,ADV,überall,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,gebietet,VVFIN,gebieten,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,und,KON,und,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,befiehlt,VVFIN,befehlen,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Und,KON,und,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,nur,ADV,nur,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,vor,APPR,vor,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Euch,PPER,euch,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,als,APPR,als,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Bittender,NN,bittender,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,erscheint,VVFIN,erscheinen,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Um,KOUI,um,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Kriemhild,NN,kriemhild,28936,kriemhild,(5)
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,deine,PPOSAT,dein,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,königliche,ADJA,königlich,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Schwester,NN,schwester,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,.,$.,--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Denn,KON,denn,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,sie,PPER,sie,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,allein,ADV,allein,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,ist,VAFIN,sein,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,würdig,ADJD,würdig,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,der,PRELS,der,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,zu,PTKZU,zu,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,folgen,VVINF,folgen,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Die,PRELS,der,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,er,PPER,er,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,mit,APPR,mit,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,bittrem,ADJA,bittr,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Schmerz,NN,schmerz,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,verloren,VVPP,verlieren,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,hat,VAFIN,haben,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Und,KON,und,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Witwer,NE,witwer,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,muß,VMFIN,müssen,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,er,PPER,er,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,bleiben,VVINF,bleiben,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,wenn,KOUS,wenn,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Ihr,PPOSAT,ihr,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,ihm,PPER,ihm,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Die,ART,der,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,einzige,ADJA,einzig,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,verweigert,VVFIN,verweigern,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,welche,PWAT,welcher,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Helke,NN,helke,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Ersetzen,VVINF,ersetzen,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,und,KON,und,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,das,ART,der,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Volk,NN,volk,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,das,PRELS,der,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,sie,PPER,sie,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,betrauert,VVFIN,betrauern,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Als,KOUS,als,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,hätt,VVFIN,hätt,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,ein,ART,ein,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,jeder,PIDAT,jeder,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Teil,NN,teil,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,an,APPR,an,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,ihr,PPOSAT,ihr,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,gehabt,VAPP,haben,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,",","$,",--,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Mit,APPR,mit,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,einer,ART,ein,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,neuen,ADJA,neu,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,Wahl,NN,wahl,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,versöhnen,VVINF,versöhnen,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,kann,VMFIN,können,28936,,
qd,pm1c.0,769,1225,RÜDEGER,rüdeger,.,$.,--,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Wenn,KOUS,wenn,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,du,PPER,du,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,von,APPR,von,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,deinem,PPOSAT,dein,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,königlichen,ADJA,königlich,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Herrn,NN,herr,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Vermelden,VVINF,vermelden,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,kannst,VMFIN,können,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,daß,KOUS,daß,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,er,PPER,er,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,nur,ADV,nur,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,selten,ADJD,selten,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,bittet,VVFIN,bitten,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,So,ADV,so,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,merk,ADJD,merk,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,dir,PPER,dir,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,auch,ADV,auch,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,daß,KOUS,daß,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,wir,PPER,wir,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,nur,ADV,nur,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,selten,ADJD,selten,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,danken,VVINF,danken,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,"!",$.,--,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Doch,KON,doch,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Etzel,NE,etzel,28936,etzel,(18)
qd,pm1c.0,1231,1566,GUNTHER,gunther,hat,VAFIN,haben,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,den,ART,der,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,dunklen,ADJA,dunkel,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Heunen-Thron,NN,heunen-thron,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,So,ADV,so,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,hoch,ADJD,hoch,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,erhöht,VVPP,erhöhen,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,und,KON,und,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,seinen,PPOSAT,sein,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,wilden,ADJA,wild,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Namen,NN,name,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,So,ADV,so,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,manchem,PIDAT,mancher,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Völker-Rücken,NN,völker-rücke,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,eingekerbt,VVPP,einkerben,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Daß,KOUS,daß,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,ich,PPER,ich,28936,gunther,(0)
qd,pm1c.0,1231,1566,GUNTHER,gunther,mich,PRF,mich,28936,gunther,(0)
qd,pm1c.0,1231,1566,GUNTHER,gunther,gern,ADV,gern,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,erhebe,VVFIN,erheben,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,und,KON,und,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,dir,PPER,dir,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,sage,VVFIN,sagen,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,:,$.,--,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,Wir,PPER,wir,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,danken,VVINF,danken,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,ihm,PPER,ihm,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,und,KON,und,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,fühlen,VVFIN,fühlen,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,uns,PPER,uns,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,geehrt,VVPP,ehren,28936,,
qd,pm1c.0,1231,1566,GUNTHER,gunther,.,$.,--,28936,,
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,Und,KON,und,28936,,
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,welche,PWAT,welcher,28936,,
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,weitre,ADJA,weitr,28936,,
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,Antwort,NN,antwort,28936,,
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,bring,VVIMP,bring,28936,,
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,ich,PPER,ich,28936,rüdeger,(1)
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,ihm,PPER,ihm,28936,,
qd,pm1c.0,1572,1621,RÜDEGER,rüdeger,?,$.,--,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Wenn,KOUS,wenn,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,wir,PPER,wir,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,nicht,PTKNEG,nicht,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,die,ART,der,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Trompeten,NN,trompete,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,schallen,VVINF,schallen,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,lassen,VVFIN,lassen,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Und,KON,und,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,die,ART,der,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Johannis-Feuer,NN,johannis-feuer,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,vor,APPR,vor,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,der,ART,der,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Zeit,NN,zeit,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Auf,APPR,auf,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,allen,PIDAT,aller,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Bergen,NN,berg,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,weit,ADJD,weit,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,und,KON,und,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,breit,ADJD,breit,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,entzünden,VVINF,entzünden,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,So,ADV,so,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,glaube,VVFIN,glauben,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,nicht,PTKNEG,nicht,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,daß,KOUS,daß,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,unser,PPOSAT,unser,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Fürstenstolz,NN,fürstenstolz,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Den,ART,der,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Ausbruch,NN,ausbruch,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,unsers,APPRART,unsers,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Jubels,NN,jubel,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,unterdrückt,VVPP,unterdrücken,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Und,KON,und,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,daß,KOUS,daß,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,wir,PPER,wir,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,mehr,ADV,mehr,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,verlangen,VVFIN,verlangen,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,als,APPR,als,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,du,PPER,du,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,bietest,VVFIN,bietest,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Das,ART,der,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,weißt,VVFIN,weißen,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,du,PPER,du,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,wohl,ADV,wohl,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,",","$,",--,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,daß,KOUS,daß,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,Kriemhild,NN,kriemhild,28936,kriemhild,(5)
qd,pm1c.0,1626,1933,GUNTHER,gunther,Witwe,NN,witwe,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,ist,VAFIN,sein,28936,,
qd,pm1c.0,1626,1933,GUNTHER,gunther,.,$.,--,28936,,
qd,pm1c.0,1940,2371,RÜDEGER,rüdeger,Wie,PWAV,wie,28936,,
