corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,pm7m.0,603,26718,0,617,6822,0
qd,pm7m.0,603,26718,0,6836,7547,0
qd,pm7m.0,603,26718,0,7560,8398,0
qd,pm7m.0,603,26718,0,8411,9304,0
qd,pm7m.0,603,26718,0,9317,9599,0
qd,pm7m.0,603,26718,0,9612,10037,0
qd,pm7m.0,603,26718,0,10050,12794,0
qd,pm7m.0,603,26718,0,12807,13441,0
qd,pm7m.0,603,26718,0,13455,20045,0
qd,pm7m.0,603,26718,0,20058,23745,0
qd,pm7m.0,603,26718,0,23758,26718,0
qd,pm7m.0,26733,50803,0,26747,34700,0
qd,pm7m.0,26733,50803,0,34713,35865,0
qd,pm7m.0,26733,50803,0,35878,42674,0
qd,pm7m.0,26733,50803,0,42687,47104,0
qd,pm7m.0,26733,50803,0,47117,50803,0
qd,pm7m.0,50818,75848,0,50832,54518,0
qd,pm7m.0,50818,75848,0,54531,60597,0
qd,pm7m.0,50818,75848,0,60610,61146,0
qd,pm7m.0,50818,75848,0,61160,64404,0
qd,pm7m.0,50818,75848,0,64418,68824,0
qd,pm7m.0,50818,75848,0,68837,71022,0
qd,pm7m.0,50818,75848,0,71036,75848,0
