corpus,drama,figure_surface,figure_id,Gender,Age
qd,pm99.0,KÖNIGIN,königin,,
qd,pm99.0,KÖNIG,könig,,
qd,pm99.0,BENJAMIN,benjamin,,
qd,pm99.0,JACOB,jacob,,
qd,pm99.0,SCHLÜTER,schlüter,,
qd,pm99.0,KILIAN,kilian,,
qd,pm99.0,MUSA,die_muse,,
qd,pm99.0,DIE AFTERMUSE,die_aftermuse,,
qd,pm99.0,BARBARA,barbara,,
qd,pm99.0,DER JÄGER,der_jäger,,
qd,pm99.0,ERSTER KAVALIER,erster_kavalier,,
qd,pm99.0,ERSTE DAME,erste_dame,,
qd,pm99.0,ZWEITER KAVALIER,zweiter_kavalier,,
qd,pm99.0,ZWEITE DAME,zweite_dame,,
qd,pm99.0,JÖRG,jörg,,
qd,pm99.0,DER DICHTER,der_dichter,,
qd,pm99.0,DER PRINZ,der_prinz,,
qd,pm99.0,DOKTOR PFEFFER,doktor_pfeffer,,
qd,pm99.0,PRINZESSIN,die_prinzessin,,
qd,pm99.0,DRITTE DAME,dritte_dame,,
qd,pm99.0,BLOCK,block,,
qd,pm99.0,DER GRAF,der_graf,,
qd,pm99.0,DIE HOFMEISTERIN,die_hofmeisterin,,
