corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pm99.0,3436,7141,der_dichter,3499,3503,mein,der_dichter
qd,pm99.0,3436,7141,der_dichter,3535,3538,mir,der_dichter
qd,pm99.0,3436,7141,der_dichter,3560,3563,Ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,3641,3644,ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,4383,4386,mir,der_dichter
qd,pm99.0,3436,7141,der_dichter,6076,6080,mein,der_dichter
qd,pm99.0,3436,7141,der_dichter,6099,6104,meine,der_dichter
qd,pm99.0,3436,7141,der_dichter,6128,6131,Mir,der_dichter
qd,pm99.0,3436,7141,der_dichter,6169,6172,ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6225,6228,ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6263,6267,mich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6276,6280,mein,der_dichter
qd,pm99.0,3436,7141,der_dichter,6365,6368,ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6554,6557,Ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6592,6595,Ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6647,6650,ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6743,6747,mein,der_dichter
qd,pm99.0,3436,7141,der_dichter,6773,6776,mir,der_dichter
qd,pm99.0,3436,7141,der_dichter,6850,6853,ich,der_dichter
qd,pm99.0,3436,7141,der_dichter,6945,6951,meiner,der_dichter
qd,pm99.0,3436,7141,der_dichter,6983,6986,ich,der_dichter
qd,pm99.0,7047,7066,_stage,7047,7055,Die Muse,die_muse
qd,pm99.0,3436,7141,der_dichter,7122,7126,Mich,der_dichter
qd,pm99.0,7392,7442,_stage,7436,7441,Jacob,jacob
qd,pm99.0,7379,7470,der_dichter,7444,7447,Ich,der_dichter
qd,pm99.0,7475,7654,die_muse,7577,7580,mir,die_muse
qd,pm99.0,7475,7654,die_muse,7597,7600,ich,die_muse
qd,pm99.0,7660,7851,der_dichter,7674,7677,Mir,der_dichter
qd,pm99.0,8280,8904,die_muse,8751,8754,ich,die_muse
qd,pm99.0,8280,8904,die_muse,8849,8854,Jacob,jacob
qd,pm99.0,9023,10288,der_dichter,9083,9086,Mir,der_dichter
qd,pm99.0,9023,10288,der_dichter,9161,9164,mir,der_dichter
qd,pm99.0,9023,10288,der_dichter,9191,9194,Ich,der_dichter
qd,pm99.0,9023,10288,der_dichter,9495,9505,Prinzessin,die_prinzessin
qd,pm99.0,9023,10288,der_dichter,10122,10125,ich,der_dichter
qd,pm99.0,9023,10288,der_dichter,10189,10192,mir,der_dichter
qd,pm99.0,9023,10288,der_dichter,10231,10234,ich,der_dichter
