corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pmfw.0,349,386,_stage,349,358,Odowalsky,odowalsky
qd,pmfw.0,349,386,_stage,363,374,Poniatowsky,poniatowsky
qd,pmfw.0,536,938,odowalsky,568,572,mich,odowalsky
qd,pmfw.0,536,938,odowalsky,707,711,mein,odowalsky
qd,pmfw.0,536,938,odowalsky,760,763,ich,odowalsky
qd,pmfw.0,536,938,odowalsky,836,839,ich,odowalsky
qd,pmfw.0,1435,1615,odowalsky,1553,1556,ich,odowalsky
qd,pmfw.0,1435,1615,odowalsky,1576,1579,ich,odowalsky
qd,pmfw.0,1621,2084,poniatowsky,1647,1651,mein,poniatowsky
qd,pmfw.0,1621,2084,poniatowsky,1717,1720,Ich,poniatowsky
qd,pmfw.0,1621,2084,poniatowsky,1989,1992,ich,poniatowsky
qd,pmfw.0,2090,2118,odowalsky,2101,2104,Ich,odowalsky
qd,pmfw.0,2771,2851,gregory,2796,2800,mein,gregory
qd,pmfw.0,2965,3011,gregory,2982,2985,ich,gregory
qd,pmfw.0,3057,3083,gregory,3078,3082,mein,gregory
qd,pmfw.0,3088,3174,odowalsky,3135,3138,Ich,odowalsky
qd,pmfw.0,3554,3796,odowalsky,3570,3574,mein,odowalsky
qd,pmfw.0,3834,3978,odowalsky,3968,3971,ich,odowalsky
qd,pmfw.0,3984,4099,gregory,4048,4051,ich,gregory
qd,pmfw.0,4382,4580,odowalsky,4394,4401,Mniczek,mniczek
qd,pmfw.0,4382,4580,odowalsky,4563,4566,ich,odowalsky
qd,pmfw.0,4611,4778,odowalsky,4632,4638,Marina,marina
qd,pmfw.0,4815,4998,odowalsky,4988,4991,ich,odowalsky
qd,pmfw.0,5085,5147,gregory,5100,5103,ich,gregory
qd,pmfw.0,5085,5147,gregory,5111,5114,ich,gregory
qd,pmfw.0,5190,5415,poniatowsky,5204,5207,Ich,poniatowsky
qd,pmfw.0,5190,5415,poniatowsky,5253,5256,ich,poniatowsky
qd,pmfw.0,5542,5578,odowalsky,5570,5573,ich,odowalsky
qd,pmfw.0,5617,5722,odowalsky,5648,5651,ich,odowalsky
qd,pmfw.0,5617,5722,odowalsky,5687,5690,mir,odowalsky
qd,pmfw.0,5765,6692,maschinka,5798,5801,ich,maschinka
qd,pmfw.0,5765,6692,maschinka,6011,6014,Ich,maschinka
qd,pmfw.0,5765,6692,maschinka,6043,6046,ich,maschinka
qd,pmfw.0,5765,6692,maschinka,6089,6093,mich,maschinka
qd,pmfw.0,5765,6692,maschinka,6135,6138,ich,maschinka
qd,pmfw.0,5765,6692,maschinka,6320,6324,mich,maschinka
qd,pmfw.0,5765,6692,maschinka,6410,6414,mich,maschinka
qd,pmfw.0,5765,6692,maschinka,6486,6489,Ich,maschinka
qd,pmfw.0,5765,6692,maschinka,6561,6564,mir,maschinka
qd,pmfw.0,6747,6820,_stage,6804,6813,Maschinka,maschinka
qd,pmfw.0,7431,7792,maschinka,7471,7474,ich,maschinka
qd,pmfw.0,7798,7839,demetrius,7835,7838,mir,demetrius
qd,pmfw.0,7845,8173,maschinka,7870,7874,mein,maschinka
qd,pmfw.0,7845,8173,maschinka,8034,8038,mein,maschinka
qd,pmfw.0,7845,8173,maschinka,8045,8048,ich,maschinka
qd,pmfw.0,7845,8173,maschinka,8049,8053,mein,maschinka
qd,pmfw.0,7845,8173,maschinka,8074,8078,mich,maschinka
qd,pmfw.0,8201,8372,maschinka,8213,8216,Ich,maschinka
qd,pmfw.0,8814,8928,demetrius,8826,8831,Meine,demetrius
qd,pmfw.0,8814,8928,demetrius,8901,8904,ich,demetrius
qd,pmfw.0,8934,9113,maschinka,8946,8949,Ich,maschinka
qd,pmfw.0,9338,9368,maschinka,9363,9367,mich,maschinka
qd,pmfw.0,9373,9452,demetrius,9404,9407,Ich,demetrius
qd,pmfw.0,9526,9761,marina,9575,9579,mein,marina
qd,pmfw.0,9823,10292,marina,9907,9910,ich,marina
qd,pmfw.0,9823,10292,marina,10180,10189,Demetrius,demetrius
qd,pmfw.0,10298,10341,demetrius,10336,10340,mich,demetrius
qd,pmfw.0,10396,10694,marina,10429,10438,Maschinka,maschinka
qd,pmfw.0,10396,10694,marina,10562,10566,Mein,marina
qd,pmfw.0,10396,10694,marina,10589,10592,ich,marina
qd,pmfw.0,10720,11571,marina,10752,10755,ich,marina
qd,pmfw.0,10720,11571,marina,10900,10903,ich,marina
qd,pmfw.0,10720,11571,marina,10926,10929,ich,marina
qd,pmfw.0,10720,11571,marina,10930,10933,mir,marina
qd,pmfw.0,10720,11571,marina,10965,10969,mein,marina
qd,pmfw.0,10720,11571,marina,10993,10996,mir,marina
qd,pmfw.0,10720,11571,marina,11010,11014,mich,marina
qd,pmfw.0,11685,11720,marina,11693,11696,Ich,marina
qd,pmfw.0,12025,12043,marina,12033,12042,Maschinka,maschinka
qd,pmfw.0,12048,12814,maschinka,12149,12152,mir,maschinka
qd,pmfw.0,12048,12814,maschinka,12342,12345,ich,maschinka
qd,pmfw.0,12048,12814,maschinka,12377,12382,meine,maschinka
qd,pmfw.0,12048,12814,maschinka,12493,12496,ich,maschinka
qd,pmfw.0,12048,12814,maschinka,12536,12539,ich,maschinka
qd,pmfw.0,12048,12814,maschinka,12697,12700,ich,maschinka
qd,pmfw.0,12048,12814,maschinka,12731,12734,ich,maschinka
qd,pmfw.0,12820,12855,marina,12845,12854,Demetrius,demetrius
qd,pmfw.0,12860,12999,demetrius,12900,12903,ich,demetrius
qd,pmfw.0,13005,13286,maschinka,13101,13104,ich,maschinka
qd,pmfw.0,13330,13391,marina,13375,13379,mich,marina
qd,pmfw.0,13396,13643,demetrius,13408,13414,Marina,marina
qd,pmfw.0,13396,13643,demetrius,13429,13432,Ich,demetrius
qd,pmfw.0,13396,13643,demetrius,13439,13443,mich,demetrius
qd,pmfw.0,13396,13643,demetrius,13472,13478,meinem,demetrius
qd,pmfw.0,13396,13643,demetrius,13567,13570,mir,demetrius
qd,pmfw.0,13396,13643,demetrius,13617,13621,mich,demetrius
qd,pmfw.0,13700,14148,demetrius,13815,13818,ich,demetrius
qd,pmfw.0,13700,14148,demetrius,13924,13927,Ich,demetrius
qd,pmfw.0,13700,14148,demetrius,13962,13965,Ich,demetrius
qd,pmfw.0,13700,14148,demetrius,13984,13990,meiner,demetrius
qd,pmfw.0,13700,14148,demetrius,14013,14016,ich,demetrius
qd,pmfw.0,13700,14148,demetrius,14038,14044,meinem,demetrius
qd,pmfw.0,13700,14148,demetrius,14052,14055,Mir,demetrius
qd,pmfw.0,13700,14148,demetrius,14095,14098,ich,demetrius
qd,pmfw.0,14182,14399,demetrius,14237,14240,ich,demetrius
qd,pmfw.0,14182,14399,demetrius,14315,14318,ich,demetrius
qd,pmfw.0,14441,14761,demetrius,14453,14456,Ich,demetrius
qd,pmfw.0,14441,14761,demetrius,14470,14473,Ich,demetrius
qd,pmfw.0,14441,14761,demetrius,14479,14483,mich,demetrius
qd,pmfw.0,14441,14761,demetrius,14615,14618,mir,demetrius
qd,pmfw.0,14441,14761,demetrius,14658,14661,ich,demetrius
qd,pmfw.0,14441,14761,demetrius,14697,14703,Marina,marina
qd,pmfw.0,14441,14761,demetrius,14709,14713,mich,demetrius
qd,pmfw.0,14738,14761,_stage,14751,14757,Marina,marina
qd,pmfw.0,14766,14921,marina,14909,14912,ich,marina
qd,pmfw.0,14927,15158,demetrius,14953,14957,mich,demetrius
qd,pmfw.0,14927,15158,demetrius,14994,14997,ich,demetrius
qd,pmfw.0,14927,15158,demetrius,15014,15018,mich,demetrius
qd,pmfw.0,14927,15158,demetrius,15035,15038,mir,demetrius
qd,pmfw.0,14927,15158,demetrius,15050,15054,mich,demetrius
qd,pmfw.0,14927,15158,demetrius,15089,15092,ich,demetrius
qd,pmfw.0,15164,15267,marina,15173,15176,Ich,marina
qd,pmfw.0,15273,15323,demetrius,15288,15291,ich,demetrius
qd,pmfw.0,15328,15513,marina,15423,15426,Ich,marina
qd,pmfw.0,15328,15513,marina,15443,15447,Mein,marina
qd,pmfw.0,15519,15560,demetrius,15530,15533,Ich,demetrius
qd,pmfw.0,15519,15560,demetrius,15550,15553,mir,demetrius
qd,pmfw.0,15594,15777,demetrius,15606,15610,Mich,demetrius
qd,pmfw.0,15594,15777,demetrius,15666,15669,mir,demetrius
qd,pmfw.0,15594,15777,demetrius,15737,15740,ich,demetrius
qd,pmfw.0,15783,15971,marina,15933,15937,mich,marina
qd,pmfw.0,15977,16058,demetrius,15989,15992,Ich,demetrius
qd,pmfw.0,15977,16058,demetrius,16001,16005,mich,demetrius
qd,pmfw.0,16165,16261,demetrius,16177,16180,Ich,demetrius
qd,pmfw.0,16267,16309,marina,16279,16282,ich,marina
qd,pmfw.0,16267,16309,marina,16284,16287,ich,marina
qd,pmfw.0,16664,16803,marina,16688,16691,mir,marina
qd,pmfw.0,16664,16803,marina,16764,16767,ich,marina
qd,pmfw.0,16664,16803,marina,16768,16777,Maschinka,maschinka
qd,pmfw.0,16809,16908,demetrius,16858,16861,ich,demetrius
qd,pmfw.0,16809,16908,demetrius,16869,16873,Mich,demetrius
qd,pmfw.0,16953,17238,demetrius,16972,16975,mir,demetrius
qd,pmfw.0,16953,17238,demetrius,16987,16990,ich,demetrius
qd,pmfw.0,16953,17238,demetrius,17035,17038,ich,demetrius
qd,pmfw.0,16953,17238,demetrius,17113,17117,mich,demetrius
qd,pmfw.0,16953,17238,demetrius,17167,17170,ich,demetrius
qd,pmfw.0,16953,17238,demetrius,17171,17176,meine,demetrius
qd,pmfw.0,17244,17292,marina,17252,17256,Mich,marina
qd,pmfw.0,17244,17292,marina,17273,17276,ich,marina
qd,pmfw.0,17297,17330,demetrius,17308,17311,Ich,demetrius
qd,pmfw.0,17335,17490,marina,17393,17397,mich,marina
qd,pmfw.0,17335,17490,marina,17412,17415,Ich,marina
qd,pmfw.0,17497,17908,demetrius,17527,17530,mir,demetrius
qd,pmfw.0,17914,18110,marina,17988,17991,ich,marina
qd,pmfw.0,17914,18110,marina,17992,17996,mich,marina
qd,pmfw.0,18116,18255,demetrius,18128,18134,Marina,marina
qd,pmfw.0,18261,18309,marina,18290,18293,ich,marina
qd,pmfw.0,18314,18370,demetrius,18325,18328,Ich,demetrius
qd,pmfw.0,18375,18432,marina,18400,18403,ich,marina
qd,pmfw.0,18375,18432,marina,18414,18417,mir,marina
qd,pmfw.0,18437,18979,demetrius,18453,18457,mich,demetrius
qd,pmfw.0,18437,18979,demetrius,18686,18691,meine,demetrius
qd,pmfw.0,18437,18979,demetrius,18703,18706,Ich,demetrius
qd,pmfw.0,18437,18979,demetrius,18757,18760,ich,demetrius
qd,pmfw.0,18437,18979,demetrius,18782,18785,ich,demetrius
qd,pmfw.0,18437,18979,demetrius,18892,18896,mich,demetrius
