corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,pmgg.0,alexandra,9,
qd,pmgg.0,soemus,12,
qd,pmgg.0,moses,14,
qd,pmgg.0,herodes,1,
qd,pmgg.0,joseph,8,
qd,pmgg.0,stimmen_im_hintergrund,18,
qd,pmgg.0,titus,5,
qd,pmgg.0,joab,0,
qd,pmgg.0,serubabel,4,
qd,pmgg.0,mariamne,7,
qd,pmgg.0,judas,2,
qd,pmgg.0,ein_bote,13,
qd,pmgg.0,artaxerxes,15,
qd,pmgg.0,sameas,3,
qd,pmgg.0,salome,11,
qd,pmgg.0,aaron,19,
qd,pmgg.0,silo,17,
qd,pmgg.0,philo,10,
qd,pmgg.0,erster_könig,20,
qd,pmgg.0,zweiter_könig,21,
qd,pmgg.0,jehu,16,
qd,pmgg.0,ein_diener,6,
qd,pmgg.0,dritter_könig,22,
