corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,pmgg.0,682,33153,0,696,12845,0
qd,pmgg.0,682,33153,0,12859,13468,0
qd,pmgg.0,682,33153,0,13482,23873,0
qd,pmgg.0,682,33153,0,23886,25510,0
qd,pmgg.0,682,33153,0,25524,32901,0
qd,pmgg.0,682,33153,0,32915,33153,0
qd,pmgg.0,33168,69729,0,33182,43684,0
qd,pmgg.0,33168,69729,0,43697,45582,0
qd,pmgg.0,33168,69729,0,45596,53528,0
qd,pmgg.0,33168,69729,0,53542,57980,0
qd,pmgg.0,33168,69729,0,57994,66829,0
qd,pmgg.0,33168,69729,0,66844,69586,0
qd,pmgg.0,33168,69729,0,69600,69729,0
qd,pmgg.0,69745,96384,0,69759,76790,0
qd,pmgg.0,69745,96384,0,76804,80321,0
qd,pmgg.0,69745,96384,0,80336,83548,0
qd,pmgg.0,69745,96384,0,83563,85464,0
qd,pmgg.0,69745,96384,0,85478,87545,0
qd,pmgg.0,69745,96384,0,87559,96384,0
qd,pmgg.0,96399,129887,0,96413,97486,0
qd,pmgg.0,96399,129887,0,97501,101691,0
qd,pmgg.0,96399,129887,0,101704,111116,0
qd,pmgg.0,96399,129887,0,111130,117593,0
qd,pmgg.0,96399,129887,0,117606,118503,0
qd,pmgg.0,96399,129887,0,118517,121212,0
qd,pmgg.0,96399,129887,0,121225,125126,0
qd,pmgg.0,96399,129887,0,125139,129887,0
qd,pmgg.0,129903,165853,0,129917,132978,0
qd,pmgg.0,129903,165853,0,132991,133252,0
qd,pmgg.0,129903,165853,0,133266,136090,0
qd,pmgg.0,129903,165853,0,136104,138530,0
qd,pmgg.0,129903,165853,0,138545,147386,0
qd,pmgg.0,129903,165853,0,147399,155068,0
qd,pmgg.0,129903,165853,0,155081,155540,0
qd,pmgg.0,129903,165853,0,155554,165853,0
