corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,pn22.0,438,528,BRUNHILD,brunhild,Woher,PWAV,woher,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,so,ADV,so,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,früh,ADJD,früh,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,?,$.,--,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,Dir,NE,dir,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,trieft,VVFIN,triefen,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,das,ART,der,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,Haar,NN,haar,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,von,APPR,von,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,Tau,NE,tau,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,",","$,",--,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,Und,KON,und,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,dein,PPOSAT,dein,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,Gewand,NN,gewand,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,ist,VAFIN,sein,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,blutbesprengt,VVPP,blutbesprengen,21894,,
qd,pn22.0,438,528,BRUNHILD,brunhild,.,$.,--,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,Ich,PPER,ich,21894,frigga,(1)
qd,pn22.0,534,617,FRIGGA,frigga,habe,VAFIN,haben,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,Den,ART,der,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,alten,ADJA,alt,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,Göttern,NN,götter,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,",","$,",--,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,eh,ADV,eh,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,der,ART,der,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,Mond,NE,mond,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,zerbrach,VVFIN,zerbrechen,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,",","$,",--,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,Ein,ART,ein,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,Opfer,NN,opfer,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,dargebracht,VVPP,darbringen,21894,,
qd,pn22.0,534,617,FRIGGA,frigga,.,$.,--,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Den,ART,der,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,alten,ADJA,alt,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Göttern,NN,götter,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,"!",$.,--,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Jetzt,ADV,jetzt,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,herrscht,VVFIN,herrschen,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,das,ART,der,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Kreuz,NN,kreuz,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,",","$,",--,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,und,KON,und,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Thor,NN,thor,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,und,KON,und,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Odin,NE,odin,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,sitzen,VVFIN,sitzen,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Als,APPR,als,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Teufel,NN,teufel,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,in,APPR,in,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,der,ART,der,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,Hölle,NN,hölle,21894,,
qd,pn22.0,623,730,BRUNHILD,brunhild,.,$.,--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Fürchtest,NN,fürchtest,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,du,PPER,du,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Sie,PPER,sie,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,darum,PROAV,darum,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,weniger,ADV,weniger,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,?,$.,--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Sie,PPER,sie,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,können,VMFIN,können,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,uns,PPER,uns,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Noch,ADV,noch,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,immer,ADV,immer,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,fluchen,VVINF,fluchen,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,",","$,",--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,wenn,KOUS,wenn,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,auch,ADV,auch,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,nicht,PTKNEG,nicht,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,mehr,ADV,mehr,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,segnen,VVINF,segnen,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,",","$,",--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Und,KON,und,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,willig,ADJD,willig,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,schlacht,VVFIN,schlachen,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,ich,PPER,ich,21894,frigga,(1)
qd,pn22.0,736,945,FRIGGA,frigga,ihnen,PPER,ihnen,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,ihren,PPOSAT,ihr,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Bock,NN,bock,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,.,$.,--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,O,NE,O,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,",","$,",--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,tätest,VVFIN,täteen,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,du,PPER,du,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,es,PPER,es,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,auch,ADV,auch,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,"!",$.,--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Du,PPER,du,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,hättest,VAFIN,hättesen,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Grund,NN,grund,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,",","$,",--,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,Wie,PWAV,wie,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,keine,PIAT,kein,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,zweite,ADJA,zweiter,21894,,
qd,pn22.0,736,945,FRIGGA,frigga,.,$.,--,21894,,
qd,pn22.0,951,965,BRUNHILD,brunhild,Ich,PPER,ich,21894,brunhild,(0)
qd,pn22.0,951,965,BRUNHILD,brunhild,?,$.,--,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,Ein,ART,ein,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,ander,ADJA,ander,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,Mal,NN,mal,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,"!",$.,--,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,Längst,ADV,längst,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,sollt,VVFIN,sollen,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,ich,PPER,ich,21894,frigga,(1)
qd,pn22.0,970,1059,FRIGGA,frigga,dir,PRF,dir,21894,,
qd,pn22.0,970,1059,FRIGGA,frigga,erzählen,VVINF,erzählen,21894,,
