corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Mit,APPR,mit,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Stolz,NN,stolz,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Mylord,NE,mylord,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,nenn,VVFIN,nenn,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,ich,PPER,ich,8835,douglas,(0)
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Euch,PPER,euch,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,heute,ADV,heute,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,:,$.,--,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Vater,NN,vater,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,MAC-GREGOR,NE,mac-gregor,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Mit,APPR,mit,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,noch,ADV,noch,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,weit,ADJD,weit,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,größerm,APPRART,größer,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Stolz,NN,stolz,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,nenn,VVFIN,nenn,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,ich,PPER,ich,8835,douglas,(0)
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Euch,PPER,euch,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,:,$.,--,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,Sohn,NN,sohn,8835,,
qd,ptkw.0,3914,4054,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,»,XY,»,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,Was,PWS,was,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,ist,VAFIN,sein,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,von,APPR,von,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,Blut,NN,blut,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,dein,PPOSAT,dein,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,Schwert,NN,schwert,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,so,ADV,so,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,rot,ADJD,rot,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,?,$.,--,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,Edward,NE,edward,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,",","$,",--,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,Edward,NE,edward,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,?,$.,--,8835,,
qd,ptkw.0,4059,4165,MARGARETE,margarete,«,XY,«,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Um,APPR,um,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Gott,NN,gott,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Mylord,NE,mylord,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,welch,PWAT,welcher,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,gläsern,NN,gläsern,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,geller,ADJD,gell,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Laut,APPR,laut,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,?,$.,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Es,PPER,es,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,fängt,VVFIN,fangen,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,zu,PTKZU,zu,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,singen,VVINF,singen,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,an,PTKVZ,an,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,das,ART,der,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,stumme,ADJA,stumm,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Bild,NN,bild,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,–,XY,–,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,MAC-GREGOR,NE,mac-gregor,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,mit,APPR,mit,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,erzwungenem,ADJA,erzwingen,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Lächeln,NN,lächeln,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Stört,NN,stören,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Euch,PPER,euch,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,nicht,PTKNEG,nicht,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,dran,PROAV,dran,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Es,PPER,es,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,ist,VAFIN,sein,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,die,ART,der,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,tolle,ADJA,toll,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Margarete,NE,margarete,8835,margarete,(1)
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Gehört,NN,gehört,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,zum,APPRART,zu,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Schloß,NN,schloß,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Sie,PPER,sie,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,leidet,VVFIN,leiden,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,an,APPR,an,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,der,ART,der,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Starrsucht,NN,starrsucht,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Seit,KOUS,seit,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Jahr,NN,jahr,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,und,KON,und,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Tag,NN,tag,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Mit,APPR,mit,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,stieren,ADJA,stieren,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Augen,NN,auge,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,liegt,VVFIN,liegen,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,sie,PPER,sie,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Gekauert,VVPP,gekauert,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,manch,PIDAT,manch,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,unheimlich,ADJD,unheimlich,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,lange,ADJA,lang,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Stunde,NN,stunde,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,;,$.,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Und,KON,und,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,dann,ADV,dann,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,und,KON,und,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,wann,ADV,wann,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,wie,PWAV,wie,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,',$[,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,n,XY,--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Stein,NN,stein,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,der,PRELS,der,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,sprechen,VVINF,sprechen,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,kann,VMFIN,können,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Bewegungslos,NN,bewegungslos,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,",","$,",--,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,quäkt,VVFIN,quäken,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,sie,PPER,sie,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,ein,ART,ein,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,altes,ADJA,alt,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,Lied,NN,lied,8835,,
qd,ptkw.0,4171,4647,DOUGLAS,douglas,–,XY,–,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,Warum,PWAV,warum,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,behaltet,VVFIN,behalten,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,Ihr,PPOSAT,ihr,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,im,APPRART,in,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,Schloß,NN,schloß,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,solch,PIDAT,solch,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,Schrecknis,NN,schrecknis,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,?,$.,--,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,MAC-GREGOR,NE,mac-gregor,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,leise,ADJD,leise,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,zu,PTKZU,zu,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,ihm,PPER,ihm,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,.,$.,--,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,Still,NE,still,8835,,
qd,ptkw.0,4653,4840,DOUGLAS,douglas,",","$,",--,8835,,
