corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,pzj2.0,1063,1346,_stage,1128,1134,Eckard,eckard
qd,pzj2.0,1063,1346,_stage,1136,1140,Fust,fust
qd,pzj2.0,1063,1346,_stage,1155,1159,Bodo,bodo
qd,pzj2.0,1063,1346,_stage,1164,1172,Wallberg,wallberg
qd,pzj2.0,1063,1346,_stage,1204,1211,Frowald,frowald
qd,pzj2.0,1063,1346,_stage,1302,1306,Veit,veit
qd,pzj2.0,1063,1346,_stage,1316,1320,Hans,hans
qd,pzj2.0,1997,2008,_stage,2000,2007,Frowald,frowald
qd,pzj2.0,1991,2089,fust,2029,2033,Mann,mann
qd,pzj2.0,2363,2430,günther,2417,2423,meinen,günther
qd,pzj2.0,2435,2748,frowald,2445,2448,Ich,frowald
qd,pzj2.0,2435,2748,frowald,2519,2527,Mathilde,mathilde
qd,pzj2.0,2753,2914,käsperle,2822,2825,ich,käsperle
qd,pzj2.0,3295,3344,bodo,3302,3306,Fust,fust
qd,pzj2.0,3399,3514,fust,3426,3433,Rudolph,rudolph
qd,pzj2.0,3520,3735,eckhard,3552,3558,Ritter,ritter
qd,pzj2.0,3740,3797,fust,3747,3750,Ich,fust
qd,pzj2.0,3740,3797,fust,3769,3773,mich,fust
qd,pzj2.0,3802,3999,eckhard,3836,3839,ich,eckhard
qd,pzj2.0,3802,3999,eckhard,3980,3983,Ich,eckhard
qd,pzj2.0,4050,4066,_stage,4058,4065,Rudolph,rudolph
qd,pzj2.0,4122,4227,fust,4159,4165,Ritter,ritter
qd,pzj2.0,4499,4507,_stage,4502,4506,Fust,fust
qd,pzj2.0,4490,4661,eckhard,4536,4539,ich,eckhard
qd,pzj2.0,4490,4661,eckhard,4633,4636,ich,eckhard
qd,pzj2.0,4666,4753,fust,4709,4712,ich,fust
qd,pzj2.0,4863,4991,käsperle,4962,4965,Ich,käsperle
qd,pzj2.0,5043,5066,_stage,5052,5059,Frowald,frowald
qd,pzj2.0,5043,5066,_stage,5061,5065,Veit,veit
qd,pzj2.0,5069,5145,frowald,5084,5090,Ritter,ritter
qd,pzj2.0,5343,5479,frowald,5412,5418,Ritter,ritter
qd,pzj2.0,5484,5597,günther,5541,5544,ich,günther
qd,pzj2.0,5665,5744,günther,5699,5705,meinem,günther
qd,pzj2.0,5665,5744,günther,5714,5717,Ich,günther
qd,pzj2.0,5665,5744,günther,5723,5727,mein,günther
qd,pzj2.0,5749,5983,veit,5770,5774,mich,veit
qd,pzj2.0,5749,5983,veit,5823,5827,Mann,mann
qd,pzj2.0,5749,5983,veit,5838,5842,Otto,otto
qd,pzj2.0,5988,6036,günther,6020,6023,ich,günther
qd,pzj2.0,6088,6117,_stage,6106,6116,Wallfahrer,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6178,6181,mir,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6187,6190,ich,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6243,6248,meine,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6296,6299,ich,wallfahrer
qd,pzj2.0,6120,6362,wallfahrer,6345,6348,mir,wallfahrer
qd,pzj2.0,6367,6463,günther,6377,6381,Veit,veit
qd,pzj2.0,6367,6463,günther,6400,6404,Mann,mann
qd,pzj2.0,6367,6463,günther,6442,6446,Veit,veit
qd,pzj2.0,6469,6767,wallfahrer,6512,6515,ich,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6543,6546,ich,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6611,6616,meine,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6659,6663,mich,wallfahrer
qd,pzj2.0,6469,6767,wallfahrer,6679,6682,ich,wallfahrer
qd,pzj2.0,6934,7046,günther,6962,6966,Mann,mann
qd,pzj2.0,7104,7212,günther,7120,7124,Veit,veit
qd,pzj2.0,7217,7602,veit,7402,7408,Kilian,kilian
