corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,q41n.0,536,710,_stage,536,545,Leporello,leporello
qd,q41n.0,536,710,_stage,576,584,Don Juan,don
qd,q41n.0,536,710,_stage,576,579,Don,don
qd,q41n.0,713,927,don,773,776,Ich,don
qd,q41n.0,713,927,don,867,871,mein,don
qd,q41n.0,713,927,don,872,878,Diener,diener
qd,q41n.0,713,927,don,917,926,Leporello,leporello
qd,q41n.0,932,1026,leporello,964,970,meiner,leporello
qd,q41n.0,1189,1531,don,1250,1253,ich,don
qd,q41n.0,1189,1531,don,1258,1261,mir,don
qd,q41n.0,1189,1531,don,1279,1283,mich,don
qd,q41n.0,1189,1531,don,1309,1313,mich,don
qd,q41n.0,1536,1755,der_fischer,1577,1580,Ich,der_fischer
qd,q41n.0,1760,2359,don,2044,2048,mich,don
qd,q41n.0,1760,2359,don,2077,2081,mich,don
qd,q41n.0,1760,2359,don,2107,2113,meinen,don
qd,q41n.0,2364,2588,der_fischer,2499,2507,der alte,der_fischer
qd,q41n.0,2603,2671,_stage,2636,2645,Leporello,leporello
qd,q41n.0,2800,3366,der_fischer,2948,2952,mein,der_fischer
qd,q41n.0,2800,3366,der_fischer,3018,3021,ich,der_fischer
qd,q41n.0,3371,3490,don,3382,3385,Ich,don
qd,q41n.0,3495,3873,der_fischer,3800,3808,Don Juan,don
qd,q41n.0,3495,3873,der_fischer,3800,3803,Don,don
qd,q41n.0,3918,3938,_stage,3918,3926,Don Juan,don
qd,q41n.0,3918,3938,_stage,3918,3921,Don,don
qd,q41n.0,3918,3938,_stage,3928,3937,Leporello,leporello
qd,q41n.0,3941,4325,don,4016,4021,meine,don
qd,q41n.0,3941,4325,don,4180,4183,Mir,don
qd,q41n.0,4378,4630,don,4547,4550,ich,don
qd,q41n.0,4378,4630,don,4571,4574,mir,don
qd,q41n.0,4635,4716,leporello,4677,4685,der alte,der_fischer
qd,q41n.0,4809,5081,leporello,4992,4995,ich,leporello
qd,q41n.0,4809,5081,leporello,5031,5035,mich,leporello
qd,q41n.0,4809,5081,leporello,5055,5058,ich,leporello
qd,q41n.0,4809,5081,leporello,5066,5070,mich,leporello
qd,q41n.0,5141,5261,leporello,5199,5202,ich,leporello
qd,q41n.0,5141,5261,leporello,5203,5207,mich,leporello
qd,q41n.0,5141,5261,leporello,5238,5241,Ich,leporello
qd,q41n.0,5305,5779,leporello,5334,5338,mein,leporello
qd,q41n.0,5305,5779,leporello,5370,5373,ich,leporello
qd,q41n.0,5305,5779,leporello,5453,5456,mir,leporello
qd,q41n.0,5305,5779,leporello,5565,5568,ich,leporello
qd,q41n.0,5305,5779,leporello,5662,5668,meinen,leporello
qd,q41n.0,5784,6043,don,6031,6036,meine,don
qd,q41n.0,6048,6182,leporello,6060,6063,Ich,leporello
qd,q41n.0,6048,6182,leporello,6111,6114,ich,leporello
qd,q41n.0,6048,6182,leporello,6143,6146,ich,leporello
qd,q41n.0,6188,6275,don,6214,6217,mir,don
qd,q41n.0,6389,6514,don,6475,6484,Leporello,leporello
qd,q41n.0,6519,7042,leporello,6790,6793,ich,leporello
qd,q41n.0,6519,7042,leporello,6927,6930,ich,leporello
qd,q41n.0,6519,7042,leporello,6943,6946,mir,leporello
qd,q41n.0,6519,7042,leporello,6957,6960,ich,leporello
qd,q41n.0,7047,7265,don,7145,7148,ich,don
qd,q41n.0,7047,7265,don,7175,7181,Diener,diener
qd,q41n.0,7426,7813,don,7471,7474,ich,don
qd,q41n.0,7426,7813,don,7493,7496,ich,don
qd,q41n.0,7426,7813,don,7545,7548,ich,don
qd,q41n.0,7426,7813,don,7549,7553,mich,don
qd,q41n.0,7426,7813,don,7578,7582,mein,don
qd,q41n.0,7426,7813,don,7659,7662,ich,don
qd,q41n.0,7426,7813,don,7710,7713,ich,don
qd,q41n.0,7426,7813,don,7755,7758,ich,don
qd,q41n.0,7426,7813,don,7759,7763,mich,don
qd,q41n.0,7426,7813,don,7775,7783,der Alte,der_fischer
qd,q41n.0,7861,8315,don,7932,7935,ich,don
qd,q41n.0,7861,8315,don,7945,7948,mir,don
qd,q41n.0,7861,8315,don,8022,8026,mich,don
qd,q41n.0,7861,8315,don,8061,8064,ich,don
qd,q41n.0,7861,8315,don,8097,8100,Ich,don
qd,q41n.0,7861,8315,don,8140,8143,mir,don
qd,q41n.0,7861,8315,don,8171,8174,ich,don
qd,q41n.0,8804,9470,leporello,8958,8961,ich,leporello
qd,q41n.0,8804,9470,leporello,8971,8975,mich,leporello
qd,q41n.0,8804,9470,leporello,9010,9013,mir,leporello
qd,q41n.0,8804,9470,leporello,9028,9031,ich,leporello
qd,q41n.0,8804,9470,leporello,9041,9044,mir,leporello
qd,q41n.0,8804,9470,leporello,9124,9127,ich,leporello
qd,q41n.0,8804,9470,leporello,9216,9219,ich,leporello
qd,q41n.0,9255,9304,_stage,9255,9260,Ghita,ghita
qd,q41n.0,9255,9304,_stage,9265,9272,Martina,martina
qd,q41n.0,9308,9470,_stage,9380,9385,Ghita,ghita
qd,q41n.0,9637,9985,don,9967,9970,ich,don
qd,q41n.0,10070,10294,don,10129,10132,mir,don
qd,q41n.0,10070,10294,don,10261,10264,Ich,don
qd,q41n.0,10352,10514,don,10375,10379,mein,don
qd,q41n.0,10399,10452,_stage,10399,10404,Ghita,ghita
qd,q41n.0,10456,10514,_stage,10476,10484,Don Juan,don
qd,q41n.0,10456,10514,_stage,10476,10479,Don,don
qd,q41n.0,10519,10668,don,10530,10533,Ich,don
qd,q41n.0,10519,10668,don,10592,10595,ich,don
qd,q41n.0,10673,10746,ghita,10688,10691,Ich,ghita
qd,q41n.0,10751,10934,don,10767,10770,ich,don
qd,q41n.0,10751,10934,don,10794,10797,mir,don
qd,q41n.0,10751,10934,don,10823,10828,meine,don
qd,q41n.0,10939,10977,ghita,10966,10970,Mein,ghita
qd,q41n.0,10982,11317,don,11220,11223,mir,don
qd,q41n.0,11322,11509,ghita,11404,11407,Ich,ghita
qd,q41n.0,11322,11509,ghita,11448,11455,Martina,martina
qd,q41n.0,11553,11573,_stage,11553,11561,Don Juan,don
qd,q41n.0,11553,11573,_stage,11553,11556,Don,don
qd,q41n.0,11553,11573,_stage,11563,11572,Leporello,leporello
qd,q41n.0,11576,11869,don,11611,11616,Meine,don
qd,q41n.0,11576,11869,don,11763,11768,meine,don
qd,q41n.0,11576,11869,don,11859,11868,Leporello,leporello
qd,q41n.0,12139,12291,don,12160,12164,mich,don
qd,q41n.0,12139,12291,don,12188,12192,mich,don
qd,q41n.0,12403,12929,don,12459,12462,mir,don
qd,q41n.0,12403,12929,don,12500,12503,ich,don
qd,q41n.0,12403,12929,don,12881,12884,ich,don
qd,q41n.0,12403,12929,don,12893,12896,Ich,don
qd,q41n.0,12934,13044,leporello,12993,12996,ich,leporello
qd,q41n.0,13089,13126,_stage,13089,13097,Don Juan,don
qd,q41n.0,13089,13126,_stage,13089,13092,Don,don
qd,q41n.0,14266,14368,don,14289,14292,mir,don
qd,q41n.0,14564,14856,don,14631,14634,Ich,don
qd,q41n.0,14564,14856,don,14702,14705,ich,don
qd,q41n.0,14564,14856,don,14753,14756,mir,don
qd,q41n.0,14564,14856,don,14788,14791,ich,don
qd,q41n.0,14862,15062,der_mönch,14874,14878,Mein,der_mönch
qd,q41n.0,14862,15062,der_mönch,14892,14896,mich,der_mönch
qd,q41n.0,14862,15062,der_mönch,14969,14972,ich,der_mönch
qd,q41n.0,14862,15062,der_mönch,15002,15005,ich,der_mönch
qd,q41n.0,14862,15062,der_mönch,15033,15038,meine,der_mönch
qd,q41n.0,15905,16080,don,15947,15950,mir,don
qd,q41n.0,15905,16080,don,15968,15972,mich,don
qd,q41n.0,15905,16080,don,16066,16069,mir,don
qd,q41n.0,16121,16222,don,16147,16150,ich,don
qd,q41n.0,16121,16222,don,16191,16194,ich,don
qd,q41n.0,16121,16222,don,16200,16205,meine,don
qd,q41n.0,16255,16640,don,16266,16271,Meine,don
qd,q41n.0,16255,16640,don,16321,16324,ich,don
qd,q41n.0,16255,16640,don,16338,16342,mich,don
qd,q41n.0,16255,16640,don,16398,16401,ich,don
qd,q41n.0,16255,16640,don,16441,16447,Meinen,don
qd,q41n.0,16255,16640,don,16459,16462,ich,don
qd,q41n.0,16255,16640,don,16491,16497,meinen,don
qd,q41n.0,16255,16640,don,16543,16546,mir,don
qd,q41n.0,16255,16640,don,16573,16577,mich,don
qd,q41n.0,16255,16640,don,16624,16627,mir,don
qd,q41n.0,16751,17162,don,16818,16822,mich,don
qd,q41n.0,16751,17162,don,16864,16867,mir,don
qd,q41n.0,16751,17162,don,16935,16938,ich,don
qd,q41n.0,16751,17162,don,16960,16964,mich,don
qd,q41n.0,16751,17162,don,16984,16987,ich,don
qd,q41n.0,16751,17162,don,16988,16991,mir,don
qd,q41n.0,16751,17162,don,17046,17049,ich,don
qd,q41n.0,16751,17162,don,17083,17086,ich,don
qd,q41n.0,16751,17162,don,17119,17122,mir,don
qd,q41n.0,17269,17739,don,17486,17489,Ich,don
qd,q41n.0,17269,17739,don,17538,17541,ich,don
qd,q41n.0,17269,17739,don,17664,17668,mich,don
qd,q41n.0,17269,17739,don,17716,17720,mich,don
qd,q41n.0,17744,17879,der_mönch,17815,17818,Ich,der_mönch
qd,q41n.0,17885,18233,don,17945,17951,meiner,don
qd,q41n.0,17885,18233,don,17973,17976,mir,don
qd,q41n.0,17885,18233,don,17989,17993,mein,don
qd,q41n.0,17885,18233,don,18032,18036,mein,don
qd,q41n.0,17885,18233,don,18096,18099,Ich,don
qd,q41n.0,17885,18233,don,18161,18164,mir,don
qd,q41n.0,18351,18892,don,18372,18375,ich,don
qd,q41n.0,18351,18892,don,18403,18406,ich,don
qd,q41n.0,18351,18892,don,18437,18440,mir,don
qd,q41n.0,18351,18892,don,18554,18558,mich,don
qd,q41n.0,18351,18892,don,18568,18571,ich,don
qd,q41n.0,18351,18892,don,18639,18642,ich,don
qd,q41n.0,18351,18892,don,18672,18675,mir,don
qd,q41n.0,18351,18892,don,18789,18792,mir,don
qd,q41n.0,18351,18892,don,18827,18830,mir,don
qd,q41n.0,18351,18892,don,18868,18871,mir,don
qd,q41n.0,18897,19331,der_mönch,18909,18912,Ich,der_mönch
qd,q41n.0,18897,19331,der_mönch,19018,19021,ich,der_mönch
qd,q41n.0,18897,19331,der_mönch,19039,19042,mir,der_mönch
qd,q41n.0,19376,20265,don,19696,19699,ich,don
qd,q41n.0,19376,20265,don,19771,19774,ich,don
qd,q41n.0,19376,20265,don,19886,19889,ich,don
qd,q41n.0,19376,20265,don,20002,20006,mich,don
qd,q41n.0,19376,20265,don,20017,20020,Ich,don
qd,q41n.0,20427,20570,zweiter_strolch,20445,20453,Der alte,der_fischer
qd,q41n.0,20575,20745,don,20586,20589,Ich,don
qd,q41n.0,20575,20745,don,20614,20617,ich,don
qd,q41n.0,20575,20745,don,20622,20625,mir,don
qd,q41n.0,20575,20745,don,20697,20700,mir,don
qd,q41n.0,20575,20745,don,20734,20737,ich,don
qd,q41n.0,20854,20964,don,20943,20947,mich,don
qd,q41n.0,21141,21203,don,21187,21190,mir,don
qd,q41n.0,21410,21634,_stage,21418,21426,Gianotto,gianotto
qd,q41n.0,21694,21715,_stage,21706,21714,Don Juan,don
qd,q41n.0,21694,21715,_stage,21706,21709,Don,don
qd,q41n.0,21802,21933,don,21857,21860,Ich,don
qd,q41n.0,21802,21933,don,21906,21911,meine,don
qd,q41n.0,22118,22223,zweiter_strolch,22140,22148,Gianotto,gianotto
qd,q41n.0,22337,22395,gianotto,22363,22366,ich,gianotto
qd,q41n.0,22401,22558,don,22493,22496,Mir,don
qd,q41n.0,22564,22825,gianotto,22682,22688,meines,gianotto
qd,q41n.0,22564,22825,gianotto,22794,22798,mich,gianotto
qd,q41n.0,22830,23008,don,22923,22931,Gianotto,gianotto
qd,q41n.0,22830,23008,don,22983,22986,mir,don
qd,q41n.0,23099,23219,don,23118,23121,Ich,don
qd,q41n.0,23225,23493,gianotto,23259,23263,mich,gianotto
qd,q41n.0,23225,23493,gianotto,23310,23313,ich,gianotto
qd,q41n.0,23225,23493,gianotto,23371,23374,ich,gianotto
qd,q41n.0,23648,24072,gianotto,23720,23726,meinen,gianotto
qd,q41n.0,23648,24072,gianotto,23738,23741,ich,gianotto
qd,q41n.0,23648,24072,gianotto,23761,23766,meine,gianotto
qd,q41n.0,23648,24072,gianotto,23827,23830,ich,gianotto
qd,q41n.0,23648,24072,gianotto,23885,23890,meine,gianotto
qd,q41n.0,23648,24072,gianotto,23929,23935,meiner,gianotto
qd,q41n.0,24078,24135,don,24110,24113,ich,don
qd,q41n.0,24200,24858,don,24232,24236,mein,don
qd,q41n.0,24200,24858,don,24652,24655,mir,don
qd,q41n.0,24200,24858,don,24664,24672,Gianotto,gianotto
qd,q41n.0,24863,24948,gianotto,24916,24920,mein,gianotto
qd,q41n.0,24863,24948,gianotto,24935,24938,mir,gianotto
qd,q41n.0,24953,25466,don,24984,24987,ich,don
qd,q41n.0,24953,25466,don,24988,24991,mir,don
qd,q41n.0,24953,25466,don,25042,25045,ich,don
qd,q41n.0,24953,25466,don,25051,25057,meines,don
qd,q41n.0,24953,25466,don,25106,25109,mir,don
qd,q41n.0,24953,25466,don,25131,25134,ich,don
qd,q41n.0,24953,25466,don,25157,25160,ich,don
qd,q41n.0,24953,25466,don,25188,25191,ich,don
qd,q41n.0,24953,25466,don,25206,25209,ich,don
qd,q41n.0,24953,25466,don,25236,25240,mich,don
qd,q41n.0,24953,25466,don,25330,25334,mein,don
qd,q41n.0,24953,25466,don,25356,25360,mich,don
qd,q41n.0,24953,25466,don,25363,25366,ich,don
qd,q41n.0,24953,25466,don,25454,25458,mich,don
qd,q41n.0,25472,25538,gianotto,25502,25506,mich,gianotto
qd,q41n.0,25543,25710,don,25606,25609,Ich,don
qd,q41n.0,25543,25710,don,25691,25695,mich,don
