corpus,drama,figure_surface,figure_id,Gender,Age
qd,q4j5.0,HEINRICH,heinrich,,
qd,q4j5.0,BRÜNNOW,brünnow,,
qd,q4j5.0,ERSTER BÜRGER,erster_bürger,,
qd,q4j5.0,WEBER,weber,,
qd,q4j5.0,SOLDAT,soldat,,
qd,q4j5.0,ROSE,rose,,
qd,q4j5.0,STEINMETZ,steinmetz,,
qd,q4j5.0,KELLERMEISTER,kellermeister,,
qd,q4j5.0,Gefreite,gefreiter,,
qd,q4j5.0,GNEISENAU,gneisenau,,
qd,q4j5.0,GEERTZ,geertz,,
qd,q4j5.0,WÜRGES,würges,,
qd,q4j5.0,DIE MUTTER,mutter,,
qd,q4j5.0,NETTELBECK,nettelbeck,,
qd,q4j5.0,SCHRÖDER,schröder,,
qd,q4j5.0,GRÜNEBERG,grüneberg,,
qd,q4j5.0,VIERTER BÜRGER,vierter_bürger,,
qd,q4j5.0,ZWEITE ORDONNANZ,zweite_ordonnanz,,
qd,q4j5.0,DRITTE ORDONNANZ,dritte_ordonnanz,,
qd,q4j5.0,DRITTER BÜRGER,dritter_bürger,,
qd,q4j5.0,OFFIZIER,offizier,,
qd,q4j5.0,ERSTE ORDONNANZ,erste_ordonnanz,,
qd,q4j5.0,ARNDT,arndt,,
qd,q4j5.0,ZIPFEL,rector,,
qd,q4j5.0,ZWEITER BÜRGER,zweiter_bürger,,
