corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,q5q1.0,293,57310,0,293,1199,0
qd,q5q1.0,293,57310,0,1212,8634,0
qd,q5q1.0,293,57310,0,8647,9993,0
qd,q5q1.0,293,57310,0,10007,12940,0
qd,q5q1.0,293,57310,0,12954,16591,0
qd,q5q1.0,293,57310,0,16604,17477,0
qd,q5q1.0,293,57310,0,17490,18754,0
qd,q5q1.0,293,57310,0,18767,23642,0
qd,q5q1.0,293,57310,0,23656,24464,0
qd,q5q1.0,293,57310,0,24477,29221,0
qd,q5q1.0,293,57310,0,29234,34428,0
qd,q5q1.0,293,57310,0,34441,38427,0
qd,q5q1.0,293,57310,0,38441,39630,0
qd,q5q1.0,293,57310,0,39643,44031,0
qd,q5q1.0,293,57310,0,44044,48388,0
qd,q5q1.0,293,57310,0,48401,48964,0
qd,q5q1.0,293,57310,0,48977,51795,0
qd,q5q1.0,293,57310,0,51808,57310,0
