corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qd27.0,244,890,_Stage,_Stage,Studierzimmer,NN,studierzimmer,5099,,
qd,qd27.0,244,890,_Stage,_Stage,des,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Claudio,NE,claudio,5099,,(0)
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,im,APPRART,in,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Empiregeschmack,NN,empiregeschmack,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Im,APPRART,in,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Hintergrund,NN,hintergrund,5099,,
qd,qd27.0,244,890,_Stage,_Stage,links,ADV,links,5099,,
qd,qd27.0,244,890,_Stage,_Stage,und,KON,und,5099,,
qd,qd27.0,244,890,_Stage,_Stage,rechts,ADV,rechts,5099,,
qd,qd27.0,244,890,_Stage,_Stage,große,ADJA,groß,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Fenster,NN,fenster,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,in,APPR,in,5099,,
qd,qd27.0,244,890,_Stage,_Stage,der,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Mitte,NN,mitte,5099,,
qd,qd27.0,244,890,_Stage,_Stage,eine,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Glastüre,NN,glastüre,5099,,
qd,qd27.0,244,890,_Stage,_Stage,auf,APPR,auf,5099,,
qd,qd27.0,244,890,_Stage,_Stage,den,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Balkon,NN,balkon,5099,,
qd,qd27.0,244,890,_Stage,_Stage,hinaus,PTKVZ,hinaus,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,von,APPR,von,5099,,
qd,qd27.0,244,890,_Stage,_Stage,dem,PRELS,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,eine,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,hängende,ADJA,hängend,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Holztreppe,NN,holztreppe,5099,,
qd,qd27.0,244,890,_Stage,_Stage,in,APPR,in,5099,,
qd,qd27.0,244,890,_Stage,_Stage,den,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Garten,NN,garten,5099,,
qd,qd27.0,244,890,_Stage,_Stage,führt,VVFIN,führen,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Links,NE,links,5099,,
qd,qd27.0,244,890,_Stage,_Stage,eine,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,weiße,ADJA,weiß,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Flügeltür,NN,flügeltür,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,rechts,ADV,rechts,5099,,
qd,qd27.0,244,890,_Stage,_Stage,eine,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,gleiche,ADJA,gleich,5099,,
qd,qd27.0,244,890,_Stage,_Stage,nach,APPR,nach,5099,,
qd,qd27.0,244,890,_Stage,_Stage,dem,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Schlafzimmer,NN,schlafzimmer,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,mit,APPR,mit,5099,,
qd,qd27.0,244,890,_Stage,_Stage,einem,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,grünen,ADJA,grün,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Samtvorhang,NN,samtvorhang,5099,,
qd,qd27.0,244,890,_Stage,_Stage,geschlossen,VVPP,schließen,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Am,APPRART,an,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Fenster,NN,fenster,5099,,
qd,qd27.0,244,890,_Stage,_Stage,links,ADV,links,5099,,
qd,qd27.0,244,890,_Stage,_Stage,steht,VVFIN,stehen,5099,,
qd,qd27.0,244,890,_Stage,_Stage,ein,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Schreibtisch,NN,schreibtisch,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,davor,PROAV,davor,5099,,
qd,qd27.0,244,890,_Stage,_Stage,ein,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Lehnstuhl,NN,lehnstuhl,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,An,APPR,an,5099,,
qd,qd27.0,244,890,_Stage,_Stage,den,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Pfeilern,NN,pfeiler,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Glaskasten,NN,glaskast,5099,,
qd,qd27.0,244,890,_Stage,_Stage,mit,APPR,mit,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Altertümern,NN,altertümer,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,An,APPR,an,5099,,
qd,qd27.0,244,890,_Stage,_Stage,der,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Wand,NN,wand,5099,,
qd,qd27.0,244,890,_Stage,_Stage,rechts,ADV,rechts,5099,,
qd,qd27.0,244,890,_Stage,_Stage,eine,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,gotische,ADJA,gotisch,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,dunkle,ADJA,dunkel,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,geschnitzte,ADJA,geschnitzt,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Truhe,NN,truhe,5099,,
qd,qd27.0,244,890,_Stage,_Stage,;,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,darüber,PROAV,darüber,5099,,
qd,qd27.0,244,890,_Stage,_Stage,altertümliche,ADJA,altertümlich,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Musikinstrumente,NN,musikinstrument,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Ein,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,fast,ADV,fast,5099,,
qd,qd27.0,244,890,_Stage,_Stage,schwarzgedunkeltes,ADJA,schwarzgedunkelt,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Bild,NN,bild,5099,,
qd,qd27.0,244,890,_Stage,_Stage,eines,ART,ein,5099,,
qd,qd27.0,244,890,_Stage,_Stage,italienischen,ADJA,italienisch,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Meisters,NN,meister,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Der,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Grundton,NN,grundton,5099,,
qd,qd27.0,244,890,_Stage,_Stage,der,ART,der,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Tapete,NN,tapete,5099,,
qd,qd27.0,244,890,_Stage,_Stage,licht,VVFIN,lichen,5099,,
qd,qd27.0,244,890,_Stage,_Stage,",","$,",--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,fast,ADV,fast,5099,,
qd,qd27.0,244,890,_Stage,_Stage,weiß,VVFIN,weiß,5099,,
qd,qd27.0,244,890,_Stage,_Stage,;,$.,--,5099,,
qd,qd27.0,244,890,_Stage,_Stage,mit,APPR,mit,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Stukkatur,NN,stukkatur,5099,,
qd,qd27.0,244,890,_Stage,_Stage,und,KON,und,5099,,
qd,qd27.0,244,890,_Stage,_Stage,Gold,NN,gold,5099,,
qd,qd27.0,244,890,_Stage,_Stage,.,$.,--,5099,,
qd,qd27.0,902,909,CLAUDIO,claudio,allein,ADV,allein,5099,,
qd,qd27.0,902,909,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,2709,2728,CLAUDIO,claudio,Am,APPRART,an,5099,,
qd,qd27.0,2709,2728,CLAUDIO,claudio,Fenster,NN,fenster,5099,,
qd,qd27.0,2709,2728,CLAUDIO,claudio,stehend,ADJD,stehend,5099,,
qd,qd27.0,2709,2728,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,4123,4137,CLAUDIO,claudio,Aufschreckend,ADJD,aufschreckend,5099,,
qd,qd27.0,4123,4137,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,4272,4319,CLAUDIO,claudio,Der,ART,der,5099,,
qd,qd27.0,4272,4319,CLAUDIO,claudio,Diener,NN,diener,5099,,(1)
