corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qd27.0,893,7469,CLAUDIO,claudio,Er,PPER,er,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,sitzt,VVFIN,sitzen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,am,APPRART,an,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Fenster,NN,fenster,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Abendsonne,NE,abendsonne,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Die,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,letzten,ADJA,letzter,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Berge,NN,berg,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,liegen,VVFIN,liegen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,nun,ADV,nun,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,im,APPRART,in,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Glanz,NN,glanz,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,In,APPR,in,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,feuchten,ADJA,feucht,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Schmelz,NN,schmelz,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,durchsonnter,ADJD,durchsonnt,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Luft,NN,luft,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,gewandet,VVPP,wanden,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Es,PPER,es,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,schwebt,VVFIN,schweben,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,ein,ART,ein,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Alabasterwolkenkranz,NN,alabasterwolkenkranz,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Zuhöchst,VVPP,zuhöchst,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,mit,APPR,mit,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,grauen,ADJA,grau,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Schatten,NN,schatten,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,goldumrandet,VVPP,goldranden,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,:,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,So,ADV,so,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,malen,VVINF,mal,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Meister,NN,meister,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,von,APPR,von,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,den,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,frühen,ADJA,früh,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Tagen,NN,tag,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Die,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Wolken,NN,wolke,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,welche,PWAT,welcher,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,die,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Madonna,NE,madonna,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,tragen,VVINF,tragen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Am,APPRART,an,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Abhang,NN,abhang,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,liegen,VVFIN,liegen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,blaue,ADJA,blau,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Wolkenschatten,NN,wolkenschatte,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Der,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Bergesschatten,NN,bergesschatt,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,füllt,VVFIN,füllen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,das,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,weite,ADJA,weit,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Tal,NN,tal,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Und,KON,und,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,dämpft,VVFIN,dämpfen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,zu,APPR,zu,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,grauem,ADJA,grau,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Grün,NN,grüne,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,und,KON,und,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Glanz,NN,glanz,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,der,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Matten,NN,matte,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,;,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Der,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Gipfel,NN,gipfel,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,glänzt,VVFIN,glänzen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,im,APPRART,in,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,vollen,ADJA,voll,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,letzten,ADJA,letzter,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Strahl,NN,strahl,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Wie,PWAV,wie,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,nah,ADJD,nah,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,sind,VAFIN,sein,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,meiner,PPOSAT,mein,5099,claudio,(0)
qd,qd27.0,893,7469,CLAUDIO,claudio,Sehnsucht,NN,sehnsucht,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,die,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,gerückt,VVPP,rücken,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Die,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,dort,ADV,dort,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,auf,APPR,auf,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,weiten,ADJA,weit,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Halden,NN,halden,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,einsam,ADJD,einsam,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,wohnen,VVFIN,wohnen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Und,KON,und,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,denen,PDS,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Güter,NN,gut,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,mit,APPR,mit,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,der,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Hand,NN,hand,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,gepflückt,VVPP,gelücken,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Die,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,gute,ADJA,gut,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Mattigkeit,NN,mattigkeit,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,der,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Glieder,NN,glied,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,lohnen,VVFIN,lohnen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Der,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,wundervolle,ADJA,wundervoll,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,wilde,ADJA,wild,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Morgenwind,NN,morgenwind,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Der,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,nackten,ADJA,nackt,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Fußes,NN,fuß,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,läuft,VVFIN,laufen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,im,APPRART,in,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Heidenduft,NN,heidenduft,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Der,PRELS,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,weckt,VVFIN,wecken,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,sie,PPER,sie,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,auf,PTKVZ,auf,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,;,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,die,ART,der,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,wilden,ADJA,wild,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Bienen,NN,biene,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,sind,VAFIN,sein,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Um,KOUI,um,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,sie,PPER,sie,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,und,KON,und,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Gottes,NN,gott,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,helle,ADJA,hell,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,",","$,",--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,heiße,ADJA,heiß,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Luft,NN,luft,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,.,$.,--,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Es,PPER,es,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,gab,VVFIN,geben,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Natur,NN,natur,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,sich,PRF,sich,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,ihnen,PPER,ihnen,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,zum,APPRART,zu,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,Geschäfte,NN,geschäft,5099,,
qd,qd27.0,893,7469,CLAUDIO,claudio,In,APPR,in,5099,,
