corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qd2g.0,546,599,DIE EINE,erste,Wo,PWAV,wo,13891,,
qd,qd2g.0,546,599,DIE EINE,erste,bleibt,VVFIN,bleiben,13891,,
qd,qd2g.0,546,599,DIE EINE,erste,Elektra,NE,elektra,13891,elektra,(7)
qd,qd2g.0,546,599,DIE EINE,erste,?,$.,--,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,Ist,VAFIN,sein,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,doch,ADV,doch,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,ihre,PPOSAT,ihr,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,Stunde,NN,stunde,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,",","$,",--,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,die,ART,der,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,Stunde,NN,stunde,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,wo,PWAV,wo,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,sie,PPER,sie,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,um,APPR,um,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,den,ART,der,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,Vater,NN,vater,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,heult,VVFIN,heulen,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,",","$,",--,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,daß,KOUS,daß,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,alle,PIDAT,aller,13891,die_dienerinnen,(6)
qd,qd2g.0,604,882,ZWEITE,zweite,Wände,NN,wand,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,schallen,VVINF,schallen,13891,,
qd,qd2g.0,604,882,ZWEITE,zweite,.,$.,--,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,Habt,NE,haben,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,ihr,PPOSAT,ihr,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,gesehn,CARD,gesehn,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,",","$,",--,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,wie,PWAV,wie,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,sie,PPER,sie,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,uns,PRF,uns,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,ansah,VVFIN,ansah,13891,,
qd,qd2g.0,887,929,DIE EINE,erste,?,$.,--,13891,,
qd,qd2g.0,934,972,ZWEITE,zweite,Giftig,ADJD,giftig,13891,,
qd,qd2g.0,934,972,ZWEITE,zweite,wie,KOKOM,wie,13891,,
qd,qd2g.0,934,972,ZWEITE,zweite,eine,ART,ein,13891,,
qd,qd2g.0,934,972,ZWEITE,zweite,wilde,ADJA,wild,13891,,
qd,qd2g.0,934,972,ZWEITE,zweite,Katze,NN,katze,13891,,
qd,qd2g.0,934,972,ZWEITE,zweite,.,$.,--,13891,,
qd,qd2g.0,978,1017,DRITTE,dritte,Neulich,ADV,neulich,13891,,
