corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,qd46.0,416,478,jungfer,464,471,Theodor,theodor
qd,qd46.0,483,600,beschliesserin,532,539,Baronin,baronin
qd,qd46.0,606,764,gärtner,635,642,Theodor,theodor
qd,qd46.0,769,841,beschliesserin,824,831,Baronin,baronin
qd,qd46.0,846,911,gärtner,894,901,Baronin,baronin
qd,qd46.0,916,1043,jungfer,964,971,Baronin,baronin
qd,qd46.0,1147,1358,beschliesserin,1177,1181,mich,beschliesserin
qd,qd46.0,1147,1358,beschliesserin,1246,1249,ich,beschliesserin
qd,qd46.0,1402,1529,_stage,1402,1409,Baronin,baronin
qd,qd46.0,1402,1529,_stage,1464,1471,Jungfer,jungfer
qd,qd46.0,1532,1776,baronin,1598,1601,ich,baronin
qd,qd46.0,1532,1776,baronin,1637,1644,Theodor,theodor
qd,qd46.0,1532,1776,baronin,1678,1685,Jungfer,jungfer
qd,qd46.0,1532,1776,baronin,1691,1699,Kutscher,kutscher
qd,qd46.0,1532,1776,baronin,1705,1708,ich,baronin
qd,qd46.0,1818,2352,baronin,1905,1912,Melanie,melanie
qd,qd46.0,1818,2352,baronin,2071,2078,Melanie,melanie
qd,qd46.0,1818,2352,baronin,2178,2181,ich,baronin
qd,qd46.0,2357,2515,beschliesserin,2401,2408,Baronin,baronin
qd,qd46.0,2357,2515,beschliesserin,2465,2472,Theodor,theodor
qd,qd46.0,2520,2727,baronin,2540,2543,ich,baronin
qd,qd46.0,2834,3102,beschliesserin,2851,2854,Ich,beschliesserin
qd,qd46.0,2834,3102,beschliesserin,2877,2880,ich,beschliesserin
qd,qd46.0,2834,3102,beschliesserin,2996,3003,Theodor,theodor
qd,qd46.0,2834,3102,beschliesserin,3034,3038,mich,beschliesserin
qd,qd46.0,3107,3156,baronin,3141,3148,Theodor,theodor
qd,qd46.0,3200,3249,_stage,3200,3207,Jungfer,jungfer
qd,qd46.0,3200,3249,_stage,3216,3224,Kutscher,kutscher
qd,qd46.0,3252,3301,_stage,3256,3264,Kutscher,kutscher
qd,qd46.0,3373,3386,_stage,3377,3385,Kutscher,kutscher
qd,qd46.0,4151,4442,baronin,4225,4228,ich,baronin
qd,qd46.0,4151,4442,baronin,4279,4286,Theodor,theodor
qd,qd46.0,4151,4442,baronin,4325,4328,ich,baronin
qd,qd46.0,4151,4442,baronin,4329,4333,mich,baronin
qd,qd46.0,4344,4442,_stage,4344,4351,General,general
qd,qd46.0,4447,4524,kutscher,4480,4487,Theodor,theodor
qd,qd46.0,4578,4632,_stage,4603,4610,Baronin,baronin
qd,qd46.0,4665,4903,baronin,4675,4678,Ich,baronin
qd,qd46.0,4665,4903,baronin,4686,4690,mich,baronin
qd,qd46.0,4665,4903,baronin,4698,4703,meine,baronin
qd,qd46.0,4665,4903,baronin,4723,4727,mich,baronin
qd,qd46.0,4665,4903,baronin,4733,4740,Theodor,theodor
qd,qd46.0,4665,4903,baronin,4745,4748,mir,baronin
qd,qd46.0,4908,4963,general,4922,4929,Theodor,theodor
qd,qd46.0,4968,5204,baronin,5068,5072,mich,baronin
qd,qd46.0,5301,5491,baronin,5347,5354,Theodor,theodor
qd,qd46.0,5301,5491,baronin,5395,5402,Theodor,theodor
qd,qd46.0,5301,5491,baronin,5421,5424,ich,baronin
qd,qd46.0,5909,6023,baronin,5941,5944,Ich,baronin
qd,qd46.0,5909,6023,baronin,6005,6011,meines,baronin
qd,qd46.0,6028,6064,general,6060,6063,mir,general
qd,qd46.0,6069,6195,baronin,6182,6185,Ich,baronin
qd,qd46.0,6200,6245,general,6218,6221,Ich,general
qd,qd46.0,6250,6772,baronin,6418,6421,mir,baronin
qd,qd46.0,6250,6772,baronin,6528,6531,mir,baronin
qd,qd46.0,6250,6772,baronin,6631,6634,mir,baronin
qd,qd46.0,6250,6772,baronin,6713,6716,ich,baronin
qd,qd46.0,6777,7071,general,6859,6862,Ich,general
qd,qd46.0,6777,7071,general,6880,6887,Theodor,theodor
qd,qd46.0,6777,7071,general,6959,6965,meiner,general
qd,qd46.0,7332,7385,general,7342,7345,Ich,general
qd,qd46.0,7476,7521,general,7499,7502,Ich,general
qd,qd46.0,7564,8272,jaromir,7578,7581,ich,jaromir
qd,qd46.0,7564,8272,jaromir,7592,7599,Theodor,theodor
qd,qd46.0,7564,8272,jaromir,7661,7664,Ich,jaromir
qd,qd46.0,7564,8272,jaromir,7722,7728,meiner,jaromir
qd,qd46.0,7564,8272,jaromir,7783,7789,meinen,jaromir
qd,qd46.0,7564,8272,jaromir,7831,7834,Ich,jaromir
qd,qd46.0,7564,8272,jaromir,8049,8052,mir,jaromir
