corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qdm5.0,943,1079,_Stage,_Stage,Musik,NN,musik,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,.,$.,--,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,Heilige,ADJA,heilig,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,Männer,NN,mann,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,und,KON,und,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,Frauen,NN,frau,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,:,$.,--,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,Propheten,NN,prophet,17465,,(2)
qd,qdm5.0,943,1079,_Stage,_Stage,und,KON,und,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,Sibyllen,NN,sibylle,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,",","$,",--,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,hereintretend,ADJD,hereintretend,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,",","$,",--,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,blicken,VVFIN,blicken,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,erwartungsvoll,ADJD,erwartungsvoll,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,stufenauf,ADJD,stufenauf,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,gegen,APPR,gegen,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,den,ART,der,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,Palast,NN,palast,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,des,ART,der,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,Meisters,NN,meister,17465,,
qd,qdm5.0,943,1079,_Stage,_Stage,.,$.,--,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,Engel,NE,engel,17465,,(1)
qd,qdm5.0,1082,1297,_Stage,_Stage,tritt,VVFIN,treten,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,herein,PTKVZ,herein,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,",","$,",--,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,Welt,NN,welt,17465,,(0)
qd,qdm5.0,1082,1297,_Stage,_Stage,hinter,APPR,hinter,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,ihm,PPER,ihm,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,.,$.,--,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,Ihr,PPER,ihr,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,folgen,VVFIN,folgen,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,Tod,NN,tod,17465,,(16)
qd,qdm5.0,1082,1297,_Stage,_Stage,und,KON,und,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,Vorwitz,NE,vorwitz,17465,,(4)
qd,qdm5.0,1082,1297,_Stage,_Stage,.,$.,--,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,Tod,NN,tod,17465,,(16)
qd,qdm5.0,1082,1297,_Stage,_Stage,ist,VAFIN,sein,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,schwarz,ADJD,schwarz,17465,,
qd,qdm5.0,1082,1297,_Stage,_Stage,gekleidet,VVPP,kleiden,17465,,
