corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,qdm9.0,kreon,16,
qd,qdm9.0,die_diener,10,
qd,qdm9.0,stimme_des_knaben_schwertträgers,36,
qd,qdm9.0,die_mägde,34,
qd,qdm9.0,der_herold_des_laïos,6,
qd,qdm9.0,das_kind,31,
qd,qdm9.0,stimme,0,
qd,qdm9.0,erster_bote,19,
qd,qdm9.0,sechster,24,
qd,qdm9.0,jokaste,25,
qd,qdm9.0,magier,17,
qd,qdm9.0,ein_diener_2,12,
qd,qdm9.0,der_herold,9,
qd,qdm9.0,ein_diener,11,
qd,qdm9.0,die_frauen,28,
qd,qdm9.0,der_wagenlenker,7,
qd,qdm9.0,ermos,1,
qd,qdm9.0,der_sterbende,35,
qd,qdm9.0,knabe,13,
qd,qdm9.0,dritter_bote,21,
qd,qdm9.0,das_volk,27,
qd,qdm9.0,antiope,26,
qd,qdm9.0,frauen,32,
qd,qdm9.0,zwerg,18,
qd,qdm9.0,stimmen,5,
qd,qdm9.0,laïos,8,
qd,qdm9.0,zweiter_bote,20,
qd,qdm9.0,vierter_bote,22,
qd,qdm9.0,phönix,3,
qd,qdm9.0,elatos,2,
qd,qdm9.0,wärter,14,
qd,qdm9.0,die_greise,29,
qd,qdm9.0,fünfter,23,
qd,qdm9.0,teiresias,30,
qd,qdm9.0,türhüter,15,
qd,qdm9.0,ödipus,4,
qd,qdm9.0,ein_mann,33,
