corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,qfxf.0,3978,56229,0,3992,12146,0
qd,qfxf.0,3978,56229,0,12160,19250,0
qd,qfxf.0,3978,56229,0,19263,23027,0
qd,qfxf.0,3978,56229,0,23040,23907,0
qd,qfxf.0,3978,56229,0,23920,27618,0
qd,qfxf.0,3978,56229,0,27632,32147,0
qd,qfxf.0,3978,56229,0,32161,38679,0
qd,qfxf.0,3978,56229,0,38692,47863,0
qd,qfxf.0,3978,56229,0,47877,53387,0
qd,qfxf.0,3978,56229,0,53401,53796,0
qd,qfxf.0,3978,56229,0,53807,56229,0
qd,qfxf.0,56244,87069,0,56258,58790,0
qd,qfxf.0,56244,87069,0,58803,62797,0
qd,qfxf.0,56244,87069,0,62811,63229,0
qd,qfxf.0,56244,87069,0,63242,68427,0
qd,qfxf.0,56244,87069,0,68440,69210,0
qd,qfxf.0,56244,87069,0,69227,69954,0
qd,qfxf.0,56244,87069,0,69968,71898,0
qd,qfxf.0,56244,87069,0,71911,74537,0
qd,qfxf.0,56244,87069,0,74550,77025,0
qd,qfxf.0,56244,87069,0,77038,78941,0
qd,qfxf.0,56244,87069,0,78954,79253,0
qd,qfxf.0,56244,87069,0,79266,80553,0
qd,qfxf.0,56244,87069,0,80567,82679,0
qd,qfxf.0,56244,87069,0,82692,87069,0
qd,qfxf.0,87085,122984,0,87099,88917,0
qd,qfxf.0,87085,122984,0,88930,89770,0
qd,qfxf.0,87085,122984,0,89784,92650,0
qd,qfxf.0,87085,122984,0,92663,93962,0
qd,qfxf.0,87085,122984,0,93975,95322,0
qd,qfxf.0,87085,122984,0,95335,96739,0
qd,qfxf.0,87085,122984,0,96752,97317,0
qd,qfxf.0,87085,122984,0,97330,104045,0
qd,qfxf.0,87085,122984,0,104058,106959,0
qd,qfxf.0,87085,122984,0,106972,109400,0
qd,qfxf.0,87085,122984,0,109413,110223,0
qd,qfxf.0,87085,122984,0,110236,115620,0
qd,qfxf.0,87085,122984,0,115634,118684,0
qd,qfxf.0,87085,122984,0,118697,121433,0
qd,qfxf.0,87085,122984,0,121446,122984,0
