corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qh44.0,344,1511,_Stage,_Stage,Großer,ADJA,groß,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,geräumiger,ADJA,geräumig,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,Gartensaal,NN,gartensaal,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,.,$.,--,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,Im,APPRART,in,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,Hintergrund,NN,hintergrund,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,",","$,",--,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,aus,APPR,aus,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,der,ART,der,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,matt,ADJD,matt,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,gelblich,ADJD,gelblich,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,glänzenden,ADJA,glänzend,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,Marmorwand,NN,marmorwand,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,",","$,",--,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,eine,ART,ein,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,hohe,ADJA,hoch,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,",","$,",--,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,sehr,ADV,sehr,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,breite,ADJA,breit,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,",","$,",--,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,dreiteilige,ADJA,dreiteilig,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,Ebenholztür,NN,ebenholztür,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,",","$,",--,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,deren,PRELAT,der,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,sechs,CARD,sechs,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,Glasflügel,NN,glasflügel,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,nach,APPR,nach,146248,,
qd,qh44.0,344,1511,_Stage,_Stage,dem,ART,der,146248,,
