corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Ja,PTKANT,ja,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,",","$,",--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,wissen,VVFIN,wissen,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Se,PPER,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,",","$,",--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,det,FM,der,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,stimmt,VVFIN,stimmen,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,.,$.,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Se,PPER,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,ham,VAFIN,ham,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,an,APPR,an,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,de,NE,de,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,richtje,NE,richtje,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Quelle,NE,quelle,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,jekloppt,VVPP,jekloppen,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,.,$.,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Beziehungn,NN,beziehungn,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,zu,APPR,zu,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,de,NE,de,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Presse,NN,presse,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,hab,VAFIN,hab,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,',$[,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,k,ADJD,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,ne,ADJA,ne,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,janze,ADJA,janz,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Menge,NN,menge,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,.,$.,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Fümwunzwanzich,NE,fümwunzwanzich,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Jahre,NN,jahr,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,sitz,ADJD,sitz,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,ick,ADJD,ich,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,hier,ADV,hier,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,nu,VVFIN,nu,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,schon,ADV,schon,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,in,APPR,in,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Sattl,NE,sattl,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,.,$.,--,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,Det,NE,der,30034,,
qd,qhwd.0,1914,2891,FIEBIG,fiebig,erste,ADJA,erster,30034,,
