corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,qknj.0,932,995,_stage,977,985,Schiffer,schiffer
qd,qknj.0,932,995,_stage,990,994,Volk,das_volk
qd,qknj.0,1056,1118,zweiter_bürger,1076,1079,ich,zweiter_bürger
qd,qknj.0,1157,1286,zweiter_bürger,1201,1213,der Schiffer,schiffer
qd,qknj.0,1157,1286,zweiter_bürger,1205,1213,Schiffer,schiffer
qd,qknj.0,1241,1286,_stage,1277,1285,Schiffer,schiffer
qd,qknj.0,1291,1321,das_volk,1312,1320,Schiffer,schiffer
qd,qknj.0,1404,1491,schiffer,1448,1451,ich,schiffer
qd,qknj.0,1555,2033,schiffer,1639,1642,ich,schiffer
qd,qknj.0,1555,2033,schiffer,1697,1700,Ich,schiffer
qd,qknj.0,1555,2033,schiffer,1773,1777,mich,schiffer
qd,qknj.0,1555,2033,schiffer,1872,1876,Mein,schiffer
qd,qknj.0,1555,2033,schiffer,1877,1887,Steuermann,steuermann
qd,qknj.0,1555,2033,schiffer,2010,2013,Ich,schiffer
qd,qknj.0,2072,2149,schiffer,2088,2091,Ich,schiffer
qd,qknj.0,2072,2149,schiffer,2110,2113,Ich,schiffer
qd,qknj.0,2252,3316,schiffer,2687,2690,ich,schiffer
qd,qknj.0,2252,3316,schiffer,3104,3108,Mich,schiffer
qd,qknj.0,2252,3316,schiffer,3148,3151,ich,schiffer
qd,qknj.0,2252,3316,schiffer,3255,3259,mich,schiffer
qd,qknj.0,4007,4063,_stage,4007,4015,Das Volk,das_volk
qd,qknj.0,4007,4063,_stage,4011,4015,Volk,das_volk
qd,qknj.0,4007,4063,_stage,4024,4032,Schiffer,schiffer
qd,qknj.0,4111,4144,zweiter_bürger,4127,4130,Ich,zweiter_bürger
qd,qknj.0,4361,4664,zweiter_bürger,4437,4440,Ich,zweiter_bürger
qd,qknj.0,4361,4664,zweiter_bürger,4450,4456,meinen,zweiter_bürger
qd,qknj.0,4361,4664,zweiter_bürger,4578,4581,Mir,zweiter_bürger
qd,qknj.0,4361,4664,zweiter_bürger,4622,4625,ich,zweiter_bürger
qd,qknj.0,4724,5075,zweiter_bürger,4946,4949,Ich,zweiter_bürger
qd,qknj.0,5118,5178,_stage,5128,5133,Kikin,kikin
qd,qknj.0,5118,5178,_stage,5141,5150,Dolgoruki,dolgoruki
qd,qknj.0,5188,5201,_stage,5191,5200,Dolgoruki,dolgoruki
qd,qknj.0,5294,5420,zweiter_bürger,5348,5351,Ich,zweiter_bürger
qd,qknj.0,5710,5812,zweiter_bürger,5750,5758,Das Volk,das_volk
qd,qknj.0,5710,5812,zweiter_bürger,5754,5758,Volk,das_volk
qd,qknj.0,6028,6085,erster_bürger,6043,6055,Der Schiffer,schiffer
qd,qknj.0,6028,6085,erster_bürger,6047,6055,Schiffer,schiffer
qd,qknj.0,6091,6317,kikin,6283,6286,mir,kikin
qd,qknj.0,6387,6495,kikin,6438,6441,Ich,kikin
qd,qknj.0,6533,6634,kikin,6564,6567,Ich,kikin
qd,qknj.0,6533,6634,kikin,6584,6589,Peter,peter
qd,qknj.0,6866,7558,dolgoruki,6883,6886,Ich,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,6908,6917,Dolgoruki,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,6924,6933,Dolgoruki,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,7013,7022,Dolgoruki,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,7094,7097,ich,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,7106,7112,meinen,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,7294,7300,meines,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,7332,7335,mir,dolgoruki
qd,qknj.0,6866,7558,dolgoruki,7503,7507,Mein,dolgoruki
qd,qknj.0,7586,7918,dolgoruki,7787,7790,ich,dolgoruki
qd,qknj.0,7942,7971,dolgoruki,7964,7970,Glebof,glebof
qd,qknj.0,8133,8233,dolgoruki,8161,8164,Ich,dolgoruki
qd,qknj.0,8256,8644,dolgoruki,8268,8274,Glebof,glebof
qd,qknj.0,8256,8644,dolgoruki,8384,8387,ich,dolgoruki
qd,qknj.0,8256,8644,dolgoruki,8486,8492,Glebof,glebof
qd,qknj.0,8810,9024,dolgoruki,8837,8840,mir,dolgoruki
qd,qknj.0,8810,9024,dolgoruki,8911,8914,ich,dolgoruki
qd,qknj.0,8810,9024,dolgoruki,8951,8957,Glebof,glebof
qd,qknj.0,9093,9114,_stage,9093,9099,Glebof,glebof
qd,qknj.0,9093,9114,_stage,9101,9113,Der Schiffer,schiffer
qd,qknj.0,9093,9114,_stage,9105,9113,Schiffer,schiffer
qd,qknj.0,9117,9161,glebof,9134,9142,das Volk,das_volk
qd,qknj.0,9117,9161,glebof,9138,9142,Volk,das_volk
qd,qknj.0,9234,9407,schiffer,9285,9288,ich,schiffer
qd,qknj.0,9234,9407,schiffer,9347,9350,ich,schiffer
qd,qknj.0,9234,9407,schiffer,9366,9369,ich,schiffer
qd,qknj.0,9635,9730,schiffer,9663,9673,Erzbischof,erzbischof
qd,qknj.0,9827,10086,schiffer,9845,9849,Mein,schiffer
qd,qknj.0,9827,10086,schiffer,9882,9885,Ich,schiffer
qd,qknj.0,9827,10086,schiffer,9928,9932,Mich,schiffer
qd,qknj.0,9827,10086,schiffer,9989,9993,mein,schiffer
qd,qknj.0,9827,10086,schiffer,10079,10082,mir,schiffer
qd,qknj.0,10126,10292,schiffer,10158,10161,Ich,schiffer
qd,qknj.0,10549,10732,schiffer,10585,10588,Ich,schiffer
qd,qknj.0,10549,10732,schiffer,10651,10657,Meiner,schiffer
qd,qknj.0,10776,10804,_stage,10776,10782,Glebof,glebof
qd,qknj.0,10776,10804,_stage,10797,10803,Diener,diener
qd,qknj.0,10807,11480,glebof,10844,10847,mir,glebof
qd,qknj.0,10807,11480,glebof,10872,10877,Meine,glebof
qd,qknj.0,10807,11480,glebof,11067,11072,Peter,peter
qd,qknj.0,10807,11480,glebof,11318,11326,Das Volk,das_volk
qd,qknj.0,10807,11480,glebof,11322,11326,Volk,das_volk
qd,qknj.0,10807,11480,glebof,11342,11347,meine,glebof
qd,qknj.0,11437,11458,_stage,11441,11447,Diener,diener
qd,qknj.0,11485,11552,diener,11500,11511,die Bojaren,andre_bojaren
qd,qknj.0,11485,11552,diener,11542,11551,Dolgoruki,dolgoruki
qd,qknj.0,11682,11910,diener,11713,11718,Kikin,kikin
qd,qknj.0,11682,11910,diener,11742,11751,Dolgoruki,dolgoruki
qd,qknj.0,11682,11910,diener,11862,11872,Erzbischof,erzbischof
qd,qknj.0,11916,12557,glebof,11943,11946,mir,glebof
qd,qknj.0,11950,11960,_stage,11950,11956,Diener,diener
qd,qknj.0,11916,12557,glebof,12427,12430,ich,glebof
qd,qknj.0,12600,12719,_stage,12600,12606,Glebof,glebof
qd,qknj.0,12600,12719,_stage,12608,12613,Kikin,kikin
qd,qknj.0,12600,12719,_stage,12615,12624,Dolgoruki,dolgoruki
qd,qknj.0,12600,12719,_stage,12634,12642,Lapuchin,lapuchin
qd,qknj.0,12600,12719,_stage,12653,12663,Erzbischof,erzbischof
qd,qknj.0,12722,12750,kikin,12743,12749,Glebof,glebof
qd,qknj.0,12790,12838,lapuchin,12822,12830,Lapuchin,lapuchin
qd,qknj.0,12843,12882,erzbischof,12855,12858,Ich,erzbischof
qd,qknj.0,12921,12998,erzbischof,12988,12992,mein,erzbischof
qd,qknj.0,13003,13680,glebof,13041,13045,Mein,glebof
qd,qknj.0,13003,13680,glebof,13065,13075,Erzbischof,erzbischof
qd,qknj.0,13003,13680,glebof,13088,13091,ich,glebof
qd,qknj.0,13003,13680,glebof,13160,13163,Ich,glebof
qd,qknj.0,13003,13680,glebof,13195,13198,ich,glebof
qd,qknj.0,13003,13680,glebof,13203,13209,meinen,glebof
qd,qknj.0,13003,13680,glebof,13355,13359,Mich,glebof
qd,qknj.0,13003,13680,glebof,13387,13390,mir,glebof
qd,qknj.0,13003,13680,glebof,13473,13476,Ich,glebof
qd,qknj.0,13506,13515,_stage,13509,13514,Kikin,kikin
qd,qknj.0,13003,13680,glebof,13523,13526,mir,glebof
qd,qknj.0,13556,13569,_stage,13559,13568,Dolgoruki,dolgoruki
qd,qknj.0,13819,13933,ein_bojar,13831,13834,Ich,ein_bojar
qd,qknj.0,13939,14137,glebof,13955,13958,Ich,glebof
qd,qknj.0,13939,14137,glebof,14063,14069,Glebof,glebof
qd,qknj.0,14233,14265,_stage,14250,14258,Lapuchin,lapuchin
qd,qknj.0,14192,14368,glebof,14278,14286,Lapuchin,lapuchin
qd,qknj.0,14192,14368,glebof,14359,14367,Lapuchin,lapuchin
qd,qknj.0,14464,14580,lapuchin,14475,14478,Ich,lapuchin
qd,qknj.0,14464,14580,lapuchin,14497,14503,meiner,lapuchin
qd,qknj.0,14464,14580,lapuchin,14543,14546,Ich,lapuchin
qd,qknj.0,14464,14580,lapuchin,14573,14579,Glebof,glebof
qd,qknj.0,14587,14781,glebof,14621,14625,mein,glebof
qd,qknj.0,14587,14781,glebof,14642,14646,Mich,glebof
qd,qknj.0,14587,14781,glebof,14663,14666,mir,glebof
qd,qknj.0,14587,14781,glebof,14675,14679,mein,glebof
qd,qknj.0,14587,14781,glebof,14745,14753,Lapuchin,lapuchin
qd,qknj.0,14587,14781,glebof,14768,14774,Glebof,glebof
qd,qknj.0,14787,15027,lapuchin,14798,14801,Ich,lapuchin
qd,qknj.0,14787,15027,lapuchin,14809,14813,mich,lapuchin
qd,qknj.0,14787,15027,lapuchin,14836,14839,ich,lapuchin
qd,qknj.0,14787,15027,lapuchin,14858,14862,mich,lapuchin
qd,qknj.0,14787,15027,lapuchin,14867,14873,meinem,lapuchin
qd,qknj.0,14787,15027,lapuchin,14927,14930,Ich,lapuchin
qd,qknj.0,14787,15027,lapuchin,15001,15007,Glebof,glebof
qd,qknj.0,15033,15116,glebof,15086,15095,Dolgoruki,dolgoruki
qd,qknj.0,15122,15232,glebof,15220,15225,meine,glebof
qd,qknj.0,15237,15659,erzbischof,15509,15512,Ich,erzbischof
qd,qknj.0,15920,16016,glebof,15934,15938,Mich,glebof
qd,qknj.0,15920,16016,glebof,15986,15989,Ich,glebof
qd,qknj.0,16036,16163,glebof,16052,16060,Menzikof,menzikof
qd,qknj.0,16169,16200,dolgoruki,16191,16199,Menzikof,menzikof
qd,qknj.0,16205,16261,kikin,16245,16248,Ich,kikin
qd,qknj.0,16526,16601,glebof,16587,16590,ich,glebof
qd,qknj.0,16786,16822,lapuchin,16796,16799,Ich,lapuchin
qd,qknj.0,16827,16884,dolgoruki,16839,16842,Ich,dolgoruki
qd,qknj.0,16827,16884,dolgoruki,16858,16861,Ich,dolgoruki
qd,qknj.0,16890,17085,glebof,16931,16937,Glebof,glebof
qd,qknj.0,16890,17085,glebof,17057,17063,Glebof,glebof
qd,qknj.0,17163,17807,glebof,17580,17583,mir,glebof
qd,qknj.0,17163,17807,glebof,17705,17708,ich,glebof
qd,qknj.0,17163,17807,glebof,17769,17780,die Bojaren,andre_bojaren
qd,qknj.0,17847,18462,glebof,17923,17928,Peter,peter
qd,qknj.0,18608,19557,glebof,18974,18977,ich,glebof
qd,qknj.0,18608,19557,glebof,19293,19301,Menzikof,menzikof
qd,qknj.0,19562,19588,,19581,19587,Glebof,glebof
qd,qknj.0,19622,19650,,19641,19649,Menzikof,menzikof
qd,qknj.0,19904,19956,_stage,19910,19915,Kikin,kikin
qd,qknj.0,19904,19956,_stage,19917,19926,Dolgoruki,dolgoruki
qd,qknj.0,19904,19956,_stage,19932,19942,Erzbischof,erzbischof
qd,qknj.0,19904,19956,_stage,19947,19955,Lapuchin,lapuchin
qd,qknj.0,20051,20081,dolgoruki,20067,20071,mich,dolgoruki
qd,qknj.0,20138,20708,glebof,20202,20205,ich,glebof
qd,qknj.0,20229,20309,_stage,20249,20260,Die Bojaren,andre_bojaren
qd,qknj.0,20229,20309,_stage,20282,20287,Kikin,kikin
qd,qknj.0,20229,20309,_stage,20289,20298,Dolgoruki,dolgoruki
qd,qknj.0,20229,20309,_stage,20300,20308,Lapuchin,lapuchin
qd,qknj.0,20138,20708,glebof,20655,20658,mir,glebof
qd,qknj.0,20752,20800,_stage,20752,20759,Eudoxia,eudoxia
qd,qknj.0,20907,20933,eudoxia,20920,20926,meiner,eudoxia
qd,qknj.0,21047,21078,eudoxia,21056,21059,Ich,eudoxia
qd,qknj.0,21047,21078,eudoxia,21067,21070,mir,eudoxia
qd,qknj.0,21083,21133,glebof,21116,21119,ich,glebof
qd,qknj.0,21138,21180,eudoxia,21162,21169,Eudoxia,eudoxia
