corpus,drama,figure_surface,figure_id,Gender,Age
qd,qkp2.0,EIN RITTER,ein_ritter,,
qd,qkp2.0,MERLIN,merlin,,
qd,qkp2.0,GINEVRA,ginevra,,
qd,qkp2.0,LANZELOT,lanzelot,,
qd,qkp2.0,KLINGSOR,klingsor,,
qd,qkp2.0,ANDRE,andre,,
qd,qkp2.0,GAWEIN,gawein,,
qd,qkp2.0,TITUREL,titurel,,
qd,qkp2.0,ANTINOUS,antinous,,
qd,qkp2.0,NINIANA,niniana,,
qd,qkp2.0,KÖNIG ARTUS,könig_artus,,
qd,qkp2.0,SPEISEMEISTER,speisemeister,,
qd,qkp2.0,MINSTREL,minstrel,,
qd,qkp2.0,ZWERG,zwerg,,
qd,qkp2.0,PARZIFAL,parzifal,,
qd,qkp2.0,CANDIDAS STIMME,candidas_stimme,,
qd,qkp2.0,EREK,erek,,
qd,qkp2.0,GAREIS,gareis,,
qd,qkp2.0,PLACIDUS,placidus,,
qd,qkp2.0,KAY,kay,,
qd,qkp2.0,KIRCHENGESANG,kirchengesang,,
qd,qkp2.0,DER SENESCHAL,der_seneschal,,
qd,qkp2.0,DIE GÖTTER,die_götter,,
qd,qkp2.0,HAMADRYADEN,hamadryaden,,
qd,qkp2.0,LUZIFER,luzifer,,
qd,qkp2.0,LOHENGRIN,lohengrin,,
qd,qkp2.0,SATAN,satan,,
