corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Warum,PWAV,warum,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,du,PPER,du,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Fürst,NN,fürst,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,im,APPRART,in,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,finstern,ADJA,finstern,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Land,NN,land,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Hast,VAFIN,haben,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,du,PPER,du,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,dich,PRF,dich,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,einsamlich,ADJD,einsamlich,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,verbannt,VVPP,verbannen,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Von,APPR,von,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,unsrem,ADJA,unsrem,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,wilden,ADJA,wilden,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,bunten,ADJA,bunt,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Fest,NN,fest,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,In,APPR,in,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,dieses,PDAT,dieser,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,kahle,ADJA,kahl,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Felsennest,NN,felsennest,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,?,$.,--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Du,PPER,du,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,hängst,VAFIN,hängen,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,gleich,ADV,gleich,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,einer,ART,ein,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,dunkeln,ADJA,dunkel,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Wolke,NN,wolke,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Von,APPR,von,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Klippen,NN,klippe,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,in,APPR,in,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,das,ART,der,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,platte,ADJA,platt,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Land,NN,land,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,;,$.,--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Komm,VVIMP,komm,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Herr,NN,herr,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,zurück,ADV,zurück,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,zu,APPR,zu,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,deinem,PPOSAT,dein,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Volke,NN,volk,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,Das,ART,der,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,bittend,ADJD,bittend,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,mich,PRF,mich,28079,luzifer,(0)
qd,qkp2.0,6860,7142,LUZIFER,luzifer,zu,APPR,zu,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,dir,PPER,dir,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,gesandt,VVPP,senden,28079,,
qd,qkp2.0,6860,7142,LUZIFER,luzifer,"!",$.,--,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Bin,NE,sein,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,ich,PPER,ich,28079,satan,(1)
qd,qkp2.0,7148,7306,SATAN,satan,der,ART,der,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Fürst,NN,fürst,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,",","$,",--,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,hab,VAFIN,hab,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,',$[,--,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,ich,PPER,ich,28079,satan,(1)
qd,qkp2.0,7148,7306,SATAN,satan,zu,PTKZU,zu,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,sorgen,VVINF,sorgen,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Für,APPR,für,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,unsres,ADJA,unsr,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Reiches,NN,reich,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Dau,NE,dau,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,',$[,--,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,rbarkeit,ADJD,rbarkeit,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,;,$.,--,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Das,ART,der,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Volk,NN,volk,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,denkt,VVFIN,denken,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,nur,ADV,nur,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,an,APPR,an,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,heut,ADV,heut,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,',$[,--,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,und,KON,und,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,morgen,ADV,morgen,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,",","$,",--,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Der,ART,der,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Herrscher,NN,herrscher,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,denkt,VVFIN,denken,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,der,ART,der,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,ganzen,ADJA,ganz,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,Zeit,NN,zeit,28079,,
qd,qkp2.0,7148,7306,SATAN,satan,.,$.,--,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,Wir,PPER,wir,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,sahn,VVFIN,sahn,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,',$[,--,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,s,PPER,--,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,dich,PRF,dich,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,faßt,VVFIN,fassen,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,',$[,--,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,ein,ART,ein,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,grimmig,ADJD,grimmig,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,Leid,NN,leid,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,",","$,",--,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,Als,KOUS,als,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,bei,APPR,bei,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,des,ART,der,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,Sternes,NN,stern,28079,,
qd,qkp2.0,7312,8110,LUZIFER,luzifer,Helligkeit,NN,helligkeit,28079,,
