corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,qx5q.0,674,697,_stage,674,680,Kilian,kilian
qd,qx5q.0,674,697,_stage,682,685,Max,max
qd,qx5q.0,700,898,_stage,700,703,Max,max
qd,qx5q.0,1346,2142,max,1457,1460,ich,max
qd,qx5q.0,1521,2142,_stage,1732,1738,Kilian,kilian
qd,qx5q.0,1521,2142,_stage,1990,1993,Max,max
qd,qx5q.0,1521,2142,_stage,2085,2091,Kilian,kilian
qd,qx5q.0,1521,2142,_stage,2096,2099,Max,max
qd,qx5q.0,2147,2289,kilian,2172,2176,mich,kilian
qd,qx5q.0,2147,2289,kilian,2202,2207,meine,kilian
qd,qx5q.0,2147,2289,kilian,2273,2276,ich,kilian
qd,qx5q.0,2304,2366,_stage,2354,2357,Max,max
qd,qx5q.0,2394,2514,männer,2419,2422,ich,männer
qd,qx5q.0,2394,2514,männer,2439,2442,ich,männer
qd,qx5q.0,2394,2514,männer,2493,2496,ich,männer
qd,qx5q.0,2520,2700,kilian,2552,2555,ich,kilian
qd,qx5q.0,2665,2700,_stage,2665,2669,Chor,chor
qd,qx5q.0,2705,2856,kilian,2719,2722,ich,kilian
qd,qx5q.0,2842,2856,_stage,2842,2846,Chor,chor
qd,qx5q.0,2866,2932,_stage,2911,2917,Kilian,kilian
qd,qx5q.0,2861,2995,max,2939,2943,mich,max
qd,qx5q.0,2965,2995,_stage,2979,2982,Max,max
qd,qx5q.0,3045,3117,_stage,3045,3049,Kuno,kuno
qd,qx5q.0,3045,3117,_stage,3051,3057,Kaspar,kaspar
qd,qx5q.0,3120,3218,kuno,3191,3197,meinen,kuno
qd,qx5q.0,3231,3272,_stage,3235,3238,Max,max
qd,qx5q.0,3658,3741,max,3692,3695,Ich,max
qd,qx5q.0,3658,3741,max,3718,3721,ich,max
qd,qx5q.0,3746,3779,kaspar,3772,3778,Samiel,samiel
qd,qx5q.0,3784,3953,kuno,3791,3794,Max,max
qd,qx5q.0,3784,3953,kuno,3796,3799,Max,max
qd,qx5q.0,3958,4110,kaspar,3974,3977,mir,kaspar
qd,qx5q.0,3958,4110,kaspar,4000,4003,ich,kaspar
qd,qx5q.0,4134,4364,kaspar,4153,4156,ich,kaspar
qd,qx5q.0,4435,4996,kuno,4467,4470,Ich,kuno
qd,qx5q.0,4435,4996,kuno,4565,4568,ich,kuno
qd,qx5q.0,4435,4996,kuno,4603,4609,Kaspar,kaspar
qd,qx5q.0,4435,4996,kuno,4742,4745,Max,max
qd,qx5q.0,4435,4996,kuno,4762,4765,Ich,kuno
qd,qx5q.0,4435,4996,kuno,4806,4810,mich,kuno
qd,qx5q.0,4435,4996,kuno,4927,4930,ich,kuno
qd,qx5q.0,5222,5264,andere_jäger,5259,5263,Kuno,kuno
qd,qx5q.0,5269,6081,kuno,5344,5348,Mein,kuno
qd,qx5q.0,5269,6081,kuno,5409,5413,Kuno,kuno
qd,qx5q.0,5269,6081,kuno,5419,5422,ich,kuno
qd,qx5q.0,6256,6343,max,6262,6265,Ich,max
qd,qx5q.0,6256,6343,max,6277,6281,Kuno,kuno
qd,qx5q.0,6349,6472,kuno,6361,6365,mein,kuno
qd,qx5q.0,6587,6868,kuno,6660,6666,Kaspar,kaspar
qd,qx5q.0,6587,6868,kuno,6812,6816,Kuno,kuno
qd,qx5q.0,6873,6927,kaspar,6889,6892,ich,kaspar
qd,qx5q.0,6873,6927,kaspar,6920,6926,Samiel,samiel
qd,qx5q.0,6932,7154,kilian,7015,7020,meine,kilian
qd,qx5q.0,6932,7154,kilian,7036,7039,mir,kilian
qd,qx5q.0,7209,7969,kuno,7730,7733,Max,max
qd,qx5q.0,7209,7969,kuno,7919,7922,ich,kuno
qd,qx5q.0,7945,7969,_stage,7964,7968,Chor,chor
qd,qx5q.0,7974,8099,max,8089,8092,mir,max
qd,qx5q.0,8312,8354,_stage,8315,8318,Max,max
qd,qx5q.0,8410,8495,max,8446,8449,ich,max
qd,qx5q.0,8410,8495,max,8468,8472,mich,max
qd,qx5q.0,8592,8599,_stage,8595,8598,Max,max
qd,qx5q.0,8749,8786,max,8758,8761,mir,max
qd,qx5q.0,8749,8786,max,8763,8767,mich,max
qd,qx5q.0,8927,9024,max,9008,9011,ich,max
qd,qx5q.0,9213,9303,max,9249,9252,ich,max
qd,qx5q.0,9213,9303,max,9279,9282,ich,max
qd,qx5q.0,9371,9393,_stage,9376,9379,Max,max
qd,qx5q.0,9365,9533,kuno,9396,9400,Mein,kuno
qd,qx5q.0,9769,9915,,9811,9815,Echo,das_echo
qd,qx5q.0,9881,9915,_stage,9881,9885,Kuno,kuno
