corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,qx5q.0,674,697,_Stage,_Stage,Kilian,NE,kilian,14209,,(3)
qd,qx5q.0,674,697,_Stage,_Stage,.,$.,--,14209,,
qd,qx5q.0,674,697,_Stage,_Stage,Max,NE,max,14209,,(1)
qd,qx5q.0,674,697,_Stage,_Stage,.,$.,--,14209,,
qd,qx5q.0,674,697,_Stage,_Stage,Landleute,NN,landleute,14209,,
qd,qx5q.0,674,697,_Stage,_Stage,.,$.,--,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Max,NE,max,14209,,(1)
qd,qx5q.0,700,898,_Stage,_Stage,sitzt,VVFIN,sitzen,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,allein,ADV,allein,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,im,APPRART,in,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Vordergrunde,NN,vordergrunde,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,an,APPR,an,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,einem,ART,ein,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Tisch,NN,tisch,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,",","$,",--,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,vor,APPR,vor,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,sich,PRF,sich,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,den,ART,der,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Krug,NN,krug,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,.,$.,--,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,In,APPR,in,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,dem,ART,der,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Augenblicke,NN,augenblick,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,",","$,",--,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,da,KOUS,da,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,der,ART,der,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Vorhang,NN,vorhang,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,aufgeht,VVFIN,aufgehen,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,im,APPRART,in,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,11,CARD,11,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,.,$.,--,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Takte,NN,takt,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,",","$,",--,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,fällt,VVFIN,fallen,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,ein,ART,ein,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Schuß,NN,schuß,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,",","$,",--,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,und,KON,und,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,das,ART,der,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,letzte,ADJA,letzter,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Stück,NN,stück,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,einer,ART,ein,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,Sternscheibe,NN,sternscheibe,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,fliegt,VVFIN,fliegen,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,herunter,PTKVZ,herunter,14209,,
qd,qx5q.0,700,898,_Stage,_Stage,.,$.,--,14209,,
qd,qx5q.0,911,916,DAS VOLK,das_volk,ruft,VVFIN,rufen,14209,,
qd,qx5q.0,911,916,DAS VOLK,das_volk,.,$.,--,14209,,
qd,qx5q.0,954,974,DAS VOLK,das_volk,Jubelt,NN,jubelt,14209,,
qd,qx5q.0,954,974,DAS VOLK,das_volk,und,KON,und,14209,,
qd,qx5q.0,954,974,DAS VOLK,das_volk,klatscht,VVFIN,klatschen,14209,,
qd,qx5q.0,954,974,DAS VOLK,das_volk,.,$.,--,14209,,
qd,qx5q.0,984,1074,MAX,max,bis,APPR,bis,14209,,
qd,qx5q.0,984,1074,MAX,max,jetzt,ADV,jetzt,14209,,
qd,qx5q.0,984,1074,MAX,max,die,ART,der,14209,,
qd,qx5q.0,984,1074,MAX,max,geballte,ADJA,geballt,14209,,
qd,qx5q.0,984,1074,MAX,max,Faust,NN,faust,14209,,
qd,qx5q.0,984,1074,MAX,max,vor,APPR,vor,14209,,
qd,qx5q.0,984,1074,MAX,max,der,ART,der,14209,,
qd,qx5q.0,984,1074,MAX,max,Stirn,NN,stirn,14209,,
qd,qx5q.0,984,1074,MAX,max,",","$,",--,14209,,
qd,qx5q.0,984,1074,MAX,max,schlägt,VVFIN,schlagen,14209,,
qd,qx5q.0,984,1074,MAX,max,damit,PROAV,damit,14209,,
qd,qx5q.0,984,1074,MAX,max,heftig,ADJD,heftig,14209,,
qd,qx5q.0,984,1074,MAX,max,auf,APPR,auf,14209,,
qd,qx5q.0,984,1074,MAX,max,den,ART,der,14209,,
qd,qx5q.0,984,1074,MAX,max,Tisch,NN,tisch,14209,,
qd,qx5q.0,984,1074,MAX,max,",","$,",--,14209,,
qd,qx5q.0,984,1074,MAX,max,ausrufend,ADJD,ausrufend,14209,,
qd,qx5q.0,984,1074,MAX,max,.,$.,--,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,Allgemeiner,ADJA,allgemeiner,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,Jubel,NN,jubel,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,.,$.,--,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,Die,ART,der,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,Stange,NN,stange,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,wird,VAFIN,werden,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,herabgelassen,VVPP,herablassen,14209,,
qd,qx5q.0,1292,1341,CHOR DER LANDLEUTE,chor_der_landleute,.,$.,--,14209,,
qd,qx5q.0,1521,2142,MAX,max,Es,PPER,es,14209,,
qd,qx5q.0,1521,2142,MAX,max,ordnet,VVFIN,ordnen,14209,,
qd,qx5q.0,1521,2142,MAX,max,sich,PRF,sich,14209,,
qd,qx5q.0,1521,2142,MAX,max,ein,ART,ein,14209,,
qd,qx5q.0,1521,2142,MAX,max,Zug,NN,zug,14209,,
qd,qx5q.0,1521,2142,MAX,max,.,$.,--,14209,,
qd,qx5q.0,1521,2142,MAX,max,Voran,PWAV,voran,14209,,
qd,qx5q.0,1521,2142,MAX,max,die,ART,der,14209,,
qd,qx5q.0,1521,2142,MAX,max,Musikanten,NN,musikant,14209,,
qd,qx5q.0,1521,2142,MAX,max,",","$,",--,14209,,
qd,qx5q.0,1521,2142,MAX,max,den,ART,der,14209,,
qd,qx5q.0,1521,2142,MAX,max,folgenden,ADJA,folgend,14209,,
qd,qx5q.0,1521,2142,MAX,max,Marsch,NN,marsch,14209,,
qd,qx5q.0,1521,2142,MAX,max,spielend,ADJD,spielend,14209,,
qd,qx5q.0,1521,2142,MAX,max,;,$.,--,14209,,
qd,qx5q.0,1521,2142,MAX,max,dann,ADV,dann,14209,,
