corpus,drama,figure_surface,figure_id,Gender,Age
qd,r0gb.0,STIMME,stimme,,
qd,r0gb.0,DER ZWEITE KÖHLER,der_zweite_köhler,,
qd,r0gb.0,BURGGRAF VON FREIBURG,freiburg,,
qd,r0gb.0,DER ERSTE,der_erste,,
qd,r0gb.0,EIN NACHTWÄCHTER,ein_nachtwächter,,
qd,r0gb.0,KNECHTE DES RHEINGRAFEN,knechte_des_rheingrafen,,
qd,r0gb.0,GEORG,georg,,
qd,r0gb.0,DER ERSTE KÖHLER,der_erste_köhler,,
qd,r0gb.0,EINE STIMME,eine_stimme,,
qd,r0gb.0,ZWEITER RICHTER,zweiter_richter,,
qd,r0gb.0,ERSTE TANTE,erste_tante,,
qd,r0gb.0,WETZLAF,wetzlaf,,
qd,r0gb.0,DIE KNECHTE,die_anderen,,
qd,r0gb.0,DER HEROLD,der_herold,,
qd,r0gb.0,PFÖRTNER,pförtner,,
qd,r0gb.0,WENZEL,wenzel,,
qd,r0gb.0,GRÄFIN,gräfin,,
qd,r0gb.0,DIE BOTEN,die_boten,,
qd,r0gb.0,RHEINGRAF,rheingraf,,
qd,r0gb.0,ROSALIE,rosalie,,
qd,r0gb.0,HANS,hans,,
qd,r0gb.0,DER GRAF VOM STRAHL,der_graf_vom_strahl,,
qd,r0gb.0,VON DER WART,eginhardt,,
qd,r0gb.0,BRIGITTE,brigitte,,
qd,r0gb.0,ELEONORE,eleonore,,
qd,r0gb.0,KÖHLERJUNGE,köhlerjunge,,
qd,r0gb.0,DER KAISER,der_kaiser,,
qd,r0gb.0,DER CHERUB,der_cherub,,
qd,r0gb.0,DIE HERREN VON THURNECK,thurneck,,
qd,r0gb.0,RITTER FLAMMBERG,ritter_flammberg,,
qd,r0gb.0,DIENER,diener,,
qd,r0gb.0,SCHAUERMANN,schauermann,,
qd,r0gb.0,EIN ANDERER,ein_anderer_knecht,,
qd,r0gb.0,ERZBISCHOF,erzbischof,,
qd,r0gb.0,EIN RITTER,ein_ritter,,
qd,r0gb.0,DER BEDIENTE,der_bediente,,
qd,r0gb.0,GRAF OTTO,graf_otto,,
qd,r0gb.0,GOTTFRIED,gottfried,,
qd,r0gb.0,VOLK,volk,,
qd,r0gb.0,KUNIGUNDE,kunigunde,,
qd,r0gb.0,EIN RICHTER,ein_richter,,
qd,r0gb.0,KÄTHCHEN,käthchen,,
qd,r0gb.0,ERSTER RICHTER,erster_richter,,
qd,r0gb.0,JAKOB PECH,jakob_pech,,
qd,r0gb.0,GOTTSCHALK,gottschalk,,
qd,r0gb.0,ZWEITE TANTE,zweite_tante,,
qd,r0gb.0,EINE ANDERE,eine_andere,,
qd,r0gb.0,THEOBALD FRIEDEBORN,theobald_friedeborn,,
qd,r0gb.0,HERRNSTADT,friedrich,,
qd,r0gb.0,DIE RICHTER,die_richter,,
