corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,r0jz.0,360,4901,sosias,460,463,mir,sosias
qd,r0jz.0,360,4901,sosias,591,597,meiner,sosias
qd,r0jz.0,360,4901,sosias,664,667,ich,sosias
qd,r0jz.0,360,4901,sosias,741,745,mich,sosias
qd,r0jz.0,360,4901,sosias,891,894,ich,sosias
qd,r0jz.0,360,4901,sosias,917,923,meinem,sosias
qd,r0jz.0,360,4901,sosias,953,956,ich,sosias
qd,r0jz.0,360,4901,sosias,1013,1016,ich,sosias
qd,r0jz.0,360,4901,sosias,1058,1062,mein,sosias
qd,r0jz.0,360,4901,sosias,1187,1191,mich,sosias
qd,r0jz.0,360,4901,sosias,1314,1317,mir,sosias
qd,r0jz.0,360,4901,sosias,1391,1397,Sosias,sosias
qd,r0jz.0,360,4901,sosias,1421,1425,mein,sosias
qd,r0jz.0,360,4901,sosias,1455,1461,meinen,sosias
qd,r0jz.0,360,4901,sosias,1482,1487,meine,sosias
qd,r0jz.0,360,4901,sosias,1514,1520,meiner,sosias
qd,r0jz.0,360,4901,sosias,1601,1604,ich,sosias
qd,r0jz.0,360,4901,sosias,1671,1674,ich,sosias
qd,r0jz.0,360,4901,sosias,1723,1729,Sosias,sosias
qd,r0jz.0,360,4901,sosias,1978,1988,Amphitryon,amphitryon
qd,r0jz.0,360,4901,sosias,2059,2062,ich,sosias
qd,r0jz.0,360,4901,sosias,2071,2074,ich,sosias
qd,r0jz.0,360,4901,sosias,2105,2108,Ich,sosias
qd,r0jz.0,360,4901,sosias,2116,2119,ich,sosias
qd,r0jz.0,360,4901,sosias,2222,2225,ich,sosias
qd,r0jz.0,360,4901,sosias,2407,2413,Sosias,sosias
qd,r0jz.0,360,4901,sosias,2478,2485,Alkmene,alkmene
qd,r0jz.0,360,4901,sosias,2491,2495,mich,sosias
qd,r0jz.0,360,4901,sosias,2579,2583,mich,sosias
qd,r0jz.0,360,4901,sosias,2592,2602,Amphitryon,amphitryon
qd,r0jz.0,360,4901,sosias,2605,2609,Mein,sosias
qd,r0jz.0,360,4901,sosias,2769,2775,Sosias,sosias
qd,r0jz.0,360,4901,sosias,2777,2782,meine,sosias
qd,r0jz.0,360,4901,sosias,2796,2799,ich,sosias
qd,r0jz.0,360,4901,sosias,2811,2814,ich,sosias
qd,r0jz.0,360,4901,sosias,2872,2876,mich,sosias
qd,r0jz.0,360,4901,sosias,3000,3006,meiner,sosias
qd,r0jz.0,360,4901,sosias,3012,3022,Amphitryon,amphitryon
qd,r0jz.0,360,4901,sosias,3066,3069,ich,sosias
qd,r0jz.0,360,4901,sosias,3342,3346,mich,sosias
qd,r0jz.0,360,4901,sosias,3355,3361,Sosias,sosias
qd,r0jz.0,360,4901,sosias,3440,3444,mich,sosias
qd,r0jz.0,360,4901,sosias,3473,3476,mir,sosias
qd,r0jz.0,360,4901,sosias,3668,3674,Sosias,sosias
qd,r0jz.0,360,4901,sosias,3707,3710,mir,sosias
qd,r0jz.0,360,4901,sosias,3741,3744,Ich,sosias
qd,r0jz.0,360,4901,sosias,3804,3807,ich,sosias
qd,r0jz.0,360,4901,sosias,3859,3862,ich,sosias
qd,r0jz.0,360,4901,sosias,3863,3866,mir,sosias
qd,r0jz.0,360,4901,sosias,4858,4861,Ich,sosias
qd,r0jz.0,360,4901,sosias,4890,4893,mir,sosias
qd,r0jz.0,4946,5014,_stage,4946,4952,Merkur,merkur
qd,r0jz.0,4946,5014,_stage,4978,4984,Sosias,sosias
qd,r0jz.0,4946,5014,_stage,5007,5013,Sosias,sosias
qd,r0jz.0,5017,5281,merkur,5042,5045,ich,merkur
qd,r0jz.0,5017,5281,merkur,5151,5154,mir,merkur
qd,r0jz.0,5295,5319,_stage,5304,5310,Merkur,merkur
qd,r0jz.0,5287,5494,sosias,5345,5350,meine,sosias
qd,r0jz.0,5287,5494,sosias,5416,5419,ich,sosias
qd,r0jz.0,5287,5494,sosias,5420,5424,mich,sosias
qd,r0jz.0,5287,5494,sosias,5462,5468,meines,sosias
qd,r0jz.0,5287,5494,sosias,5478,5482,mich,sosias
qd,r0jz.0,5500,5599,merkur,5539,5545,Merkur,merkur
qd,r0jz.0,5500,5599,merkur,5571,5574,ich,merkur
qd,r0jz.0,5605,5962,sosias,5661,5664,ich,sosias
qd,r0jz.0,5605,5962,sosias,5750,5753,ich,sosias
qd,r0jz.0,5605,5962,sosias,5829,5833,Mein,sosias
qd,r0jz.0,6125,6145,_stage,6138,6144,Merkur,merkur
qd,r0jz.0,6117,6352,sosias,6179,6182,Ich,sosias
qd,r0jz.0,6117,6352,sosias,6244,6247,ich,sosias
qd,r0jz.0,6117,6352,sosias,6301,6304,ich,sosias
qd,r0jz.0,6358,6552,merkur,6475,6478,mir,merkur
qd,r0jz.0,6358,6552,merkur,6514,6518,mein,merkur
qd,r0jz.0,6619,6845,merkur,6659,6662,ich,merkur
qd,r0jz.0,6619,6845,merkur,6676,6679,ich,merkur
qd,r0jz.0,6619,6845,merkur,6715,6719,Mein,merkur
qd,r0jz.0,6619,6845,merkur,6744,6747,ich,merkur
qd,r0jz.0,6619,6845,merkur,6813,6816,ich,merkur
qd,r0jz.0,6619,6845,merkur,6823,6827,mich,merkur
qd,r0jz.0,6851,7408,sosias,6886,6889,mir,sosias
qd,r0jz.0,6851,7408,sosias,6929,6932,ich,sosias
qd,r0jz.0,6851,7408,sosias,6933,6937,mich,sosias
qd,r0jz.0,6851,7408,sosias,6954,6957,mir,sosias
qd,r0jz.0,6851,7408,sosias,7041,7044,mir,sosias
qd,r0jz.0,6851,7408,sosias,7116,7119,mir,sosias
qd,r0jz.0,6851,7408,sosias,7165,7169,mich,sosias
qd,r0jz.0,6851,7408,sosias,7230,7233,ich,sosias
qd,r0jz.0,6851,7408,sosias,7255,7258,Ich,sosias
qd,r0jz.0,6851,7408,sosias,7296,7299,ich,sosias
qd,r0jz.0,6851,7408,sosias,7352,7355,mir,sosias
qd,r0jz.0,6851,7408,sosias,7365,7368,mir,sosias
qd,r0jz.0,7475,7487,sosias,7483,7486,Ich,sosias
qd,r0jz.0,7521,7619,sosias,7553,7559,meines,sosias
qd,r0jz.0,7521,7619,sosias,7566,7569,ich,sosias
qd,r0jz.0,7521,7619,sosias,7612,7618,Sosias,sosias
qd,r0jz.0,7789,7841,merkur,7830,7833,ich,merkur
qd,r0jz.0,7846,7939,sosias,7870,7874,mich,sosias
qd,r0jz.0,7846,7939,sosias,7901,7904,ich,sosias
qd,r0jz.0,7846,7939,sosias,7919,7922,ich,sosias
qd,r0jz.0,7945,7975,merkur,7971,7974,mir,merkur
qd,r0jz.0,7981,8009,sosias,8000,8003,mir,sosias
qd,r0jz.0,8014,8192,merkur,8054,8057,ich,merkur
qd,r0jz.0,8198,8383,sosias,8219,8222,ich,sosias
qd,r0jz.0,8198,8383,sosias,8264,8267,ich,sosias
qd,r0jz.0,8198,8383,sosias,8294,8297,ich,sosias
qd,r0jz.0,8198,8383,sosias,8311,8314,ich,sosias
qd,r0jz.0,8198,8383,sosias,8369,8372,mir,sosias
qd,r0jz.0,8389,8619,merkur,8398,8401,Ich,merkur
qd,r0jz.0,8389,8619,merkur,8441,8445,Mich,merkur
qd,r0jz.0,8389,8619,merkur,8468,8471,Mir,merkur
qd,r0jz.0,8389,8619,merkur,8568,8571,ich,merkur
qd,r0jz.0,8625,8637,sosias,8633,8636,Mir,sosias
qd,r0jz.0,8730,8790,sosias,8760,8763,mir,sosias
qd,r0jz.0,8796,8867,merkur,8850,8853,ich,merkur
qd,r0jz.0,8873,8951,sosias,8886,8889,ich,sosias
qd,r0jz.0,8957,9009,merkur,8973,8976,mir,merkur
qd,r0jz.0,8957,9009,merkur,8984,8987,Ich,merkur
qd,r0jz.0,9014,9086,sosias,9022,9025,Ich,sosias
qd,r0jz.0,9014,9086,sosias,9055,9059,mich,sosias
qd,r0jz.0,9177,9232,merkur,9186,9189,Ich,merkur
qd,r0jz.0,9177,9232,merkur,9208,9211,ich,merkur
qd,r0jz.0,9238,9302,sosias,9265,9268,ich,sosias
qd,r0jz.0,9238,9302,sosias,9269,9272,mir,sosias
qd,r0jz.0,9238,9302,sosias,9292,9296,mich,sosias
qd,r0jz.0,9458,9510,sosias,9476,9479,ich,sosias
qd,r0jz.0,9871,9946,sosias,9905,9908,ich,sosias
qd,r0jz.0,9871,9946,sosias,9926,9929,Ich,sosias
qd,r0jz.0,10017,10033,sosias,10025,10028,Ich,sosias
qd,r0jz.0,10154,10169,sosias,10162,10168,Sosias,sosias
qd,r0jz.0,10192,10208,sosias,10201,10207,Sosias,sosias
qd,r0jz.0,10214,10258,merkur,10241,10244,ich,merkur
qd,r0jz.0,10298,10379,merkur,10361,10367,Sosias,sosias
qd,r0jz.0,10385,10471,sosias,10410,10413,mir,sosias
qd,r0jz.0,10385,10471,sosias,10415,10418,ich,sosias
qd,r0jz.0,10385,10471,sosias,10443,10447,mein,sosias
qd,r0jz.0,10477,10592,merkur,10537,10540,mir,merkur
qd,r0jz.0,10477,10592,merkur,10580,10586,Sosias,sosias
qd,r0jz.0,10598,10914,sosias,10711,10717,meiner,sosias
qd,r0jz.0,10598,10914,sosias,10785,10788,ich,sosias
qd,r0jz.0,10598,10914,sosias,10800,10803,ich,sosias
qd,r0jz.0,10598,10914,sosias,10808,10811,Ich,sosias
qd,r0jz.0,10598,10914,sosias,10844,10847,ich,sosias
qd,r0jz.0,10598,10914,sosias,10862,10872,Amphitryon,amphitryon
qd,r0jz.0,10920,10974,merkur,10939,10942,Ich,merkur
qd,r0jz.0,11085,11153,sosias,11112,11116,mich,sosias
qd,r0jz.0,11085,11153,sosias,11142,11145,ich,sosias
qd,r0jz.0,11159,11287,merkur,11242,11249,Alkmene,alkmene
qd,r0jz.0,11293,11593,sosias,11324,11327,Ich,sosias
qd,r0jz.0,11293,11593,sosias,11372,11375,mir,sosias
qd,r0jz.0,11293,11593,sosias,11488,11491,ich,sosias
qd,r0jz.0,11639,11752,sosias,11664,11667,ich,sosias
qd,r0jz.0,11639,11752,sosias,11688,11691,ich,sosias
qd,r0jz.0,11758,11786,merkur,11774,11780,Sosias,sosias
qd,r0jz.0,11791,11997,sosias,11808,11812,mich,sosias
qd,r0jz.0,11791,11997,sosias,11848,11851,ich,sosias
qd,r0jz.0,11791,11997,sosias,11885,11888,ich,sosias
qd,r0jz.0,11791,11997,sosias,11895,11898,Ich,sosias
qd,r0jz.0,11791,11997,sosias,11909,11912,ich,sosias
qd,r0jz.0,11791,11997,sosias,11952,11955,ich,sosias
qd,r0jz.0,11791,11997,sosias,11956,11960,mich,sosias
qd,r0jz.0,11791,11997,sosias,11962,11968,Sosias,sosias
qd,r0jz.0,12003,12057,merkur,12031,12034,ich,merkur
qd,r0jz.0,12062,12106,sosias,12091,12094,mir,sosias
