corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,r0jz.0,317,29527,0,331,4901,0
qd,r0jz.0,317,29527,0,4916,19862,0
qd,r0jz.0,317,29527,0,19876,20539,0
qd,r0jz.0,317,29527,0,20553,25271,0
qd,r0jz.0,317,29527,0,25284,29527,0
qd,r0jz.0,29544,81502,0,29558,38112,0
qd,r0jz.0,29544,81502,0,38126,49866,0
qd,r0jz.0,29544,81502,0,49879,54689,0
qd,r0jz.0,29544,81502,0,54702,60746,0
qd,r0jz.0,29544,81502,0,60759,77293,0
qd,r0jz.0,29544,81502,0,77306,81502,0
qd,r0jz.0,81517,117482,0,81531,82853,0
qd,r0jz.0,81517,117482,0,82867,87298,0
qd,r0jz.0,81517,117482,0,87311,87873,0
qd,r0jz.0,81517,117482,0,87887,90579,0
qd,r0jz.0,81517,117482,0,90592,96505,0
qd,r0jz.0,81517,117482,0,96518,96901,0
qd,r0jz.0,81517,117482,0,96915,97193,0
qd,r0jz.0,81517,117482,0,97207,101997,0
qd,r0jz.0,81517,117482,0,102010,102722,0
qd,r0jz.0,81517,117482,0,102737,107067,0
qd,r0jz.0,81517,117482,0,107081,117482,0
