corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,r0jz.0,368,396,SOSIAS,sosias,tritt,VVFIN,treten,23583,,
qd,r0jz.0,368,396,SOSIAS,sosias,mit,APPR,mit,23583,,
qd,r0jz.0,368,396,SOSIAS,sosias,einer,ART,ein,23583,,
qd,r0jz.0,368,396,SOSIAS,sosias,Laterne,NN,laterne,23583,,
qd,r0jz.0,368,396,SOSIAS,sosias,auf,PTKVZ,auf,23583,,
qd,r0jz.0,368,396,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,Er,PPER,er,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,setzt,VVFIN,setzen,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,die,ART,der,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,Laterne,NN,latern,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,auf,APPR,auf,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,den,ART,der,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,Boden,NN,boden,23583,,
qd,r0jz.0,2523,2558,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,Er,PPER,er,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,bezeichnet,VVFIN,bezeichnen,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,die,ART,der,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,Örter,NN,örter,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,auf,APPR,auf,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,seiner,PPOSAT,sein,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,Hand,NN,hand,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,–,PTKVZ,–,23583,,
qd,r0jz.0,3951,3993,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,Merkur,NE,merkur,23583,,(1)
qd,r0jz.0,4946,5014,_Stage,_Stage,tritt,VVFIN,treten,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,in,APPR,in,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,der,ART,der,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,Gestalt,NN,gestalt,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,des,ART,der,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,Sosias,NN,sosia,23583,,(0)
qd,r0jz.0,4946,5014,_Stage,_Stage,aus,APPR,aus,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,Amphitryons,NE,amphitryon,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,Haus,NE,haus,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,.,$.,--,23583,,
qd,r0jz.0,4946,5014,_Stage,_Stage,Sosias,NE,sosias,23583,,(0)
qd,r0jz.0,4946,5014,_Stage,_Stage,.,$.,--,23583,,
qd,r0jz.0,5025,5034,MERKUR,merkur,für,APPR,für,23583,,
qd,r0jz.0,5025,5034,MERKUR,merkur,sich,PRF,sich,23583,,
qd,r0jz.0,5025,5034,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,5295,5319,SOSIAS,sosias,ohne,APPR,ohne,23583,,
qd,r0jz.0,5295,5319,SOSIAS,sosias,den,ART,der,23583,,
qd,r0jz.0,5295,5319,SOSIAS,sosias,Merkur,NN,merkur,23583,,(1)
qd,r0jz.0,5295,5319,SOSIAS,sosias,zu,PTKZU,zu,23583,,
qd,r0jz.0,5295,5319,SOSIAS,sosias,sehn,VVINF,sehn,23583,,
qd,r0jz.0,5295,5319,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,5508,5517,MERKUR,merkur,für,APPR,für,23583,,
qd,r0jz.0,5508,5517,MERKUR,merkur,sich,PRF,sich,23583,,
qd,r0jz.0,5508,5517,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,6125,6145,SOSIAS,sosias,erblickt,VVFIN,erblicken,23583,,
qd,r0jz.0,6125,6145,SOSIAS,sosias,den,ART,der,23583,,
qd,r0jz.0,6125,6145,SOSIAS,sosias,Merkur,NN,merkur,23583,,(1)
qd,r0jz.0,6125,6145,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,6342,6352,SOSIAS,sosias,Er,PPER,er,23583,,
qd,r0jz.0,6342,6352,SOSIAS,sosias,pfeift,VVFIN,pfeifen,23583,,
qd,r0jz.0,6342,6352,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,6366,6371,MERKUR,merkur,laut,ADJD,laut,23583,,
qd,r0jz.0,6366,6371,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,7422,7443,MERKUR,merkur,vertritt,VVFIN,vertreten,23583,,
qd,r0jz.0,7422,7443,MERKUR,merkur,ihm,PPER,ihm,23583,,
qd,r0jz.0,7422,7443,MERKUR,merkur,den,ART,der,23583,,
qd,r0jz.0,7422,7443,MERKUR,merkur,Weg,NN,weg,23583,,
qd,r0jz.0,7422,7443,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,9073,9086,SOSIAS,sosias,Er,PPER,er,23583,,
qd,r0jz.0,9073,9086,SOSIAS,sosias,will,VMFIN,wollen,23583,,
qd,r0jz.0,9073,9086,SOSIAS,sosias,gehn,CARD,gehn,23583,,
qd,r0jz.0,9073,9086,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,9099,9120,MERKUR,merkur,tritt,VVFIN,treten,23583,,
qd,r0jz.0,9099,9120,MERKUR,merkur,ihm,PPER,ihm,23583,,
qd,r0jz.0,9099,9120,MERKUR,merkur,in,APPR,in,23583,,
qd,r0jz.0,9099,9120,MERKUR,merkur,den,ART,der,23583,,
qd,r0jz.0,9099,9120,MERKUR,merkur,Weg,NN,weg,23583,,
qd,r0jz.0,9099,9120,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,11647,11656,SOSIAS,sosias,für,APPR,für,23583,,
qd,r0jz.0,11647,11656,SOSIAS,sosias,sich,PRF,sich,23583,,
qd,r0jz.0,11647,11656,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,12048,12057,MERKUR,merkur,Er,PPER,er,23583,,
qd,r0jz.0,12048,12057,MERKUR,merkur,droht,VVFIN,drohen,23583,,
qd,r0jz.0,12048,12057,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,12889,12898,SOSIAS,sosias,für,APPR,für,23583,,
qd,r0jz.0,12889,12898,SOSIAS,sosias,sich,PRF,sich,23583,,
qd,r0jz.0,12889,12898,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,16161,16170,SOSIAS,sosias,für,APPR,für,23583,,
qd,r0jz.0,16161,16170,SOSIAS,sosias,sich,PRF,sich,23583,,
qd,r0jz.0,16161,16170,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,16545,16550,SOSIAS,sosias,Laut,APPR,laut,23583,,
qd,r0jz.0,16545,16550,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,17242,17251,SOSIAS,sosias,für,APPR,für,23583,,
qd,r0jz.0,17242,17251,SOSIAS,sosias,sich,PRF,sich,23583,,
qd,r0jz.0,17242,17251,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,17823,17828,SOSIAS,sosias,Laut,APPR,laut,23583,,
qd,r0jz.0,17823,17828,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,18001,18010,SOSIAS,sosias,für,APPR,für,23583,,
qd,r0jz.0,18001,18010,SOSIAS,sosias,sich,PRF,sich,23583,,
qd,r0jz.0,18001,18010,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,18284,18293,SOSIAS,sosias,für,APPR,für,23583,,
qd,r0jz.0,18284,18293,SOSIAS,sosias,sich,PRF,sich,23583,,
qd,r0jz.0,18284,18293,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,18529,18534,SOSIAS,sosias,Laut,APPR,laut,23583,,
qd,r0jz.0,18529,18534,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,19383,19404,SOSIAS,sosias,Er,PPER,er,23583,,
qd,r0jz.0,19383,19404,SOSIAS,sosias,geht,VVFIN,gehen,23583,,
qd,r0jz.0,19383,19404,SOSIAS,sosias,dem,ART,der,23583,,
qd,r0jz.0,19383,19404,SOSIAS,sosias,Hause,NN,haus,23583,,
qd,r0jz.0,19383,19404,SOSIAS,sosias,zu,PTKVZ,zu,23583,,
qd,r0jz.0,19383,19404,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,19417,19434,MERKUR,merkur,stößt,VVFIN,stoßen,23583,,
qd,r0jz.0,19417,19434,MERKUR,merkur,ihn,PPER,ihn,23583,,
qd,r0jz.0,19417,19434,MERKUR,merkur,zurück,PTKVZ,zurück,23583,,
qd,r0jz.0,19417,19434,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,19496,19511,MERKUR,merkur,Er,PPER,er,23583,,
qd,r0jz.0,19496,19511,MERKUR,merkur,schlägt,VVFIN,schlagen,23583,,
qd,r0jz.0,19496,19511,MERKUR,merkur,ihn,PPER,ihn,23583,,
qd,r0jz.0,19496,19511,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,19859,19862,SOSIAS,sosias,Ab,APPR,ab,23583,,
qd,r0jz.0,19859,19862,SOSIAS,sosias,.,$.,--,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,Jupiter,NN,jupiter,23583,,(2)
qd,r0jz.0,20583,20652,_Stage,_Stage,in,APPR,in,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,der,ART,der,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,Gestalt,NN,gestalt,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,Amphitryons,NE,amphitryon,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,.,$.,--,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,Alkmene,NN,alkmene,23583,,(3)
qd,r0jz.0,20583,20652,_Stage,_Stage,;,$.,--,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,Charis,NE,charis,23583,,(4)
qd,r0jz.0,20583,20652,_Stage,_Stage,;,$.,--,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,Merkur,NN,merkur,23583,,(1)
qd,r0jz.0,20583,20652,_Stage,_Stage,;,$.,--,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,Fackeln,NN,fackel,23583,,
qd,r0jz.0,20583,20652,_Stage,_Stage,.,$.,--,23583,,
qd,r0jz.0,25268,25271,ALKMENE,alkmene,Ab,APPR,ab,23583,,
qd,r0jz.0,25268,25271,ALKMENE,alkmene,.,$.,--,23583,,
qd,r0jz.0,25314,25329,_Stage,_Stage,Merkur,NE,merkur,23583,,(1)
qd,r0jz.0,25314,25329,_Stage,_Stage,.,$.,--,23583,,
qd,r0jz.0,25314,25329,_Stage,_Stage,Charis,NE,charis,23583,,(4)
qd,r0jz.0,25314,25329,_Stage,_Stage,.,$.,--,23583,,
qd,r0jz.0,25340,25349,CHARIS,charis,für,APPR,für,23583,,
qd,r0jz.0,25340,25349,CHARIS,charis,sich,PRF,sich,23583,,
qd,r0jz.0,25340,25349,CHARIS,charis,.,$.,--,23583,,
qd,r0jz.0,25584,25593,MERKUR,merkur,für,APPR,für,23583,,
qd,r0jz.0,25584,25593,MERKUR,merkur,sich,PRF,sich,23583,,
qd,r0jz.0,25584,25593,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,25867,25872,CHARIS,charis,laut,ADJD,laut,23583,,
qd,r0jz.0,25867,25872,CHARIS,charis,.,$.,--,23583,,
qd,r0jz.0,29314,29317,MERKUR,merkur,Ab,APPR,ab,23583,,
qd,r0jz.0,29314,29317,MERKUR,merkur,.,$.,--,23583,,
qd,r0jz.0,29587,29606,_Stage,_Stage,Amphitryon,NE,amphitryon,23583,,(5)
