corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,r0n2.0,das_mädchen,33,
qd,r0n2.0,die_zweite,28,
qd,r0n2.0,die_dritte,29,
qd,r0n2.0,stimmen,8,
qd,r0n2.0,eine_jungfrau,44,
qd,r0n2.0,die_drei_amazonen,15,
qd,r0n2.0,die_sechste,39,
qd,r0n2.0,erste_oberste,49,
qd,r0n2.0,die_amazonen,14,
qd,r0n2.0,ein_ätolier,6,
qd,r0n2.0,die_vierte,42,
qd,r0n2.0,mehrere_frauen,52,
qd,r0n2.0,die_griechen,5,
qd,r0n2.0,ein_drittes,24,
qd,r0n2.0,eine_andere,45,
qd,r0n2.0,der_herold,48,
qd,r0n2.0,mehrere,37,
qd,r0n2.0,die_siebente,40,
qd,r0n2.0,die_oberste,34,
qd,r0n2.0,achilles,9,
qd,r0n2.0,prothoe,17,
qd,r0n2.0,die_fünfte_amazone,38,
qd,r0n2.0,die_frauen,47,
qd,r0n2.0,eine_dritte,50,
qd,r0n2.0,die_hauptmännin,30,
qd,r0n2.0,eine_andere_fürstin,20,
qd,r0n2.0,ein_anderes,23,
qd,r0n2.0,odysseus,1,
qd,r0n2.0,die_achte,43,
qd,r0n2.0,meroe,19,
qd,r0n2.0,antilochus,0,
qd,r0n2.0,penthesilea,16,
qd,r0n2.0,die_priesterinnen,51,
qd,r0n2.0,diomedes,2,
qd,r0n2.0,die_mädchen,26,
qd,r0n2.0,die_erste_amazone,27,
qd,r0n2.0,eine_amazonenfürstin,41,
qd,r0n2.0,ein_doloper,7,
qd,r0n2.0,ein_junges_mädchen,22,
qd,r0n2.0,automedon,13,
qd,r0n2.0,die_oberpriesterin,21,
qd,r0n2.0,ein_viertes,25,
qd,r0n2.0,chor_der_jungfraun,46,
qd,r0n2.0,griechen,35,
qd,r0n2.0,eine_priesterin,31,
qd,r0n2.0,eine_fürstin,36,
qd,r0n2.0,die_zweite_priesterin,32,
qd,r0n2.0,asteria,18,
qd,r0n2.0,ein_griechenfürst,10,
qd,r0n2.0,der_hauptmann,3,
qd,r0n2.0,ein_myrmidonier,4,
qd,r0n2.0,der_erste_grieche,11,
qd,r0n2.0,eine_trägerin,53,
qd,r0n2.0,der_zweite_grieche,12,
