corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,r0sb.0,391,485,LICHT,licht,Ei,ITJ,ei,22349,,
qd,r0sb.0,391,485,LICHT,licht,",","$,",--,22349,,
qd,r0sb.0,391,485,LICHT,licht,was,PWS,was,22349,,
qd,r0sb.0,391,485,LICHT,licht,zum,APPRART,zu,22349,,
qd,r0sb.0,391,485,LICHT,licht,Henker,NN,henker,22349,,
qd,r0sb.0,391,485,LICHT,licht,",","$,",--,22349,,
qd,r0sb.0,391,485,LICHT,licht,sagt,VVFIN,sagen,22349,,
qd,r0sb.0,391,485,LICHT,licht,",","$,",--,22349,,
qd,r0sb.0,391,485,LICHT,licht,Gevatter,NN,gevatter,22349,,
qd,r0sb.0,391,485,LICHT,licht,Adam,NE,adam,22349,adam,(1)
qd,r0sb.0,391,485,LICHT,licht,"!",$.,--,22349,,
qd,r0sb.0,391,485,LICHT,licht,Was,PWS,was,22349,,
qd,r0sb.0,391,485,LICHT,licht,ist,VAFIN,sein,22349,,
qd,r0sb.0,391,485,LICHT,licht,mit,APPR,mit,22349,,
qd,r0sb.0,391,485,LICHT,licht,Euch,PPER,euch,22349,,
qd,r0sb.0,391,485,LICHT,licht,geschehn,ADJD,geschehn,22349,,
qd,r0sb.0,391,485,LICHT,licht,?,$.,--,22349,,
qd,r0sb.0,391,485,LICHT,licht,Wie,PWAV,wie,22349,,
qd,r0sb.0,391,485,LICHT,licht,seht,VVFIN,sehen,22349,,
qd,r0sb.0,391,485,LICHT,licht,Ihr,PPOSAT,ihr,22349,,
qd,r0sb.0,391,485,LICHT,licht,aus,PTKVZ,aus,22349,,
qd,r0sb.0,391,485,LICHT,licht,?,$.,--,22349,,
qd,r0sb.0,491,696,ADAM,adam,Ja,PTKANT,ja,22349,,
qd,r0sb.0,491,696,ADAM,adam,",","$,",--,22349,,
qd,r0sb.0,491,696,ADAM,adam,seht,VVFIN,sehen,22349,,
qd,r0sb.0,491,696,ADAM,adam,.,$.,--,22349,,
qd,r0sb.0,491,696,ADAM,adam,Zum,APPRART,zu,22349,,
qd,r0sb.0,491,696,ADAM,adam,Straucheln,NN,strauchel,22349,,
qd,r0sb.0,491,696,ADAM,adam,braucht,VVFIN,brauchen,22349,,
qd,r0sb.0,491,696,ADAM,adam,',$[,--,22349,,
qd,r0sb.0,491,696,ADAM,adam,s,PPER,--,22349,,
qd,r0sb.0,491,696,ADAM,adam,doch,ADV,doch,22349,,
qd,r0sb.0,491,696,ADAM,adam,nichts,PIS,nichts,22349,,
qd,r0sb.0,491,696,ADAM,adam,",","$,",--,22349,,
qd,r0sb.0,491,696,ADAM,adam,als,APPR,als,22349,,
qd,r0sb.0,491,696,ADAM,adam,Füße,NN,fuß,22349,,
