corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,r10b.0,1335,27923,0,1349,6899,0
qd,r10b.0,1335,27923,0,6912,7233,0
qd,r10b.0,1335,27923,0,7246,7954,0
qd,r10b.0,1335,27923,0,7967,15849,0
qd,r10b.0,1335,27923,0,15863,27333,0
qd,r10b.0,1335,27923,0,27346,27923,0
qd,r10b.0,27938,56763,0,27952,30265,0
qd,r10b.0,27938,56763,0,30279,36958,0
qd,r10b.0,27938,56763,0,36971,37762,0
qd,r10b.0,27938,56763,0,37776,38289,0
qd,r10b.0,27938,56763,0,38303,41035,0
qd,r10b.0,27938,56763,0,41049,43808,0
qd,r10b.0,27938,56763,0,43822,44568,0
qd,r10b.0,27938,56763,0,44581,50464,0
qd,r10b.0,27938,56763,0,50477,51940,0
qd,r10b.0,27938,56763,0,51954,56763,0
qd,r10b.0,56778,73789,0,56792,65815,0
qd,r10b.0,56778,73789,0,65829,66663,0
qd,r10b.0,56778,73789,0,66676,67075,0
qd,r10b.0,56778,73789,0,67089,67689,0
qd,r10b.0,56778,73789,0,67702,73789,0
qd,r10b.0,73804,93465,0,73818,81046,0
qd,r10b.0,73804,93465,0,81059,85623,0
qd,r10b.0,73804,93465,0,85636,86316,0
qd,r10b.0,73804,93465,0,86331,93465,0
qd,r10b.0,93480,122076,0,93494,94788,0
qd,r10b.0,93480,122076,0,94801,95929,0
qd,r10b.0,93480,122076,0,95942,98361,0
qd,r10b.0,93480,122076,0,98374,99217,0
qd,r10b.0,93480,122076,0,99230,111883,0
qd,r10b.0,93480,122076,0,111897,112687,0
qd,r10b.0,93480,122076,0,112700,116473,0
qd,r10b.0,93480,122076,0,116487,117323,0
qd,r10b.0,93480,122076,0,117337,118893,0
qd,r10b.0,93480,122076,0,118906,120199,0
qd,r10b.0,93480,122076,0,120213,122076,0
