corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,r11m.0,378,471,_stage,446,452,Apollo,apollo
qd,r11m.0,474,599,apollo,530,535,meine,apollo
qd,r11m.0,474,599,apollo,547,552,Meine,apollo
qd,r11m.0,474,599,apollo,559,565,Thalia,isabelle
qd,r11m.0,474,599,apollo,576,579,ich,apollo
qd,r11m.0,604,843,isabelle,630,633,mir,isabelle
qd,r11m.0,604,843,isabelle,687,691,mein,isabelle
qd,r11m.0,604,843,isabelle,830,834,mich,isabelle
qd,r11m.0,848,1192,apollo,857,860,Ich,apollo
qd,r11m.0,848,1192,apollo,917,920,ich,apollo
qd,r11m.0,1197,1922,isabelle,1206,1209,Ich,isabelle
qd,r11m.0,1197,1922,isabelle,1236,1241,meine,isabelle
qd,r11m.0,1197,1922,isabelle,1273,1278,meine,isabelle
qd,r11m.0,1197,1922,isabelle,1494,1499,Momus,momus
qd,r11m.0,1197,1922,isabelle,1597,1602,Momus,momus
qd,r11m.0,1197,1922,isabelle,1857,1860,mir,isabelle
qd,r11m.0,1927,2463,apollo,2054,2057,ich,apollo
qd,r11m.0,1927,2463,apollo,2108,2113,meine,apollo
qd,r11m.0,1927,2463,apollo,2185,2188,mir,apollo
qd,r11m.0,2468,2722,isabelle,2550,2555,Momus,momus
qd,r11m.0,2468,2722,isabelle,2706,2710,mich,isabelle
qd,r11m.0,2949,2973,_stage,2966,2972,Critik,clarisse
qd,r11m.0,2976,3145,clarisse,3043,3047,mich,clarisse
qd,r11m.0,3150,3255,apollo,3173,3179,Critik,clarisse
qd,r11m.0,3260,3437,clarisse,3278,3281,ich,clarisse
qd,r11m.0,3260,3437,clarisse,3301,3307,Thalia,isabelle
qd,r11m.0,3260,3437,clarisse,3332,3335,ich,clarisse
qd,r11m.0,3443,3550,isabelle,3470,3475,meine,isabelle
qd,r11m.0,3555,3855,clarisse,3582,3588,Thalia,isabelle
qd,r11m.0,3555,3855,clarisse,3719,3722,ich,clarisse
qd,r11m.0,3555,3855,clarisse,3848,3854,Thalia,isabelle
qd,r11m.0,3936,4032,isabelle,3957,3963,Apollo,apollo
qd,r11m.0,3936,4032,isabelle,4000,4005,Momus,momus
qd,r11m.0,4087,4168,apollo,4110,4113,ich,apollo
qd,r11m.0,4087,4168,apollo,4147,4151,mich,apollo
qd,r11m.0,4371,6296,apollo,4407,4411,mich,apollo
qd,r11m.0,4371,6296,apollo,4473,4476,ich,apollo
qd,r11m.0,4371,6296,apollo,4516,4519,mir,apollo
