corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,r121.0,2052,2146,DIETHER,diether,Es,PPER,es,25139,,
qd,r121.0,2052,2146,DIETHER,diether,weht,VVFIN,wehen,25139,,
qd,r121.0,2052,2146,DIETHER,diether,hier,ADV,hier,25139,,
qd,r121.0,2052,2146,DIETHER,diether,eine,ART,ein,25139,,
qd,r121.0,2052,2146,DIETHER,diether,dumpfe,ADJA,dumpf,25139,,
qd,r121.0,2052,2146,DIETHER,diether,Kellerluft,NN,kellerluft,25139,,
qd,r121.0,2052,2146,DIETHER,diether,",","$,",--,25139,,
qd,r121.0,2052,2146,DIETHER,diether,Und,KON,und,25139,,
qd,r121.0,2052,2146,DIETHER,diether,doppelt,ADJD,doppelt,25139,,
qd,r121.0,2052,2146,DIETHER,diether,hallt,VVFIN,hallen,25139,,
qd,r121.0,2052,2146,DIETHER,diether,der,ART,der,25139,,
qd,r121.0,2052,2146,DIETHER,diether,Fußtritt,NN,fußtritt,25139,,
qd,r121.0,2052,2146,DIETHER,diether,durchs,APPRART,durch,25139,,
qd,r121.0,2052,2146,DIETHER,diether,Gewölbe,NN,gewölbe,25139,,
qd,r121.0,2052,2146,DIETHER,diether,"!",$.,--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Wohl,ADV,wohl,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,ist,VAFIN,sein,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,',$[,--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,s,PPER,--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,hier,ADV,hier,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,schauerlich,ADJD,schauerlich,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,und,KON,und,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,nicht,PTKNEG,nicht,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,geheuer,ADJD,geheuer,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Denn,KON,denn,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Todtenbein,NN,todtenbein,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,steht,VVFIN,stehen,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,ringsum,ADV,ringsum,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,an,APPR,an,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,den,ART,der,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Wänden,NN,wand,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Und,KON,und,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,überall,ADV,überall,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,giebt,VVFIN,gieben,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,',$[,--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,s,PPER,--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,solche,PIAT,solcher,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Gegenstände,NN,gegenstand,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Vor,APPR,vor,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,deren,PDAT,der,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Anblick,NN,anblick,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,man,PIS,man,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,sich,PRF,sich,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,fürchten,VVINF,fürchten,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,möchte,VMFIN,möchten,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,"!",$.,--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Hu,NE,hu,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,welch,PWAT,welcher,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,ein,ART,ein,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,widrig,ADJD,widrig,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Konterfai,NN,konterfai,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,der,ART,der,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Mensch,NN,mensch,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Wenn,KOUS,wenn,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,seine,PPOSAT,sein,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Erdenschönheit,NN,erdenschönheit,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Staub,NN,staub,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,geworden,VAPP,werden,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Und,KON,und,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,wie,PWAV,wie,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,er,PPER,er,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,grinsend,ADJD,grinsen,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,in,APPR,in,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,das,ART,der,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,Leben,NN,leben,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,schaut,VVFIN,schauen,25139,,
qd,r121.0,2152,2510,KÄTHE,käthe_allein,"!",$.,--,25139,,
qd,r121.0,2516,2551,DIETHER,diether,Was,PWS,was,25139,,
qd,r121.0,2516,2551,DIETHER,diether,ist,VAFIN,sein,25139,,
qd,r121.0,2516,2551,DIETHER,diether,es,PPER,es,25139,,
qd,r121.0,2516,2551,DIETHER,diether,",","$,",--,25139,,
qd,r121.0,2516,2551,DIETHER,diether,meine,PPOSAT,mein,25139,diether,(0)
qd,r121.0,2516,2551,DIETHER,diether,Tochter,NN,tochter,25139,,
qd,r121.0,2516,2551,DIETHER,diether,?,$.,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Ein,ART,ein,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Gerippe,NN,gerippe,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,"!",$.,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Behüt,NE,behüt,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,uns,PPER,uns,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Gott,NN,gott,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,"!",$.,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,–,XY,–,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,',$[,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,S,XY,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,ist,VAFIN,sein,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,doch,ADV,doch,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,so,ADV,so,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,lieb,VVFIN,leiben,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,das,ART,der,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Leben,NN,leben,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Und,KON,und,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,süß,ADJD,süß,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,und,KON,und,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,freundlich,ADJD,freundlich,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,selbst,ADV,selbst,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,wenn,KOUS,wenn,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Sorgen,NN,sorge,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,drücken,VVINF,drücken,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,"!",$.,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Ich,PPER,ich,25139,käthe,(1)
qd,r121.0,2556,2832,KÄTHE,käthe_allein,möcht,VVFIN,möchen,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,',$[,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,nicht,PTKNEG,nicht,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,gerne,ADV,gerne,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,sterben,VVFIN,sterben,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,guter,ADJA,gut,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Vater,NN,vater,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,;,$.,--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Doch,KON,doch,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,trägt,VVFIN,tragen,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,schon,ADV,schon,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,jeder,PIDAT,jeder,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,sein,PPOSAT,sein,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Gerippe,NN,gerippe,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,in,APPR,in,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,sich,PRF,sich,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Und,KON,und,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,seinen,PPOSAT,sein,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Todtenschädel,NN,todtenschädel,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,",","$,",--,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,bis,KOUS,bis,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,es,PPER,es,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,Zeit,NN,zeit,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,wird,VAFIN,werden,25139,,
qd,r121.0,2556,2832,KÄTHE,käthe_allein,"!",$.,--,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Die,ART,der,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Stund,NN,stund,25139,,
qd,r121.0,2838,2990,DIETHER,diether,',$[,--,25139,,
qd,r121.0,2838,2990,DIETHER,diether,ist,VAFIN,sein,25139,,
qd,r121.0,2838,2990,DIETHER,diether,eilf,ADJD,eilf,25139,,
qd,r121.0,2838,2990,DIETHER,diether,"!",$.,--,25139,,
qd,r121.0,2838,2990,DIETHER,diether,–,XY,–,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Mach,PPER,mach,25139,,
qd,r121.0,2838,2990,DIETHER,diether,dir,PPER,dir,25139,,
qd,r121.0,2838,2990,DIETHER,diether,nicht,PTKNEG,nicht,25139,,
qd,r121.0,2838,2990,DIETHER,diether,schwarze,ADJA,schwarz,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Träume,NN,traum,25139,,
qd,r121.0,2838,2990,DIETHER,diether,"!",$.,--,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Und,KON,und,25139,,
qd,r121.0,2838,2990,DIETHER,diether,führe,VVFIN,führen,25139,,
qd,r121.0,2838,2990,DIETHER,diether,mich,PPER,mich,25139,diether,(0)
qd,r121.0,2838,2990,DIETHER,diether,zu,PTKZU,zu,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Bette,VVINF,bette,25139,,
qd,r121.0,2838,2990,DIETHER,diether,",","$,",--,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Tochter,NN,tochter,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Käthe,NE,käthe,25139,,
qd,r121.0,2838,2990,DIETHER,diether,;,$.,--,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Denn,KON,denn,25139,,
qd,r121.0,2838,2990,DIETHER,diether,Faust,NN,faust,25139,faust,(3)
qd,r121.0,2838,2990,DIETHER,diether,kehrt,VVFIN,kehren,25139,,
qd,r121.0,2838,2990,DIETHER,diether,heute,ADV,heute,25139,,
qd,r121.0,2838,2990,DIETHER,diether,nun,ADV,nun,25139,,
qd,r121.0,2838,2990,DIETHER,diether,auch,ADV,auch,25139,,
qd,r121.0,2838,2990,DIETHER,diether,nicht,PTKNEG,nicht,25139,,
qd,r121.0,2838,2990,DIETHER,diether,zurück,PTKVZ,zurück,25139,,
qd,r121.0,2838,2990,DIETHER,diether,.,$.,--,25139,,
qd,r121.0,2996,3230,KÄTHE,käthe_allein,Wenn,KOUS,wenn,25139,,
qd,r121.0,2996,3230,KÄTHE,käthe_allein,gleich,ADV,gleich,25139,,
qd,r121.0,2996,3230,KÄTHE,käthe_allein,"!",$.,--,25139,,
qd,r121.0,2996,3230,KÄTHE,käthe_allein,Verweilt,NE,verweilen,25139,,
qd,r121.0,2996,3230,KÄTHE,käthe_allein,nur,ADV,nur,25139,,
qd,r121.0,2996,3230,KÄTHE,käthe_allein,noch,ADV,noch,25139,,
