corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,r13g.0,634,841,_stage,654,667,Prinz Zifaldo,prinz_zifaldo
qd,r13g.0,634,841,_stage,680,688,Almerine,almerine
qd,r13g.0,634,841,_stage,737,745,Grisaldo,grisaldo
qd,r13g.0,634,841,_stage,747,756,Malvizino,malvizino
qd,r13g.0,634,841,_stage,758,765,Ballona,ballona
qd,r13g.0,844,1197,sarazenenkönig,954,957,ich,sarazenenkönig
qd,r13g.0,844,1197,sarazenenkönig,987,990,Ich,sarazenenkönig
qd,r13g.0,844,1197,sarazenenkönig,1110,1113,ich,sarazenenkönig
qd,r13g.0,1261,1554,sarazenenkönig,1296,1299,Ich,sarazenenkönig
qd,r13g.0,1261,1554,sarazenenkönig,1349,1357,Almerine,almerine
qd,r13g.0,1261,1554,sarazenenkönig,1365,1368,mir,sarazenenkönig
qd,r13g.0,1689,1721,_stage,1689,1697,Almerine,almerine
qd,r13g.0,1858,2091,sarazenenkönig,1996,1999,ich,sarazenenkönig
qd,r13g.0,1858,2091,sarazenenkönig,2011,2017,meinen,sarazenenkönig
qd,r13g.0,1858,2091,sarazenenkönig,2043,2047,mich,sarazenenkönig
qd,r13g.0,2096,2206,grisaldo,2155,2158,ich,grisaldo
qd,r13g.0,2096,2206,grisaldo,2190,2193,mir,grisaldo
qd,r13g.0,2211,2427,sarazenenkönig,2253,2257,mein,sarazenenkönig
qd,r13g.0,2211,2427,sarazenenkönig,2278,2282,mich,sarazenenkönig
qd,r13g.0,2211,2427,sarazenenkönig,2328,2332,mich,sarazenenkönig
qd,r13g.0,2517,2542,sarazenenkönig,2534,2537,Mir,sarazenenkönig
qd,r13g.0,2701,2728,_stage,2701,2709,Almerine,almerine
qd,r13g.0,2733,2770,grisaldo,2758,2764,meinem,grisaldo
qd,r13g.0,3039,3052,_stage,3043,3051,Grisaldo,grisaldo
