corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,r1zm.0,3168,3181,_stage,3168,3172,Seth,seth
qd,r1zm.0,3168,3181,_stage,3174,3180,Selima,selima
qd,r1zm.0,3184,4144,selima,3297,3300,ich,selima
qd,r1zm.0,3184,4144,selima,3388,3393,meine,selima
qd,r1zm.0,3184,4144,selima,3481,3484,Ich,selima
qd,r1zm.0,3184,4144,selima,3520,3523,Ich,selima
qd,r1zm.0,3184,4144,selima,3648,3651,Ich,selima
qd,r1zm.0,3184,4144,selima,3712,3717,Heman,heman
qd,r1zm.0,3184,4144,selima,3723,3726,ich,selima
qd,r1zm.0,3184,4144,selima,3760,3763,Ich,selima
qd,r1zm.0,3184,4144,selima,3804,3809,Heman,heman
qd,r1zm.0,3184,4144,selima,3814,3820,Selima,selima
qd,r1zm.0,3184,4144,selima,3830,3835,Heman,heman
qd,r1zm.0,3184,4144,selima,3842,3848,Selima,selima
qd,r1zm.0,3184,4144,selima,3936,3940,Adam,adam
qd,r1zm.0,3184,4144,selima,4072,4076,mich,selima
qd,r1zm.0,3184,4144,selima,4090,4094,mein,selima
qd,r1zm.0,4150,4227,seth,4157,4162,Meine,seth
qd,r1zm.0,4150,4227,seth,4163,4169,Selima,selima
qd,r1zm.0,4150,4227,seth,4171,4174,Ich,seth
qd,r1zm.0,4336,4740,seth,4352,4355,ich,seth
qd,r1zm.0,4336,4740,seth,4361,4367,Selima,selima
qd,r1zm.0,4336,4740,seth,4380,4383,Ich,seth
qd,r1zm.0,4336,4740,seth,4441,4447,meines,seth
qd,r1zm.0,4336,4740,seth,4499,4502,mir,seth
qd,r1zm.0,4336,4740,seth,4519,4523,mich,seth
qd,r1zm.0,4336,4740,seth,4529,4532,ich,seth
qd,r1zm.0,4336,4740,seth,4576,4582,Selima,selima
qd,r1zm.0,4336,4740,seth,4617,4621,mich,seth
qd,r1zm.0,4336,4740,seth,4726,4729,Eva,eva
qd,r1zm.0,4745,4995,selima,4759,4762,ich,selima
qd,r1zm.0,4745,4995,selima,4892,4896,mein,selima
qd,r1zm.0,4745,4995,selima,4905,4909,mein,selima
qd,r1zm.0,4745,4995,selima,4934,4937,mir,selima
qd,r1zm.0,4745,4995,selima,4958,4961,ich,selima
qd,r1zm.0,5000,5605,seth,5007,5012,Meine,seth
qd,r1zm.0,5000,5605,seth,5013,5019,Selima,selima
qd,r1zm.0,5000,5605,seth,5065,5069,mich,seth
qd,r1zm.0,5000,5605,seth,5109,5112,ich,seth
qd,r1zm.0,5000,5605,seth,5148,5151,ich,seth
qd,r1zm.0,5000,5605,seth,5193,5196,mir,seth
qd,r1zm.0,5000,5605,seth,5302,5306,mich,seth
qd,r1zm.0,5000,5605,seth,5319,5323,mich,seth
qd,r1zm.0,5000,5605,seth,5366,5369,ich,seth
qd,r1zm.0,5000,5605,seth,5409,5412,ich,seth
qd,r1zm.0,5000,5605,seth,5479,5482,ich,seth
qd,r1zm.0,5000,5605,seth,5504,5510,Selima,selima
qd,r1zm.0,5000,5605,seth,5532,5535,Ich,seth
qd,r1zm.0,5657,5676,_stage,5657,5661,Adam,adam
qd,r1zm.0,5657,5676,_stage,5663,5667,Seth,seth
qd,r1zm.0,5657,5676,_stage,5669,5675,Selima,selima
qd,r1zm.0,5679,5996,adam,5686,5690,Seth,seth
qd,r1zm.0,5679,5996,adam,5695,5701,Selima,selima
qd,r1zm.0,5679,5996,adam,5800,5806,Selima,selima
qd,r1zm.0,5679,5996,adam,5911,5917,meinen,adam
qd,r1zm.0,6001,6033,selima,6010,6013,Ich,selima
qd,r1zm.0,6001,6033,selima,6020,6024,mein,selima
qd,r1zm.0,6083,6094,_stage,6083,6087,Adam,adam
qd,r1zm.0,6083,6094,_stage,6089,6093,Seth,seth
qd,r1zm.0,6097,6483,adam,6180,6184,Mein,adam
qd,r1zm.0,6097,6483,adam,6212,6215,Ich,adam
qd,r1zm.0,6097,6483,adam,6258,6261,Eva,eva
qd,r1zm.0,6097,6483,adam,6309,6313,Mein,adam
qd,r1zm.0,6097,6483,adam,6320,6324,Mein,adam
qd,r1zm.0,6097,6483,adam,6338,6341,Ich,adam
qd,r1zm.0,6097,6483,adam,6428,6432,mein,adam
qd,r1zm.0,6097,6483,adam,6439,6442,Ich,adam
