corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,r22j.0,195,379,_Stage,_Stage,Stube,NN,stube,4648,,
qd,r22j.0,195,379,_Stage,_Stage,eines,ART,ein,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Försterhauses,NN,försterhaus,4648,,
qd,r22j.0,195,379,_Stage,_Stage,.,$.,--,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Sepp,NE,sepp,4648,,(0)
qd,r22j.0,195,379,_Stage,_Stage,und,KON,und,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Lisei,NN,lisei,4648,,(1)
qd,r22j.0,195,379,_Stage,_Stage,sitzen,VVFIN,sitzen,4648,,
qd,r22j.0,195,379,_Stage,_Stage,an,APPR,an,4648,,
qd,r22j.0,195,379,_Stage,_Stage,einem,ART,ein,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Tisch,NN,tisch,4648,,
qd,r22j.0,195,379,_Stage,_Stage,.,$.,--,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Sepp,NE,sepp,4648,,(0)
qd,r22j.0,195,379,_Stage,_Stage,spielt,VVFIN,spielen,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Zither,NN,zither,4648,,
qd,r22j.0,195,379,_Stage,_Stage,und,KON,und,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Lisei,NN,lisei,4648,,(1)
qd,r22j.0,195,379,_Stage,_Stage,spinnt,VVFIN,spinnen,4648,,
qd,r22j.0,195,379,_Stage,_Stage,.,$.,--,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Das,ART,der,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Präludium,NN,präludium,4648,,
qd,r22j.0,195,379,_Stage,_Stage,der,ART,der,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Musik,NN,musik,4648,,
qd,r22j.0,195,379,_Stage,_Stage,schließt,VVFIN,schließen,4648,,
qd,r22j.0,195,379,_Stage,_Stage,sich,PRF,sich,4648,,
qd,r22j.0,195,379,_Stage,_Stage,an,APPR,an,4648,,
qd,r22j.0,195,379,_Stage,_Stage,das,ART,der,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Zitherspiel,NN,zitherspiel,4648,,
qd,r22j.0,195,379,_Stage,_Stage,und,KON,und,4648,,
qd,r22j.0,195,379,_Stage,_Stage,die,ART,der,4648,,
qd,r22j.0,195,379,_Stage,_Stage,Schnadahüpfln,NN,schnadahüpfl,4648,,
qd,r22j.0,195,379,_Stage,_Stage,an,PTKVZ,an,4648,,
qd,r22j.0,195,379,_Stage,_Stage,.,$.,--,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,Lisei,NE,lisei,4648,,(1)
qd,r22j.0,1610,1751,SEPP,sepp,lacht,VVFIN,lachen,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,.,$.,--,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,Beide,PIS,beide,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,hören,VVFIN,hören,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,den,ART,der,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,Knecht,NE,knecht,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,eintreten,VVFIN,eintreten,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,",","$,",--,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,der,PRELS,der,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,nach,APPR,nach,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,ihnen,PPER,ihnen,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,schauend,ADJD,schauend,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,stehnbleibt,VVFIN,stehnbleiben,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,.,$.,--,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,Sepp,NE,sepp,4648,,(0)
qd,r22j.0,1610,1751,SEPP,sepp,fängt,VVFIN,fangen,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,wieder,ADV,wieder,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,an,APPR,an,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,die,ART,der,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,Zither,NN,zither,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,zu,PTKZU,zu,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,spielen,VVINF,spielen,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,und,KON,und,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,zu,PTKZU,zu,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,singen,VVINF,singen,4648,,
qd,r22j.0,1610,1751,SEPP,sepp,.,$.,--,4648,,
qd,r22j.0,1988,2009,GIRGL,girgl,singt,VVFIN,singen,4648,,
qd,r22j.0,1988,2009,GIRGL,girgl,spottend,ADJD,spottend,4648,,
qd,r22j.0,1988,2009,GIRGL,girgl,drein,PTKVZ,drein,4648,,
qd,r22j.0,1988,2009,GIRGL,girgl,.,$.,--,4648,,
qd,r22j.0,2117,2129,GIRGL,girgl,Alle,PIS,aller,4648,,
qd,r22j.0,2117,2129,GIRGL,girgl,lachen,VVFIN,lachen,4648,,
qd,r22j.0,2117,2129,GIRGL,girgl,.,$.,--,4648,,
qd,r22j.0,4219,4224,LISEI,lisei,Arie,NN,arie,4648,,
qd,r22j.0,4219,4224,LISEI,lisei,.,$.,--,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,Man,PIS,man,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,hört,VVFIN,hören,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,draußen,ADV,draußen,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,Schellengeläut,NN,schellengeläut,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,eines,ART,ein,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,anfahrenden,ADJA,anfahrend,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,Schlittens,NN,schlitten,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,und,KON,und,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,den,ART,der,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,Wind,NN,wind,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,pfeifen,VVINF,pfeifen,4648,,
qd,r22j.0,6228,6310,LISEI,lisei,.,$.,--,4648,,
qd,r22j.0,6399,6431,_Stage,_Stage,Der,ART,der,4648,,
qd,r22j.0,6399,6431,_Stage,_Stage,Förster,NN,förster,4648,,
qd,r22j.0,6399,6431,_Stage,_Stage,mit,APPR,mit,4648,,
qd,r22j.0,6399,6431,_Stage,_Stage,Girgl,NE,girgl,4648,,(2)
qd,r22j.0,6399,6431,_Stage,_Stage,tritt,VVFIN,treten,4648,,
qd,r22j.0,6399,6431,_Stage,_Stage,auf,PTKVZ,auf,4648,,
qd,r22j.0,6399,6431,_Stage,_Stage,.,$.,--,4648,,
qd,r22j.0,6443,6468,FÖRSTER,förster,seinen,PPOSAT,sein,4648,,
qd,r22j.0,6443,6468,FÖRSTER,förster,Mantel,NN,mantel,4648,,
