corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,r2r7.0,485,30316,0,499,11380,0
qd,r2r7.0,485,30316,0,11393,12778,0
qd,r2r7.0,485,30316,0,12791,17277,0
qd,r2r7.0,485,30316,0,17291,18934,0
qd,r2r7.0,485,30316,0,18947,22730,0
qd,r2r7.0,485,30316,0,22743,24849,0
qd,r2r7.0,485,30316,0,24862,26017,0
qd,r2r7.0,485,30316,0,26030,30316,0
qd,r2r7.0,30331,64578,0,30345,34717,0
qd,r2r7.0,30331,64578,0,34730,35881,0
qd,r2r7.0,30331,64578,0,35894,36467,0
qd,r2r7.0,30331,64578,0,36480,36995,0
qd,r2r7.0,30331,64578,0,37008,37874,0
qd,r2r7.0,30331,64578,0,37887,53077,0
qd,r2r7.0,30331,64578,0,53090,53672,0
qd,r2r7.0,30331,64578,0,53685,59422,0
qd,r2r7.0,30331,64578,0,59435,59977,0
qd,r2r7.0,30331,64578,0,59990,60902,0
qd,r2r7.0,30331,64578,0,60915,61344,0
qd,r2r7.0,30331,64578,0,61357,64578,0
qd,r2r7.0,64593,100460,0,64607,72565,0
qd,r2r7.0,64593,100460,0,72578,73000,0
qd,r2r7.0,64593,100460,0,73013,78782,0
qd,r2r7.0,64593,100460,0,78796,80798,0
qd,r2r7.0,64593,100460,0,80811,81391,0
qd,r2r7.0,64593,100460,0,81404,82223,0
qd,r2r7.0,64593,100460,0,82236,84126,0
qd,r2r7.0,64593,100460,0,84139,85282,0
qd,r2r7.0,64593,100460,0,85295,89243,0
qd,r2r7.0,64593,100460,0,89257,89597,0
qd,r2r7.0,64593,100460,0,89610,91126,0
qd,r2r7.0,64593,100460,0,91140,92794,0
qd,r2r7.0,64593,100460,0,92807,100460,0
qd,r2r7.0,100475,124023,0,100489,102165,0
qd,r2r7.0,100475,124023,0,102178,106610,0
qd,r2r7.0,100475,124023,0,106623,109262,0
qd,r2r7.0,100475,124023,0,109276,116704,0
qd,r2r7.0,100475,124023,0,116717,117659,0
qd,r2r7.0,100475,124023,0,117672,120192,0
qd,r2r7.0,100475,124023,0,120206,120573,0
qd,r2r7.0,100475,124023,0,120586,123600,0
qd,r2r7.0,100475,124023,0,123613,124023,0
qd,r2r7.0,124038,158628,0,124052,128150,0
qd,r2r7.0,124038,158628,0,128163,130403,0
qd,r2r7.0,124038,158628,0,130416,133958,0
qd,r2r7.0,124038,158628,0,133971,145466,0
qd,r2r7.0,124038,158628,0,145479,147281,0
qd,r2r7.0,124038,158628,0,147295,150113,0
qd,r2r7.0,124038,158628,0,150126,154221,0
qd,r2r7.0,124038,158628,0,154234,158628,0
