corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rdgt.0,3926,4003,CYRUS,cyrus,Lauft,NE,lauft,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,doch,ADV,doch,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,ins,APPRART,in,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,Henkers,NN,henkers,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,Nam,NE,nam,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,nicht,PTKNEG,nicht,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,alle,PIDAT,alle,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,gar,ADV,gar,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,davon,PTKVZ,davon,13388,,
qd,rdgt.0,3926,4003,CYRUS,cyrus,.,$.,--,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,Nein,PTKANT,nein,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,Herr,NN,herr,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,",","$,",--,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,ich,PPER,ich,13388,sigelvax,(1)
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,lauffe,VVFIN,lauffen,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,nicht,PTKNEG,nicht,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,",","$,",--,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,dein,PPOSAT,dein,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,Feld-herz,NN,feld-herz,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,stehet,VVFIN,stehen,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,schon,ADV,schon,13388,,
qd,rdgt.0,4008,4372,SIGELVAX,sigelvax,.,$.,--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Hört,NE,hören,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,nur,ADV,nur,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,zu,APPR,zu,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,morden,NN,morden,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,auf,PTKVZ,auf,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,",","$,",--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,genug,ADV,genug,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,ist,VAFIN,sein,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Blut,NN,blut,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,vergossen,VVPP,vergießen,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,",","$,",--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Was,PWS,was,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,noch,ADV,noch,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,von,APPR,von,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Feinden,NN,feind,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,da,ADV,da,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,",","$,",--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,sind,VAFIN,sein,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,für,APPR,für,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,uns,PPER,uns,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Kinder-possen,NN,kinder-posse,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,.,$.,--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,So,ADV,so,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,hast,VAFIN,haben,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,du,PPER,du,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Kulican,NE,kulican,13388,kulican,(2)
qd,rdgt.0,4566,5293,KULICAN,kulican,",","$,",--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,auch,ADV,auch,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,dieses,PDAT,dieser,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Reich,NN,reich,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,bekriegt,VVFIN,bekriegen,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,",","$,",--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Nu,ITJ,nu,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,"!",$.,--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,Nu,ITJ,nu,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,"!",$.,--,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,so,ADV,so,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,gehts,ADV,gehts,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,schon,ADV,schon,13388,,
qd,rdgt.0,4566,5293,KULICAN,kulican,an,PTKVZ,an,13388,,
