corpus,drama,Entity.surface,Entity.id,Entity.group_members
qd,rdhd.0,zweiter_jude,11,
qd,rdhd.0,erster_soldat,2,
qd,rdhd.0,herodes,8,
qd,rdhd.0,vierter_jude,13,
qd,rdhd.0,jochanaan,7,
qd,rdhd.0,fünfter_jude,14,
qd,rdhd.0,dritter_jude,12,
qd,rdhd.0,narraboth,0,
qd,rdhd.0,zweiter_nazarener,16,
qd,rdhd.0,erster_nazarener,15,
qd,rdhd.0,sklave,6,
qd,rdhd.0,ein_cappadocier,4,
qd,rdhd.0,herodias,9,
qd,rdhd.0,page,1,
qd,rdhd.0,erster_jude,10,
qd,rdhd.0,zweiter_soldat,3,
qd,rdhd.0,salome,5,
