corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,rfbx.0,596,29082,0,610,4906,0
qd,rfbx.0,596,29082,0,4919,9310,0
qd,rfbx.0,596,29082,0,9324,15257,0
qd,rfbx.0,596,29082,0,15270,20356,0
qd,rfbx.0,596,29082,0,20370,23441,0
qd,rfbx.0,596,29082,0,23454,28153,0
qd,rfbx.0,596,29082,0,28167,29082,0
qd,rfbx.0,60740,100354,0,60754,61659,0
qd,rfbx.0,60740,100354,0,61672,62060,0
qd,rfbx.0,60740,100354,0,62073,63852,0
qd,rfbx.0,60740,100354,0,63865,68346,0
qd,rfbx.0,60740,100354,0,68360,78096,0
qd,rfbx.0,60740,100354,0,78109,80358,0
qd,rfbx.0,60740,100354,0,80371,83404,0
qd,rfbx.0,60740,100354,0,83417,84306,0
qd,rfbx.0,60740,100354,0,84319,86051,0
qd,rfbx.0,60740,100354,0,86064,86353,0
qd,rfbx.0,60740,100354,0,86366,87255,0
qd,rfbx.0,60740,100354,0,87268,88293,0
qd,rfbx.0,60740,100354,0,88307,94153,0
qd,rfbx.0,60740,100354,0,94167,94638,0
qd,rfbx.0,60740,100354,0,94652,98081,0
qd,rfbx.0,60740,100354,0,98095,100354,0
qd,rfbx.0,113386,129715,0,113400,115723,0
qd,rfbx.0,113386,129715,0,115736,121037,0
qd,rfbx.0,113386,129715,0,121051,121607,0
qd,rfbx.0,113386,129715,0,121621,129715,0
