corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rfcn.0,54325,54677,_Stage,_Stage,Das,ART,der,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Theater,NN,theater,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,bleibt,VVFIN,bleiben,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,eine,ART,ein,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Weile,NN,weile,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,leer,ADJD,leer,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,",","$,",--,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,und,KON,und,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,man,PIS,man,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,hört,VVFIN,hören,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,vom,APPRART,von,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Schloßhofe,NN,schloßhofe,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,herauf,PTKVZ,herauf,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,lang,APPO,lang,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,gezogene,ADJA,gezogen,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Jagdhörnersignale,NN,jagdhörnersignal,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,.,$.,--,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Nachdem,KOUS,nachdem,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,diese,PDAT,dieser,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,in,APPR,in,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,kurzen,ADJA,kurz,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Pausen,NN,pause,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,zweimal,ADV,zweimal,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,wiederholt,VVPP,wiederholen,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,worden,VAPP,werden,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,sind,VAFIN,sein,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,",","$,",--,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,erscheint,VVFIN,erscheinen,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,von,APPR,von,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,links1,CARD,links1,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,hinter,APPR,hinter,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,den,ART,der,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Pfeilern,NN,pfeiler,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,denn,KON,denn,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,links,ADV,links,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,und,KON,und,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,rechts,ADV,rechts,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,hinter,APPR,hinter,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,den,ART,der,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Pfeilern,NN,pfeiler,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,werden,VAFIN,werden,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,offene,ADJA,offen,28765,,
qd,rfcn.0,54325,54677,_Stage,_Stage,Gänge,NN,gang,28765,,
