corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rfcv.0,91058,91239,SYLVA,sylva,Diese,PDAT,dieser,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,Quälerei,NN,quälerei,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,ist,VAFIN,sein,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,unerträglich,ADJD,unerträglich,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,"!",$.,--,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,Ich,PPER,ich,35739,sylva,(0)
qd,rfcv.0,91058,91239,SYLVA,sylva,will,VMFIN,wollen,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,nicht,PTKNEG,nicht,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,lieben,ADJA,lieben,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,",","$,",--,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,und,KON,und,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,ich,PPER,ich,35739,sylva,(0)
qd,rfcv.0,91058,91239,SYLVA,sylva,kann,VMFIN,können,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,nicht,PTKNEG,nicht,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,lieben,ADJA,lieben,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,",","$,",--,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,wenn,KOUS,wenn,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,zum,APPRART,zu,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,Lieben,NN,lieben,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,dies,PDS,dieser,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,immerwährende,ADJA,immerwährend,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,Tun,NN,tun,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,und,KON,und,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,Hätscheln,NN,hätschel,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,gehört,VVFIN,gehören,35739,,
qd,rfcv.0,91058,91239,SYLVA,sylva,"!",$.,--,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Tausend,ADJD,tausend,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Dank,NN,dank,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,",","$,",--,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,daß,KOUS,daß,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,du,PPER,du,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,meiner,PPOSAT,mein,35739,malström,(1)
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Bitte,NN,bitte,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,nachgegeben,VVPP,nachgeben,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,und,KON,und,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,die,ART,der,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Gesellschaft,NN,gesellschaft,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,verlassen,VVINF,verlassen,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,hast,VAFIN,haben,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,–,PPER,–,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,O,NE,O,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Sylva,NE,sylva,35739,sylva,(0)
qd,rfcv.0,91244,91600,MALSTRÖM,malström,"!",$.,--,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,was,PWS,was,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,stören,VVFIN,stören,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,die,ART,der,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Menschen,NN,mensch,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,",","$,",--,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,wenn,KOUS,wenn,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,das,ART,der,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Herz,NN,herz,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,nur,ADV,nur,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,nach,APPR,nach,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,einem,ART,ein,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Herzen,NN,herz,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,hangt,VVFIN,hangen,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,und,KON,und,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,verlangt,VVFIN,verlangen,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,"!",$.,--,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Was,PWS,was,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,ist,VAFIN,sein,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,alles,PIS,alle,35739,,
qd,rfcv.0,91244,91600,MALSTRÖM,malström,Sprechen,NN,sprechen,35739,,
