corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rfd2.0,78214,78275,_Stage,_Stage,Gräfin,NE,gräfin,39396,,
qd,rfd2.0,78214,78275,_Stage,_Stage,Franziska,NE,franziska,39396,,
qd,rfd2.0,78214,78275,_Stage,_Stage,von,APPR,von,39396,,
qd,rfd2.0,78214,78275,_Stage,_Stage,Hohenheim,NE,hohenheim,39396,,
qd,rfd2.0,78214,78275,_Stage,_Stage,",","$,",--,39396,,
qd,rfd2.0,78214,78275,_Stage,_Stage,bald,ADV,bald,39396,,
qd,rfd2.0,78214,78275,_Stage,_Stage,darauf,PROAV,darauf,39396,,
qd,rfd2.0,78214,78275,_Stage,_Stage,Generalin,NE,generalin,39396,,(1)
qd,rfd2.0,78214,78275,_Stage,_Stage,Rieger,NE,rieger,39396,,(4)
qd,rfd2.0,78214,78275,_Stage,_Stage,.,$.,--,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,kommt,VVFIN,kommen,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,links,ADV,links,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,aus,APPR,aus,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,der,ART,der,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,offenen,ADJA,offen,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Ecktür,NN,ecktür,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,und,KON,und,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,sieht,VVFIN,sehen,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,einen,ART,ein,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Augenblick,NN,augenblick,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,nach,APPR,nach,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,rückwärts,ADV,rückwärts,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,",","$,",--,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,ob,KOUS,ob,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,niemand,PIS,niemand,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,komme,VVFIN,kommen,39396,,
qd,rfd2.0,78310,78405,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,.,$.,--,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,rechts,ADV,rechts,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,aus,APPR,aus,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,der,ART,der,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,Seitentür,NN,seitentür,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,den,ART,der,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,Kopf,NN,kopf,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,steckend,ADJD,steckend,39396,,
qd,rfd2.0,79724,79767,GENERALEN,generalin,.,$.,--,39396,,
qd,rfd2.0,81135,81143,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,lachend,ADJD,lachend,39396,,
qd,rfd2.0,81135,81143,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,.,$.,--,39396,,
qd,rfd2.0,81732,81745,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,erschreckend,ADJD,erschreckend,39396,,
qd,rfd2.0,81732,81745,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,.,$.,--,39396,,
qd,rfd2.0,82291,82308,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,sehr,ADV,sehr,39396,,
qd,rfd2.0,82291,82308,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,erschrocken,VVFIN,erschrocken,39396,,
qd,rfd2.0,82291,82308,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,.,$.,--,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,das,ART,der,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Blatt,NN,blatt,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,hastig,ADJD,hastig,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,herausziehend,ADJD,herausziehend,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,und,KON,und,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,seitwärts,ADV,seitwärts,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,ängstlich,ADJD,ängstlich,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,überfliegend,ADJD,überfliegend,39396,,
qd,rfd2.0,82366,82434,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,.,$.,--,39396,,
qd,rfd2.0,83060,83101,GENERALEN,generalin,hat,VAFIN,haben,39396,,
qd,rfd2.0,83060,83101,GENERALEN,generalin,gleichzeitig,ADJD,gleichzeitig,39396,,
qd,rfd2.0,83060,83101,GENERALEN,generalin,das,PDS,der,39396,,
qd,rfd2.0,83060,83101,GENERALEN,generalin,der,ART,der,39396,,
qd,rfd2.0,83060,83101,GENERALEN,generalin,Gräfin,NN,gräfin,39396,,
qd,rfd2.0,83060,83101,GENERALEN,generalin,genommen,VVPP,nehmen,39396,,
qd,rfd2.0,83060,83101,GENERALEN,generalin,.,$.,--,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,ist,VAFIN,sein,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,an,APPR,an,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,das,ART,der,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Sofa,NN,sofa,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,getreten,VVPP,treten,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,",","$,",--,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,wie,PWAV,wie,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,mit,APPR,mit,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,sich,PRF,sich,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,kämpfend,ADJD,kämpfend,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,",","$,",--,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,und,KON,und,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,hat,VAFIN,haben,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,das,ART,der,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Blatt,NN,blatt,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,aufs,APPRART,auf,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Sofa,NN,sofa,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,geworfen,VVPP,werfen,39396,,
qd,rfd2.0,83635,83721,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,.,$.,--,39396,,
qd,rfd2.0,86753,86778,GENERALEN,generalin,Geht,VVFIN,gehen,39396,,
qd,rfd2.0,86753,86778,GENERALEN,generalin,nach,APPR,nach,39396,,
qd,rfd2.0,86753,86778,GENERALEN,generalin,rechts,ADV,rechts,39396,,
qd,rfd2.0,86753,86778,GENERALEN,generalin,–,CARD,–,39396,,
qd,rfd2.0,86753,86778,GENERALEN,generalin,Pause,NN,pause,39396,,
qd,rfd2.0,86753,86778,GENERALEN,generalin,.,$.,--,39396,,
qd,rfd2.0,87322,87341,_Stage,_Stage,Laura,NE,laura,39396,,(2)
qd,rfd2.0,87322,87341,_Stage,_Stage,.,$.,--,39396,,
qd,rfd2.0,87322,87341,_Stage,_Stage,Die,ART,der,39396,,
qd,rfd2.0,87322,87341,_Stage,_Stage,Vorigen,NN,vorige,39396,,
qd,rfd2.0,87322,87341,_Stage,_Stage,.,$.,--,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,kommt,VVFIN,kommen,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,aus,APPR,aus,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,der,ART,der,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,Ecktür,NN,ecktür,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,links,ADV,links,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,",","$,",--,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,das,PRELS,der,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,»,XY,»,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,Magazin,NN,magazin,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,«,CARD,«,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,lesend,ADJD,lesend,39396,,
qd,rfd2.0,87351,87400,LAURA,laura,.,$.,--,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,Dabei,PROAV,dabei,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,ist,VAFIN,sein,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,sie,PPER,sie,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,bis,APPR,bis,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,in,APPR,in,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,die,ART,der,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,Mitte,NN,mitte,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,zwischen,APPR,zwischen,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,beide,PIS,beide,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,gekommen,VVPP,kommen,39396,,
qd,rfd2.0,87499,87554,LAURA,laura,.,$.,--,39396,,
qd,rfd2.0,87655,87670,LAURA,laura,stehenbleibend,ADJD,stehenbleibend,39396,,
qd,rfd2.0,87655,87670,LAURA,laura,.,$.,--,39396,,
qd,rfd2.0,87750,87765,LAURA,laura,stehenbleibend,ADJD,stehenbleibend,39396,,
qd,rfd2.0,87750,87765,LAURA,laura,.,$.,--,39396,,
qd,rfd2.0,89596,89623,LAURA,laura,gravitätisch,ADJD,gravitätisch,39396,,
qd,rfd2.0,89596,89623,LAURA,laura,zurücktretend,ADJD,zurücktretend,39396,,
qd,rfd2.0,89596,89623,LAURA,laura,.,$.,--,39396,,
qd,rfd2.0,90123,90148,LAURA,laura,ihr,PPOSAT,ihr,39396,,
qd,rfd2.0,90123,90148,LAURA,laura,das,ART,der,39396,,
qd,rfd2.0,90123,90148,LAURA,laura,Blatt,NN,blatt,39396,,
qd,rfd2.0,90123,90148,LAURA,laura,hinhaltend,ADJD,hinhaltend,39396,,
qd,rfd2.0,90123,90148,LAURA,laura,.,$.,--,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,welche,PWAT,welcher,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,das,ART,der,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Blatt,NN,blatt,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,vom,APPRART,von,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,Sofa,NN,sofa,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,genommen,VVPP,nehmen,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,und,KON,und,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,angesehen,VVPP,ansehen,39396,,
qd,rfd2.0,90177,90226,GRÄFIN FRANZISKA VON HOHENHEIM,gräfin,.,$.,--,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,Man,PIS,man,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,sieht,VVFIN,sehen,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,",","$,",--,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,das,PRELS,der,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,hinten,ADV,hinten,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,durch,APPR,durch,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,Diener,NN,diener,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,erleuchtet,VVFIN,erleuchten,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,die,ART,der,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,Glastür,NN,glastür,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,geöffnet,VVPP,öffnen,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,wird,VAFIN,werden,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,und,KON,und,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,daß,KOUS,daß,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,der,ART,der,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,Hauptmann,NE,hauptmann,39396,,(3)
qd,rfd2.0,90295,90516,LAURA,laura,Silberkalb,NE,silberkalb,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,erschienen,VVPP,erscheinen,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,ist,VAFIN,sein,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,;,$.,--,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,ein,ART,ein,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,Diener,NN,diener,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,bringt,VVFIN,bringen,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,zwei,CARD,zwei,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,brennende,ADJA,brennend,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,Armleuchter,NN,armleuchter,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,",","$,",--,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,setzt,VVFIN,setzen,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,sie,PPER,sie,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,auf,APPR,auf,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,den,ART,der,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,Tisch,NN,tisch,39396,,
qd,rfd2.0,90295,90516,LAURA,laura,und,KON,und,39396,,
