corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,rfm5.0,1224,1285,_stage,1224,1234,Innocentia,innocentia
qd,rfm5.0,1553,1675,innocentia,1583,1586,ich,innocentia
qd,rfm5.0,1553,1675,innocentia,1598,1601,ich,innocentia
qd,rfm5.0,1553,1675,innocentia,1646,1655,Apotheker,apotheker
qd,rfm5.0,1680,1749,wabn,1691,1700,Apotheker,apotheker
qd,rfm5.0,1754,1998,innocentia,1979,1982,ich,innocentia
qd,rfm5.0,2003,2054,wabn,2026,2035,Apotheker,apotheker
qd,rfm5.0,2220,2231,wabn,2227,2230,Ich,wabn
qd,rfm5.0,2290,2301,wabn,2297,2300,Ich,wabn
qd,rfm5.0,2366,2382,wabn,2373,2376,Ich,wabn
qd,rfm5.0,2434,2601,wabn,2510,2513,Ich,wabn
qd,rfm5.0,2434,2601,wabn,2526,2529,ich,wabn
qd,rfm5.0,2434,2601,wabn,2577,2586,Apotheker,apotheker
qd,rfm5.0,2606,2716,innocentia,2647,2651,Mein,innocentia
qd,rfm5.0,2606,2716,innocentia,2653,2662,Apotheker,apotheker
qd,rfm5.0,2721,3402,wabn,2774,2778,mich,wabn
qd,rfm5.0,2721,3402,wabn,2819,2823,mich,wabn
qd,rfm5.0,2721,3402,wabn,2835,2839,mich,wabn
qd,rfm5.0,2721,3402,wabn,2910,2913,ich,wabn
qd,rfm5.0,2721,3402,wabn,3024,3033,Apotheker,apotheker
qd,rfm5.0,2721,3402,wabn,3068,3071,Ich,wabn
qd,rfm5.0,3549,4150,wabn,3635,3646,Braumeister,braumeister
qd,rfm5.0,3549,4150,wabn,3685,3695,Kommandant,kommandant
qd,rfm5.0,3549,4150,wabn,3755,3764,Apotheker,apotheker
qd,rfm5.0,4507,4588,wabn,4578,4587,Apotheker,apotheker
qd,rfm5.0,4640,4707,wabn,4689,4692,Ich,wabn
qd,rfm5.0,4969,5037,apotheker,4981,4984,Ich,apotheker
qd,rfm5.0,4969,5037,apotheker,5027,5030,ich,apotheker
qd,rfm5.0,5042,5364,innocentia,5063,5066,mir,innocentia
qd,rfm5.0,5042,5364,innocentia,5094,5097,ich,innocentia
qd,rfm5.0,5042,5364,innocentia,5187,5190,mir,innocentia
qd,rfm5.0,5042,5364,innocentia,5280,5283,ich,innocentia
qd,rfm5.0,5042,5364,innocentia,5284,5288,mich,innocentia
qd,rfm5.0,5042,5364,innocentia,5323,5326,ich,innocentia
qd,rfm5.0,5524,5617,innocentia,5546,5549,ich,innocentia
qd,rfm5.0,5524,5617,innocentia,5550,5554,mich,innocentia
qd,rfm5.0,5524,5617,innocentia,5582,5586,Wabn,wabn
qd,rfm5.0,5654,5772,innocentia,5686,5689,ich,innocentia
qd,rfm5.0,5654,5772,innocentia,5690,5696,meinen,innocentia
qd,rfm5.0,5818,5897,innocentia,5861,5865,mich,innocentia
qd,rfm5.0,5902,5930,apotheker,5914,5917,Ich,apotheker
qd,rfm5.0,5935,6275,innocentia,5971,5974,mir,innocentia
qd,rfm5.0,5935,6275,innocentia,6073,6081,Zirngibl,zirngibl
qd,rfm5.0,5935,6275,innocentia,6101,6111,Kommandant,kommandant
qd,rfm5.0,5935,6275,innocentia,6237,6240,ich,innocentia
qd,rfm5.0,6362,6504,innocentia,6417,6425,Zirngibl,zirngibl
qd,rfm5.0,6706,7169,apotheker,6731,6734,ich,apotheker
qd,rfm5.0,6706,7169,apotheker,6751,6755,mein,apotheker
qd,rfm5.0,6706,7169,apotheker,6769,6772,ich,apotheker
qd,rfm5.0,6706,7169,apotheker,6804,6807,ich,apotheker
qd,rfm5.0,6706,7169,apotheker,6857,6865,Zirngibl,zirngibl
qd,rfm5.0,6706,7169,apotheker,6871,6882,Braumeister,braumeister
qd,rfm5.0,6706,7169,apotheker,6900,6903,ich,apotheker
qd,rfm5.0,6706,7169,apotheker,7047,7050,ich,apotheker
qd,rfm5.0,6706,7169,apotheker,7051,7055,mich,apotheker
qd,rfm5.0,7174,7253,innocentia,7195,7198,ich,innocentia
