corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rfmj.0,650,785,_Stage,_Stage,Einer,PIS,einer,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,sitzt,VVFIN,sitzen,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,auf,APPR,auf,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,seinem,PPOSAT,sein,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,Bette,NN,bette,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,Ein,ART,ein,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,häßliches,ADJA,häßlich,7993,,(7
qd,rfmj.0,650,785,_Stage,_Stage,Mädchen,NN,mädchen,7993,,7)
qd,rfmj.0,650,785,_Stage,_Stage,–,XY,–,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,in,APPR,in,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,ganz,ADV,ganz,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,zerlumpter,ADJA,zerlumpt,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,Gewandung,NN,gewandung,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,–,XY,–,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,tritt,VVFIN,treten,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,ein,ART,ein,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,und,KON,und,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,bleibt,VVFIN,bleiben,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,ganz,ADV,ganz,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,nahe,ADJD,nahe,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,an,APPR,an,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,der,ART,der,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,Türe,NN,türe,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,stehen,VVFIN,stehen,7993,,
qd,rfmj.0,650,785,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,Während,KOUS,während,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,der,ART,der,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,kommenden,ADJA,kommend,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,Strophen,NN,strophe,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,entkleidet,VVFIN,entkleiden,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,sie,PPER,sie,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,sich,PRF,sich,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,langsam,ADJD,langsam,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,–,XY,–,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,wie,KOKOM,wie,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,auf,APPR,auf,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,Befehl,NN,befehl,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,seiner,PPOSAT,sein,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,Augen,NN,auge,7993,,
qd,rfmj.0,1675,1764,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,Sie,PPER,sie,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,liegt,VVFIN,liegen,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,auf,APPR,auf,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,dem,ART,der,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,Bette,NN,bette,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,und,KON,und,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,erbebt,VVFIN,erbeben,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,sich,PRF,sich,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,schwer,ADJD,schwer,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,während,APPR,während,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,des,ART,der,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,Folgenden,NN,folgend,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,Er,PPER,er,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,steht,VVFIN,stehen,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,fern,ADJD,fern,7993,,
qd,rfmj.0,2638,2722,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Die,ART,der,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Szene,NN,szene,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,stellt,VVFIN,stellen,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,ein,ART,ein,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Spielwarengeschäft,NN,spielwarengeschäft,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,dar,PTKVZ,dar,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Eingang,NN,eingang,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,von,APPR,von,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,der,ART,der,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Straße,NN,straße,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,große,ADJA,groß,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Glastüre,NN,glastüre,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,mit,APPR,mit,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Glocke,NN,glocke,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,im,APPRART,in,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Hintergrunde,NN,hintergrunde,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,links,ADV,links,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,vom,APPRART,von,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Zuschauer,NN,zuschauer,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Auf,APPR,auf,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,der,ART,der,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Szene,NN,szene,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,große,ADJA,groß,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Stellagen,NN,stellage,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,mit,APPR,mit,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Nürnberger,ADJA,nürnberger,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Spielwaren,NN,spielware,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Rechts,ADV,rechts,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,führt,VVFIN,führen,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,eine,ART,ein,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Tür,NN,tür,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,auf,APPR,auf,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,den,ART,der,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Hausflur,NN,hausflur,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Dicht,ADJD,dicht,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,neben,APPR,neben,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,dieser,PDAT,dieser,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Tür,NN,tür,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,ein,ART,ein,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Sprachrohr,NN,sprachrohr,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,",","$,",--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,das,PRELS,der,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,in,APPR,in,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,die,ART,der,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Wohnung,NN,wohnung,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,der,ART,der,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Familie,NN,familie,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Kreiner,NE,kreiner,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,hinaufsprechen,VVINF,hinaufsprechen,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,läßt,VVFIN,lassen,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Ein,ART,ein,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,kleiner,ADJA,klein,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Schreibtisch,NN,schreibtisch,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,",","$,",--,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,zwei,CARD,zwei,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,Stühle,NN,stuhl,7993,,
qd,rfmj.0,3361,3726,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3729,3764,_Stage,_Stage,Gaslampen,NN,gaslampe,7993,,
qd,rfmj.0,3729,3764,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3729,3764,_Stage,_Stage,Vorfrühling,NN,vorfrühling,7993,,
qd,rfmj.0,3729,3764,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3729,3764,_Stage,_Stage,Nachmittag,NN,nachmittag,7993,,
qd,rfmj.0,3729,3764,_Stage,_Stage,.,$.,--,7993,,
qd,rfmj.0,3783,3799,HELENE,helene,am,APPRART,an,7993,,
qd,rfmj.0,3783,3799,HELENE,helene,Schreibtisch,NN,schreibtisch,7993,,
qd,rfmj.0,3783,3799,HELENE,helene,.,$.,--,7993,,
qd,rfmj.0,3933,3965,JOSEPH KREINER,joseph,zur,APPRART,zu,7993,,
qd,rfmj.0,3933,3965,JOSEPH KREINER,joseph,Zeit,NN,zeit,7993,,
qd,rfmj.0,3933,3965,JOSEPH KREINER,joseph,Einjährig-Freiwilliger,NN,einjährig-freiwilliger,7993,,
qd,rfmj.0,3933,3965,JOSEPH KREINER,joseph,.,$.,--,7993,,
qd,rfmj.0,4109,4130,HELENE,helene,trotzdem,PROAV,trotzdem,7993,,
qd,rfmj.0,4109,4130,HELENE,helene,sie,PPER,sie,7993,,
qd,rfmj.0,4109,4130,HELENE,helene,es,PPER,es,7993,,
qd,rfmj.0,4109,4130,HELENE,helene,weiß,VVFIN,weiß,7993,,
qd,rfmj.0,4109,4130,HELENE,helene,.,$.,--,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,macht,VVFIN,machen,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,sich,PRF,sich,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,an,APPR,an,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,irgendeiner,PIAT,irgendein,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,Stellage,NN,stellage,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,kleine,ADJA,klein,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,Arbeit,NN,arbeit,7993,,
qd,rfmj.0,4370,4419,HELENE,helene,.,$.,--,7993,,
qd,rfmj.0,5417,5426,HELENE,helene,schweigt,VVFIN,schweigen,7993,,
qd,rfmj.0,5417,5426,HELENE,helene,.,$.,--,7993,,
qd,rfmj.0,5633,5646,JOSEPH KREINER,joseph,tut,VVFIN,tun,7993,,
qd,rfmj.0,5633,5646,JOSEPH KREINER,joseph,sich,PRF,sich,7993,,
qd,rfmj.0,5633,5646,JOSEPH KREINER,joseph,was,PIS,was,7993,,
qd,rfmj.0,5633,5646,JOSEPH KREINER,joseph,.,$.,--,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,verbirgt,VVFIN,verbergen,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,geschickt,ADJD,geschickt,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,",","$,",--,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,daß,KOUS,daß,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,sie,PPER,sie,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,es,PPER,es,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,weiß,VVFIN,weiß,7993,,
qd,rfmj.0,5771,5807,HELENE,helene,.,$.,--,7993,,
qd,rfmj.0,7275,7291,JOSEPH KREINER,joseph,eingeschüchtert,VVPP,eingesüchtern,7993,,
qd,rfmj.0,7275,7291,JOSEPH KREINER,joseph,.,$.,--,7993,,
qd,rfmj.0,8463,8638,HELENE,helene,steht,VVFIN,stehen,7993,,
