corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,rhjs.0,683,26918,0,697,3978,0
qd,rhjs.0,683,26918,0,3992,9136,0
qd,rhjs.0,683,26918,0,9150,13408,0
qd,rhjs.0,683,26918,0,13421,18688,0
qd,rhjs.0,683,26918,0,18701,26310,0
qd,rhjs.0,683,26918,0,26323,26918,0
qd,rhjs.0,26934,41440,0,26948,29653,0
qd,rhjs.0,26934,41440,0,29667,34301,0
qd,rhjs.0,26934,41440,0,34314,35947,0
qd,rhjs.0,26934,41440,0,35961,38811,0
qd,rhjs.0,26934,41440,0,38824,41440,0
qd,rhjs.0,41455,60545,0,41469,44548,0
qd,rhjs.0,41455,60545,0,44561,60545,0
qd,rhjs.0,60560,68321,0,60574,61263,0
qd,rhjs.0,60560,68321,0,61276,64196,0
qd,rhjs.0,60560,68321,0,64211,65731,0
qd,rhjs.0,60560,68321,0,65745,68321,0
qd,rhjs.0,68337,79932,0,68351,71746,0
qd,rhjs.0,68337,79932,0,71760,77782,0
qd,rhjs.0,68337,79932,0,77795,79932,0
