corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,rhtz.0,559,23914,0,573,2715,0
qd,rhtz.0,559,23914,0,2729,3637,0
qd,rhtz.0,559,23914,0,3650,11194,0
qd,rhtz.0,559,23914,0,11208,17859,0
qd,rhtz.0,559,23914,0,17873,20322,0
qd,rhtz.0,559,23914,0,20335,23914,0
qd,rhtz.0,23930,42727,0,23944,25197,0
qd,rhtz.0,23930,42727,0,25210,37831,0
qd,rhtz.0,23930,42727,0,37845,42727,0
qd,rhtz.0,42743,73256,0,42757,45339,0
qd,rhtz.0,42743,73256,0,45353,47539,0
qd,rhtz.0,42743,73256,0,47553,54325,0
qd,rhtz.0,42743,73256,0,54339,56124,0
qd,rhtz.0,42743,73256,0,56139,57338,0
qd,rhtz.0,42743,73256,0,57352,60266,0
qd,rhtz.0,42743,73256,0,60280,61649,0
qd,rhtz.0,42743,73256,0,61663,65603,0
qd,rhtz.0,42743,73256,0,65618,66893,0
qd,rhtz.0,42743,73256,0,66908,73256,0
qd,rhtz.0,73272,87706,0,73286,74981,0
qd,rhtz.0,73272,87706,0,74994,77493,0
qd,rhtz.0,73272,87706,0,77506,80204,0
qd,rhtz.0,73272,87706,0,80218,80521,0
qd,rhtz.0,73272,87706,0,80534,80729,0
qd,rhtz.0,73272,87706,0,80743,81088,0
qd,rhtz.0,73272,87706,0,81103,81617,0
qd,rhtz.0,73272,87706,0,81630,81979,0
qd,rhtz.0,73272,87706,0,81992,86626,0
qd,rhtz.0,73272,87706,0,86639,87170,0
qd,rhtz.0,73272,87706,0,87183,87706,0
qd,rhtz.0,87722,101124,0,87736,88271,0
qd,rhtz.0,87722,101124,0,88285,88908,0
qd,rhtz.0,87722,101124,0,88921,93526,0
qd,rhtz.0,87722,101124,0,93540,95402,0
qd,rhtz.0,87722,101124,0,95415,98376,0
qd,rhtz.0,87722,101124,0,98389,101124,0
