corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rhtz.0,602,611,_Stage,_Stage,In,APPR,in,19123,,
qd,rhtz.0,602,611,_Stage,_Stage,Lille,NE,lille,19123,,
qd,rhtz.0,602,611,_Stage,_Stage,.,$.,--,19123,,
qd,rhtz.0,614,633,_Stage,_Stage,Mariane,NE,mariane,19123,,(0)
qd,rhtz.0,614,633,_Stage,_Stage,.,$.,--,19123,,
qd,rhtz.0,614,633,_Stage,_Stage,Charlotte,NE,charlotte,19123,,(1)
qd,rhtz.0,614,633,_Stage,_Stage,.,$.,--,19123,,
qd,rhtz.0,645,693,MARIANENS STIMME,marianens_stimme,mit,APPR,mit,19123,,
qd,rhtz.0,645,693,MARIANENS STIMME,marianens_stimme,untergestütztem,ADJA,untergestützt,19123,,
qd,rhtz.0,645,693,MARIANENS STIMME,marianens_stimme,Kopf,NN,kopf,19123,,
qd,rhtz.0,645,693,MARIANENS STIMME,marianens_stimme,einen,ART,ein,19123,,
qd,rhtz.0,645,693,MARIANENS STIMME,marianens_stimme,Brief,NN,brief,19123,,
qd,rhtz.0,645,693,MARIANENS STIMME,marianens_stimme,schreibend,ADJD,schreibend,19123,,
qd,rhtz.0,645,693,MARIANENS STIMME,marianens_stimme,.,$.,--,19123,,
qd,rhtz.0,789,806,LOTTE,charlotte,sitzt,VVFIN,sitzen,19123,,
qd,rhtz.0,789,806,LOTTE,charlotte,und,KON,und,19123,,
qd,rhtz.0,789,806,LOTTE,charlotte,spinnt,VVFIN,spinnen,19123,,
qd,rhtz.0,789,806,LOTTE,charlotte,.,$.,--,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,Macht,NN,macht,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,alles,PIS,alle,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,geschwind,ADJD,geschwind,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,wieder,ADV,wieder,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,zu,PTKVZ,zu,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,und,KON,und,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,will,VMFIN,wollen,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,den,ART,der,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,Brief,NN,brief,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,versiegeln,VVINF,versiegeln,19123,,
qd,rhtz.0,1623,1685,MARIANENS STIMME,marianens_stimme,.,$.,--,19123,,
qd,rhtz.0,2759,2774,_Stage,_Stage,In,APPR,in,19123,,
qd,rhtz.0,2759,2774,_Stage,_Stage,Armentières,NE,armentière,19123,,
qd,rhtz.0,2759,2774,_Stage,_Stage,.,$.,--,19123,,
qd,rhtz.0,2777,2803,_Stage,_Stage,Stolzius,NE,stolzius,19123,,(2)
qd,rhtz.0,2777,2803,_Stage,_Stage,und,KON,und,19123,,
qd,rhtz.0,2777,2803,_Stage,_Stage,seine,PPOSAT,sein,19123,,
qd,rhtz.0,2777,2803,_Stage,_Stage,Mutter,NN,mutter,19123,,(3)
qd,rhtz.0,2777,2803,_Stage,_Stage,.,$.,--,19123,,
qd,rhtz.0,2816,2837,STOLZIUS,stolzius,mit,APPR,mit,19123,,
qd,rhtz.0,2816,2837,STOLZIUS,stolzius,verbundenem,ADJA,verbunden,19123,,
qd,rhtz.0,2816,2837,STOLZIUS,stolzius,Kopf,NN,kopf,19123,,
qd,rhtz.0,2816,2837,STOLZIUS,stolzius,.,$.,--,19123,,
qd,rhtz.0,2879,2913,MUTTER,mutter,steht,VVFIN,stehen,19123,,
qd,rhtz.0,2879,2913,MUTTER,mutter,eine,ART,ein,19123,,
qd,rhtz.0,2879,2913,MUTTER,mutter,Weile,NN,weile,19123,,
qd,rhtz.0,2879,2913,MUTTER,mutter,und,KON,und,19123,,
