corpus,drama,utteranceBegin,utteranceEnd,utteranceSpeakerId,mentionBegin,mentionEnd,mentionSurface,entityId
qd,rj22.0,537,623,_stage,537,556,Herr von Biederling,herr_von_biederling
qd,rj22.0,537,623,_stage,587,606,Frau von Biederling,frau_von_biederling
qd,rj22.0,626,889,herr_von_biederling,665,668,ich,herr_von_biederling
qd,rj22.0,626,889,herr_von_biederling,804,807,ich,herr_von_biederling
qd,rj22.0,626,889,herr_von_biederling,821,824,mir,herr_von_biederling
qd,rj22.0,626,889,herr_von_biederling,841,846,meine,herr_von_biederling
qd,rj22.0,894,938,frau_von_biederling,916,919,Ich,frau_von_biederling
qd,rj22.0,943,1350,herr_von_biederling,1024,1029,Prinz,prinz_tandi
qd,rj22.0,1467,1642,prinz_tandi,1486,1491,meine,prinz_tandi
qd,rj22.0,1467,1642,prinz_tandi,1513,1516,ich,prinz_tandi
qd,rj22.0,1467,1642,prinz_tandi,1555,1558,mir,prinz_tandi
qd,rj22.0,1467,1642,prinz_tandi,1615,1618,mir,prinz_tandi
qd,rj22.0,1647,2140,herr_von_biederling,1766,1769,ich,herr_von_biederling
qd,rj22.0,1647,2140,herr_von_biederling,1900,1903,mir,herr_von_biederling
qd,rj22.0,1647,2140,herr_von_biederling,1940,1945,Prinz,prinz_tandi
qd,rj22.0,1647,2140,herr_von_biederling,2124,2127,ich,herr_von_biederling
qd,rj22.0,2145,2264,prinz_tandi,2211,2215,mich,prinz_tandi
qd,rj22.0,2269,2504,herr_von_biederling,2311,2324,Magister Beza,beza
qd,rj22.0,2269,2504,herr_von_biederling,2311,2319,Magister,beza
qd,rj22.0,2269,2504,herr_von_biederling,2320,2324,Beza,beza
qd,rj22.0,2269,2504,herr_von_biederling,2365,2368,mir,herr_von_biederling
qd,rj22.0,2509,2591,prinz_tandi,2517,2520,Ich,prinz_tandi
qd,rj22.0,2509,2591,prinz_tandi,2571,2575,mich,prinz_tandi
qd,rj22.0,2596,2688,herr_von_biederling,2654,2659,Prinz,prinz_tandi
qd,rj22.0,2596,2688,herr_von_biederling,2672,2675,ich,herr_von_biederling
qd,rj22.0,3047,3211,herr_von_biederling,3107,3110,ich,herr_von_biederling
qd,rj22.0,3047,3211,herr_von_biederling,3173,3176,ich,herr_von_biederling
qd,rj22.0,3216,3941,prinz_tandi,3224,3227,Ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3285,3289,mich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3346,3350,alle,alle
qd,rj22.0,3216,3941,prinz_tandi,3362,3365,ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3384,3387,ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3419,3423,alle,alle
qd,rj22.0,3216,3941,prinz_tandi,3520,3523,ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3590,3594,Alle,alle
qd,rj22.0,3216,3941,prinz_tandi,3605,3608,ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3665,3668,ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3689,3693,mich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3833,3836,ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3901,3904,ich,prinz_tandi
qd,rj22.0,3216,3941,prinz_tandi,3920,3924,mich,prinz_tandi
qd,rj22.0,3946,3997,frau_von_biederling,3993,3996,mir,frau_von_biederling
qd,rj22.0,4002,4234,prinz_tandi,4066,4070,alle,alle
qd,rj22.0,4002,4234,prinz_tandi,4085,4091,meinem,prinz_tandi
qd,rj22.0,4002,4234,prinz_tandi,4109,4112,Ich,prinz_tandi
qd,rj22.0,4002,4234,prinz_tandi,4164,4168,mich,prinz_tandi
