corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rjqs.0,1634,1651,_Stage,_Stage,Strato,NE,strato,9147,,(1)
qd,rjqs.0,1634,1651,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,1634,1651,_Stage,_Stage,Philotas,NE,philotas,9147,,(0)
qd,rjqs.0,1634,1651,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,8248,8280,_Stage,_Stage,König,NN,könig,9147,,
qd,rjqs.0,8248,8280,_Stage,_Stage,Aridäus,NE,aridäus,9147,,
qd,rjqs.0,8248,8280,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,8248,8280,_Stage,_Stage,Philotas,NE,philotas,9147,,(0)
qd,rjqs.0,8248,8280,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,8248,8280,_Stage,_Stage,Strato,NE,strato,9147,,(1)
qd,rjqs.0,8248,8280,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,18108,18127,_Stage,_Stage,Parmenio,NE,parmenio,9147,,(3)
qd,rjqs.0,18108,18127,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,18108,18127,_Stage,_Stage,Philotas,NE,philotas,9147,,(0)
qd,rjqs.0,18108,18127,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,32663,32681,_Stage,_Stage,Aridäus,NE,aridäus,9147,,
qd,rjqs.0,32663,32681,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,32663,32681,_Stage,_Stage,Philotas,NE,philotas,9147,,(0)
qd,rjqs.0,32663,32681,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,38392,38430,_Stage,_Stage,Strato,NE,strato,9147,,(1)
qd,rjqs.0,38392,38430,_Stage,_Stage,mit,APPR,mit,9147,,
qd,rjqs.0,38392,38430,_Stage,_Stage,einem,ART,ein,9147,,
qd,rjqs.0,38392,38430,_Stage,_Stage,Schwerde,NN,schwerde,9147,,
qd,rjqs.0,38392,38430,_Stage,_Stage,in,APPR,in,9147,,
qd,rjqs.0,38392,38430,_Stage,_Stage,der,ART,der,9147,,
qd,rjqs.0,38392,38430,_Stage,_Stage,Hand,NN,hand,9147,,
qd,rjqs.0,38392,38430,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,38433,38451,_Stage,_Stage,Aridäus,NE,aridäus,9147,,
qd,rjqs.0,38433,38451,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,38433,38451,_Stage,_Stage,Philotas,NE,philotas,9147,,(0)
qd,rjqs.0,38433,38451,_Stage,_Stage,.,$.,--,9147,,
qd,rjqs.0,40104,40115,ARIDÄUS,aridäus,zum,APPRART,zu,9147,,
qd,rjqs.0,40104,40115,ARIDÄUS,aridäus,Strato,NN,strato,9147,,(1)
qd,rjqs.0,40104,40115,ARIDÄUS,aridäus,.,$.,--,9147,,
qd,rjqs.0,40181,40191,PHILOTAS,philotas,bei,APPR,bei,9147,,
qd,rjqs.0,40181,40191,PHILOTAS,philotas,Seite,NN,seite,9147,,
qd,rjqs.0,40181,40191,PHILOTAS,philotas,.,$.,--,9147,,
qd,rjqs.0,41734,41758,PHILOTAS,philotas,sich,PRF,sich,9147,,
qd,rjqs.0,41734,41758,PHILOTAS,philotas,von,APPR,von,9147,,
qd,rjqs.0,41734,41758,PHILOTAS,philotas,ihm,PPER,ihm,9147,,
qd,rjqs.0,41734,41758,PHILOTAS,philotas,entfernend,ADJD,entfernend,9147,,
qd,rjqs.0,41734,41758,PHILOTAS,philotas,.,$.,--,9147,,
