corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
qd,rjqs.0,223,1584,PHILOTAS,philotas,So,ADV,so,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,bin,VAFIN,sein,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,ich,PPER,ich,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,wirklich,ADJD,wirklich,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,gefangen,VVPP,gefangen,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,?,$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,–,XY,–,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Gefangen,VVPP,gefang,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,–,XY,–,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Ein,ART,ein,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,würdiger,ADJD,würdig,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Anfang,NN,anfang,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,meiner,PPOSAT,mein,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,kriegerischen,ADJA,kriegerisch,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Lehrjahre,NN,lehrjahr,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,–,XY,–,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,O,NE,O,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,ihr,PPOSAT,ihr,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Götter,NN,gott,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,O,NE,O,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,mein,PPOSAT,mein,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,Vater,NN,vater,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,–,XY,–,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Wie,PWAV,wie,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,gern,ADV,gern,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,überredte,VVFIN,überreden,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,ich,PPER,ich,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,mich,PRF,mich,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,daß,KOUS,daß,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,alles,PIS,alle,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,ein,ART,ein,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Traum,NN,traum,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,sei,VAFIN,sein,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Meine,PPOSAT,mein,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,frühste,ADJA,früh,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Kindheit,NN,kindheit,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,hat,VAFIN,haben,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,nie,ADV,nie,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,etwas,PIS,etwas,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,anders,ADV,anders,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,als,KOKOM,als,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Waffen,NN,waffe,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,und,KON,und,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Läger,NE,läger,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,und,KON,und,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Schlachten,NN,schlacht,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,und,KON,und,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Stürme,NN,sturm,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,geträumet,VVPP,träumen,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,.,$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Könnte,VMFIN,können,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,der,ART,der,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Jüngling,NN,jüngling,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,nicht,PTKNEG,nicht,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,von,APPR,von,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Verlust,NN,verlust,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,und,KON,und,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Entwaffnung,NN,entwaffnung,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,träumen,VVINF,träumen,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,?,$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,–,XY,–,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Schmeichle,NN,schmeichle,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,dir,PPER,dir,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,nur,ADV,nur,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Philotas,NN,philotas,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Wenn,KOUS,wenn,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,ich,PPER,ich,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,sie,PPER,sie,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,nicht,PTKNEG,nicht,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,sähe,VVFIN,sehen,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,nicht,PTKNEG,nicht,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,fühlte,VVFIN,fühlen,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,die,ART,der,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Wunde,NN,wunde,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,durch,APPR,durch,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,die,PRELS,der,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,der,ART,der,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,erstarrten,ADJA,erstarrt,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Hand,NN,hand,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,das,ART,der,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Schwerd,NN,schwerd,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,entsank,VVFIN,entsank,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,–,XY,–,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Man,PIS,man,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,hat,VAFIN,haben,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,sie,PPER,sie,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,mir,PPER,sich,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,wider,APPR,wider,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Willen,NN,wille,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,verbunden,VVPP,verbinden,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,.,$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,O,NE,O,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,der,ART,der,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,grausamen,ADJA,grausam,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Barmherzigkeit,NN,barmherzigkeit,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,eines,ART,ein,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,listigen,ADJA,listig,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Feindes,NN,feind,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,"!",$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Sie,PPER,sie,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,ist,VAFIN,sein,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,nicht,PTKNEG,nicht,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,tödlich,ADJD,tödlich,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,sagte,VVFIN,sagen,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,der,ART,der,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Arzt,NN,arzt,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,und,KON,und,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,glaubte,VVFIN,glauben,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,mich,PPER,mich,9147,philotas,(0)
qd,rjqs.0,223,1584,PHILOTAS,philotas,zu,PTKZU,zu,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,trösten,VVINF,trösen,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,.,$.,--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,–,XY,–,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,Nichtswürdiger,NN,nichtswürdiger,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,",","$,",--,9147,,
qd,rjqs.0,223,1584,PHILOTAS,philotas,sie,PPER,sie,9147,,
