corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,rkpt.0,548,39846,0,562,8651,0
qd,rkpt.0,548,39846,0,8665,18574,0
qd,rkpt.0,548,39846,0,18588,25156,0
qd,rkpt.0,548,39846,0,25171,26597,0
qd,rkpt.0,548,39846,0,26611,36021,0
qd,rkpt.0,548,39846,0,36035,39846,0
qd,rkpt.0,39862,77056,0,39876,46427,0
qd,rkpt.0,39862,77056,0,46441,55729,0
qd,rkpt.0,39862,77056,0,55742,58110,0
qd,rkpt.0,39862,77056,0,58125,60628,0
qd,rkpt.0,39862,77056,0,60642,67309,0
qd,rkpt.0,39862,77056,0,67323,68117,0
qd,rkpt.0,39862,77056,0,68130,71319,0
qd,rkpt.0,39862,77056,0,71333,72235,0
qd,rkpt.0,39862,77056,0,72248,77056,0
qd,rkpt.0,77072,120165,0,77086,80965,0
qd,rkpt.0,77072,120165,0,80980,85774,0
qd,rkpt.0,77072,120165,0,85787,87789,0
qd,rkpt.0,77072,120165,0,87804,91229,0
qd,rkpt.0,77072,120165,0,91242,94687,0
qd,rkpt.0,77072,120165,0,94700,95928,0
qd,rkpt.0,77072,120165,0,95942,106448,0
qd,rkpt.0,77072,120165,0,106461,108795,0
qd,rkpt.0,77072,120165,0,108809,112589,0
qd,rkpt.0,77072,120165,0,112603,120165,0
qd,rkpt.0,120181,158916,0,120195,123926,0
qd,rkpt.0,120181,158916,0,123940,131056,0
qd,rkpt.0,120181,158916,0,131070,133844,0
qd,rkpt.0,120181,158916,0,133859,142332,0
qd,rkpt.0,120181,158916,0,142345,144150,0
qd,rkpt.0,120181,158916,0,144164,147118,0
qd,rkpt.0,120181,158916,0,147132,157449,0
qd,rkpt.0,120181,158916,0,157463,158916,0
qd,rkpt.0,158932,196102,0,158946,162128,0
qd,rkpt.0,158932,196102,0,162142,163102,0
qd,rkpt.0,158932,196102,0,163116,165892,0
qd,rkpt.0,158932,196102,0,165907,168269,0
qd,rkpt.0,158932,196102,0,168283,177616,0
qd,rkpt.0,158932,196102,0,177629,183876,0
qd,rkpt.0,158932,196102,0,183890,186642,0
qd,rkpt.0,158932,196102,0,186655,196102,0
